D_INTERVIEW,Q27,Q28,Q29,Q30,Q31,Q32
276070001,2,1,4,3,4,1
276070002,2,3,3,3,2,2
276070003,-1,-1,4,4,3,1
276070004,2,4,4,4,4,3
276070005,2,4,3,4,4,2
276070006,3,4,4,4,4,3
276070007,1,3,3,4,4,3
276070008,2,4,4,4,3,2
276070009,3,2,2,3,2,3
276070010,1,4,2,4,3,4
276070011,2,2,4,4,4,3
276070012,3,4,3,4,4,2
276070013,2,3,3,3,3,3
276070014,2,3,3,3,3,1
276070015,2,4,4,4,3,-1
276070016,-1,3,3,4,3,-1
276070017,3,3,3,4,-1,4
276070018,2,3,3,4,3,3
276070019,-2,3,3,4,3,2
276070020,4,3,4,4,3,4
276070021,3,3,3,3,3,2
276070022,2,2,3,3,-1,1
276070023,3,3,3,4,3,3
276070024,-2,2,3,4,3,2
276070025,4,-1,4,4,4,2
276070026,1,2,3,1,3,2
276070027,3,4,4,4,4,1
276070028,2,2,4,4,4,2
276070029,4,1,4,4,4,-1
276070030,2,3,4,4,4,3
276070031,2,3,3,3,3,4
276070032,2,3,4,4,4,2
276070033,2,4,4,4,4,3
276070034,2,3,4,4,4,-1
276070035,2,3,4,4,4,-1
276070036,1,1,3,3,4,1
276070037,2,2,4,4,4,2
276070038,2,3,3,3,3,2
276070039,2,2,3,3,3,3
276070040,3,3,4,4,4,-1
276070041,1,3,3,4,4,4
276070042,2,4,4,4,4,3
276070043,2,3,3,4,3,3
276070044,3,4,4,4,4,2
276070045,2,1,3,4,4,3
276070046,1,3,2,3,3,2
276070047,3,-1,2,-1,2,2
276070048,2,2,3,3,3,1
276070049,2,2,3,4,4,3
276070050,2,3,4,4,4,1
276070051,2,1,3,4,3,4
276070052,2,4,3,4,4,3
276070053,2,4,4,4,4,4
276070054,4,1,4,4,4,4
276070055,3,1,4,4,4,2
276070056,1,3,4,4,4,1
276070057,2,1,4,4,4,4
276070058,2,3,3,4,3,2
276070059,3,3,4,4,3,3
276070060,2,3,3,3,2,2
276070061,2,4,4,4,4,2
276070062,3,3,3,3,3,-1
276070063,3,4,3,2,3,2
276070064,1,4,3,4,3,3
276070065,4,4,4,4,4,3
276070066,4,3,4,4,4,2
276070067,2,2,3,2,1,2
276070068,1,3,4,4,4,4
276070069,2,3,4,4,4,3
276070070,3,4,4,4,4,4
276070071,2,4,3,3,3,3
