D_INTERVIEW,Q27,Q28,Q29,Q30,Q31,Q32
276070001,2.0,1.0,4.0,3.0,4.0,1.0
276070002,2.0,3.0,3.0,3.0,2.0,2.0
276070003,-1.0,-1.0,4.0,4.0,3.0,1.0
276070004,2.0,4.0,4.0,4.0,4.0,3.0
276070005,2.0,4.0,3.0,4.0,4.0,2.0
276070006,3.0,4.0,4.0,4.0,4.0,3.0
276070007,1.0,3.0,3.0,4.0,4.0,3.0
276070008,2.0,4.0,4.0,4.0,3.0,2.0
276070009,3.0,2.0,2.0,3.0,2.0,3.0
276070010,1.0,4.0,2.0,4.0,3.0,4.0
276070011,2.0,2.0,4.0,4.0,4.0,3.0
276070012,3.0,4.0,3.0,4.0,4.0,2.0
276070013,2.0,3.0,3.0,3.0,3.0,3.0
276070014,2.0,3.0,3.0,3.0,3.0,1.0
276070015,2.0,4.0,4.0,4.0,3.0,-1.0
276070016,-1.0,3.0,3.0,4.0,3.0,-1.0
276070017,3.0,3.0,3.0,4.0,-1.0,4.0
276070018,2.0,3.0,3.0,4.0,3.0,3.0
276070019,-2.0,3.0,3.0,4.0,3.0,2.0
276070020,4.0,3.0,4.0,4.0,3.0,4.0
276070021,3.0,3.0,3.0,3.0,3.0,2.0
276070022,2.0,2.0,3.0,3.0,-1.0,1.0
276070023,3.0,3.0,3.0,4.0,3.0,3.0
276070024,-2.0,2.0,3.0,4.0,3.0,2.0
276070025,4.0,-1.0,4.0,4.0,4.0,2.0
276070026,1.0,2.0,3.0,1.0,3.0,2.0
276070027,3.0,4.0,4.0,4.0,4.0,1.0
276070028,2.0,2.0,4.0,4.0,4.0,2.0
276070029,4.0,1.0,4.0,4.0,4.0,-1.0
276070030,2.0,3.0,4.0,4.0,4.0,3.0
276070031,2.0,3.0,3.0,3.0,3.0,4.0
276070032,2.0,3.0,4.0,4.0,4.0,2.0
276070033,2.0,4.0,4.0,4.0,4.0,3.0
276070034,2.0,3.0,4.0,4.0,4.0,-1.0
276070035,2.0,3.0,4.0,4.0,4.0,-1.0
276070036,1.0,1.0,3.0,3.0,4.0,1.0
276070037,2.0,2.0,4.0,4.0,4.0,2.0
276070038,2.0,3.0,3.0,3.0,3.0,2.0
276070039,2.0,2.0,3.0,3.0,3.0,3.0
276070040,3.0,3.0,4.0,4.0,4.0,-1.0
276070041,1.0,3.0,3.0,4.0,4.0,4.0
276070042,2.0,4.0,4.0,4.0,4.0,3.0
276070043,2.0,3.0,3.0,4.0,3.0,3.0
276070044,3.0,4.0,4.0,4.0,4.0,2.0
276070045,2.0,1.0,3.0,4.0,4.0,3.0
276070046,1.0,3.0,2.0,3.0,3.0,2.0
276070047,3.0,-1.0,2.0,-1.0,2.0,2.0
276070048,2.0,2.0,3.0,3.0,3.0,1.0
276070049,2.0,2.0,3.0,4.0,4.0,3.0
276070050,2.0,3.0,4.0,4.0,4.0,1.0
276070051,2.0,1.0,3.0,4.0,3.0,4.0
276070052,2.0,4.0,3.0,4.0,4.0,3.0
276070053,2.0,4.0,4.0,4.0,4.0,4.0
276070054,4.0,1.0,4.0,4.0,4.0,4.0
276070055,3.0,1.0,4.0,4.0,4.0,2.0
276070056,1.0,3.0,4.0,4.0,4.0,1.0
276070057,2.0,1.0,4.0,4.0,4.0,4.0
276070058,2.0,3.0,3.0,4.0,3.0,2.0
276070059,3.0,3.0,4.0,4.0,3.0,3.0
276070060,2.0,3.0,3.0,3.0,2.0,2.0
276070061,2.0,4.0,4.0,4.0,4.0,2.0
276070062,3.0,3.0,3.0,3.0,3.0,-1.0
276070063,3.0,4.0,3.0,2.0,3.0,2.0
276070064,1.0,4.0,3.0,4.0,3.0,3.0
276070065,4.0,4.0,4.0,4.0,4.0,3.0
276070066,4.0,3.0,4.0,4.0,4.0,2.0
276070067,2.0,2.0,3.0,2.0,1.0,2.0
276070068,1.0,3.0,4.0,4.0,4.0,4.0
276070069,2.0,3.0,4.0,4.0,4.0,3.0
276070070,3.0,4.0,4.0,4.0,4.0,4.0
276070071,2.0,4.0,3.0,3.0,3.0,3.0
276070072,2.0,3.0,3.0,3.0,3.0,2.0
276070073,3.0,3.0,3.0,3.0,3.0,2.0
276070074,3.0,4.0,4.0,4.0,4.0,4.0
276070075,2.0,3.0,4.0,4.0,4.0,4.0
276070076,1.0,3.0,3.0,3.0,3.0,3.0
276070077,1.0,3.0,3.0,3.0,3.0,2.0
276070078,3.0,3.0,-1.0,2.0,-1.0,3.0
276070079,1.0,4.0,3.0,3.0,3.0,3.0
276070080,1.0,3.0,3.0,4.0,3.0,2.0
276070081,2.0,4.0,3.0,4.0,4.0,-1.0
276070082,1.0,3.0,3.0,3.0,3.0,1.0
276070083,-2.0,1.0,4.0,4.0,4.0,2.0
276070084,3.0,4.0,3.0,3.0,2.0,2.0
276070085,3.0,2.0,4.0,4.0,4.0,2.0
276070086,1.0,3.0,4.0,4.0,4.0,3.0
276070087,2.0,3.0,4.0,4.0,4.0,2.0
276070088,1.0,2.0,3.0,4.0,2.0,2.0
276070089,2.0,3.0,3.0,3.0,3.0,3.0
276070090,1.0,4.0,4.0,4.0,4.0,2.0
276070091,2.0,4.0,4.0,4.0,4.0,3.0
276070092,3.0,2.0,4.0,4.0,2.0,1.0
276070093,2.0,2.0,3.0,3.0,3.0,3.0
276070094,3.0,3.0,2.0,2.0,2.0,3.0
276070095,1.0,3.0,3.0,2.0,3.0,2.0
276070096,3.0,3.0,3.0,4.0,3.0,2.0
276070097,2.0,1.0,3.0,3.0,2.0,2.0
276070098,2.0,3.0,3.0,4.0,3.0,2.0
276070099,2.0,2.0,4.0,4.0,4.0,2.0
276070100,1.0,4.0,3.0,3.0,3.0,3.0
276070101,2.0,4.0,4.0,4.0,4.0,-1.0
276070102,1.0,2.0,4.0,4.0,4.0,3.0
276070103,1.0,2.0,4.0,4.0,4.0,3.0
276070104,1.0,4.0,4.0,4.0,4.0,4.0
276070105,2.0,3.0,4.0,4.0,3.0,2.0
276070106,1.0,4.0,3.0,4.0,4.0,3.0
276070107,4.0,2.0,4.0,4.0,4.0,2.0
276070108,2.0,2.0,3.0,2.0,3.0,4.0
276070109,3.0,2.0,3.0,4.0,3.0,1.0
276070110,2.0,3.0,4.0,4.0,4.0,1.0
276070111,2.0,3.0,4.0,4.0,3.0,3.0
276070112,2.0,4.0,4.0,4.0,4.0,1.0
276070113,3.0,3.0,4.0,4.0,4.0,3.0
276070114,2.0,3.0,3.0,4.0,4.0,-1.0
276070115,2.0,3.0,4.0,4.0,3.0,3.0
276070116,1.0,4.0,4.0,4.0,4.0,4.0
276070117,2.0,-1.0,3.0,4.0,4.0,2.0
276070118,1.0,2.0,3.0,3.0,3.0,3.0
276070119,1.0,1.0,3.0,4.0,2.0,1.0
276070120,3.0,4.0,4.0,4.0,4.0,-1.0
276070121,1.0,3.0,4.0,4.0,4.0,4.0
276070122,2.0,3.0,4.0,4.0,4.0,3.0
276070123,3.0,3.0,4.0,4.0,3.0,1.0
276070124,1.0,2.0,3.0,4.0,4.0,3.0
276070125,3.0,2.0,3.0,4.0,4.0,4.0
276070126,3.0,4.0,4.0,4.0,4.0,3.0
276070127,2.0,3.0,4.0,4.0,4.0,3.0
276070128,4.0,3.0,-1.0,4.0,3.0,4.0
276070129,3.0,4.0,4.0,4.0,4.0,2.0
276070130,2.0,3.0,2.0,3.0,3.0,3.0
276070131,2.0,3.0,4.0,4.0,4.0,3.0
276070132,1.0,2.0,4.0,3.0,3.0,2.0
276070133,3.0,3.0,3.0,3.0,3.0,3.0
276070134,3.0,3.0,4.0,4.0,4.0,2.0
276070135,2.0,3.0,4.0,4.0,3.0,3.0
276070136,4.0,2.0,4.0,4.0,2.0,3.0
276070137,3.0,3.0,4.0,4.0,-1.0,2.0
276070138,1.0,4.0,4.0,4.0,4.0,1.0
276070139,2.0,2.0,4.0,4.0,4.0,3.0
276070140,3.0,3.0,3.0,3.0,3.0,3.0
276070141,2.0,4.0,4.0,4.0,4.0,2.0
276070142,2.0,3.0,4.0,4.0,4.0,3.0
276070143,2.0,2.0,3.0,3.0,3.0,3.0
276070144,1.0,4.0,4.0,4.0,3.0,3.0
276070145,2.0,3.0,3.0,3.0,3.0,3.0
276070146,-1.0,4.0,4.0,4.0,4.0,4.0
276070147,3.0,4.0,4.0,4.0,4.0,3.0
276070148,2.0,4.0,3.0,3.0,-1.0,3.0
276070149,1.0,2.0,3.0,4.0,1.0,3.0
276070150,2.0,3.0,1.0,4.0,3.0,2.0
276070151,1.0,4.0,3.0,4.0,4.0,1.0
276070152,1.0,4.0,3.0,4.0,3.0,4.0
276070153,1.0,3.0,2.0,4.0,2.0,2.0
276070154,1.0,2.0,4.0,4.0,4.0,1.0
276070155,2.0,3.0,4.0,4.0,3.0,3.0
276070156,1.0,3.0,3.0,2.0,3.0,2.0
276070157,2.0,3.0,4.0,4.0,3.0,1.0
276070158,1.0,2.0,3.0,4.0,3.0,2.0
276070159,1.0,2.0,4.0,2.0,4.0,2.0
276070160,3.0,3.0,4.0,4.0,3.0,4.0
276070161,2.0,2.0,3.0,3.0,3.0,2.0
276070162,3.0,3.0,4.0,4.0,4.0,2.0
276070163,1.0,2.0,4.0,4.0,3.0,1.0
276070164,2.0,3.0,3.0,3.0,3.0,1.0
276070165,2.0,2.0,3.0,3.0,3.0,2.0
276070166,3.0,3.0,4.0,4.0,3.0,3.0
276070167,3.0,4.0,4.0,4.0,4.0,1.0
276070168,1.0,4.0,4.0,4.0,4.0,2.0
276070169,1.0,2.0,4.0,4.0,4.0,3.0
276070170,3.0,4.0,4.0,4.0,4.0,1.0
276070171,2.0,1.0,4.0,3.0,2.0,3.0
276070172,1.0,4.0,4.0,4.0,4.0,1.0
276070173,2.0,3.0,3.0,3.0,3.0,2.0
276070174,1.0,2.0,4.0,3.0,3.0,2.0
276070175,1.0,2.0,3.0,4.0,4.0,3.0
276070176,2.0,3.0,3.0,4.0,3.0,-1.0
276070177,2.0,3.0,3.0,3.0,3.0,2.0
276070178,3.0,3.0,3.0,3.0,3.0,2.0
276070179,-2.0,3.0,4.0,4.0,4.0,4.0
276070180,1.0,4.0,4.0,4.0,2.0,-1.0
276070181,1.0,1.0,-1.0,-1.0,-1.0,1.0
276070182,2.0,3.0,4.0,4.0,4.0,2.0
276070183,2.0,2.0,3.0,4.0,3.0,1.0
276070184,2.0,3.0,2.0,4.0,2.0,-2.0
276070185,1.0,2.0,4.0,3.0,3.0,2.0
276070186,1.0,-1.0,4.0,4.0,4.0,2.0
276070187,2.0,3.0,4.0,3.0,3.0,2.0
276070188,1.0,3.0,3.0,3.0,3.0,2.0
276070189,2.0,4.0,4.0,4.0,4.0,4.0
276070190,1.0,2.0,3.0,3.0,3.0,2.0
276070191,2.0,-1.0,3.0,3.0,3.0,3.0
276070192,1.0,2.0,2.0,3.0,4.0,1.0
276070193,2.0,3.0,4.0,4.0,4.0,4.0
276070194,2.0,3.0,4.0,4.0,3.0,3.0
276070195,1.0,2.0,3.0,3.0,3.0,2.0
276070196,1.0,3.0,3.0,3.0,3.0,2.0
276070197,4.0,4.0,4.0,4.0,4.0,1.0
276070198,1.0,3.0,4.0,4.0,4.0,1.0
276070199,1.0,2.0,3.0,3.0,2.0,2.0
276070200,2.0,3.0,3.0,3.0,3.0,1.0
276070201,1.0,2.0,4.0,4.0,2.0,3.0
276070202,2.0,4.0,3.0,4.0,2.0,2.0
276070203,1.0,3.0,3.0,3.0,3.0,3.0
276070204,1.0,4.0,4.0,4.0,4.0,3.0
276070205,2.0,2.0,3.0,2.0,2.0,1.0
276070206,1.0,3.0,2.0,2.0,1.0,2.0
276070207,2.0,1.0,3.0,3.0,3.0,2.0
276070208,1.0,4.0,4.0,4.0,4.0,4.0
276070209,1.0,2.0,3.0,3.0,3.0,3.0
276070210,2.0,3.0,4.0,4.0,4.0,1.0
276070211,2.0,3.0,2.0,3.0,1.0,2.0
276070212,1.0,1.0,2.0,4.0,3.0,2.0
276070213,3.0,3.0,4.0,4.0,3.0,3.0
276070214,1.0,2.0,2.0,2.0,2.0,2.0
276070215,1.0,4.0,4.0,4.0,4.0,3.0
276070216,2.0,3.0,4.0,4.0,4.0,3.0
276070217,-2.0,2.0,4.0,4.0,4.0,1.0
276070218,3.0,4.0,4.0,4.0,4.0,4.0
276070219,1.0,2.0,2.0,3.0,4.0,2.0
276070220,3.0,1.0,2.0,2.0,2.0,1.0
276070221,1.0,3.0,4.0,4.0,3.0,2.0
276070222,2.0,3.0,3.0,3.0,3.0,3.0
276070223,2.0,2.0,3.0,2.0,2.0,1.0
276070224,2.0,3.0,3.0,3.0,3.0,2.0
276070225,2.0,3.0,3.0,3.0,3.0,2.0
276070226,2.0,-1.0,3.0,3.0,3.0,3.0
276070227,-1.0,3.0,3.0,3.0,3.0,2.0
276070228,1.0,3.0,3.0,3.0,3.0,3.0
276070229,1.0,3.0,2.0,3.0,-1.0,-1.0
276070230,1.0,3.0,3.0,4.0,3.0,3.0
276070231,1.0,3.0,2.0,3.0,3.0,2.0
276070232,2.0,2.0,2.0,3.0,2.0,-1.0
276070233,2.0,3.0,3.0,2.0,4.0,-1.0
276070234,2.0,3.0,3.0,4.0,3.0,3.0
276070235,3.0,4.0,4.0,4.0,3.0,3.0
276070236,2.0,4.0,2.0,4.0,4.0,3.0
276070237,3.0,4.0,4.0,4.0,3.0,2.0
276070238,2.0,3.0,3.0,3.0,3.0,2.0
