D_INTERVIEW,Q27,Q28,Q29,Q30,Q31,Q32
300070001,1,3,4,4,4,1
300070002,2,3,4,4,3,3
300070003,1,3,4,4,3,2
300070004,2,3,4,4,4,4
300070005,3,3,4,4,3,1
300070006,1,2,4,3,2,1
300070007,1,3,-1,4,3,1
300070008,1,3,4,4,4,2
300070009,2,4,1,4,4,-1
300070010,-5,3,3,4,-1,2
300070011,2,2,3,3,3,2
300070012,-5,2,3,3,3,2
300070013,2,3,3,3,3,1
300070014,2,2,2,3,3,1
300070015,2,2,3,3,3,2
300070016,1,2,3,3,3,1
300070017,-5,2,3,3,3,2
300070018,1,2,3,3,2,4
300070019,2,3,2,3,3,2
300070020,2,3,3,3,3,2
300070021,2,3,3,3,3,2
300070022,2,3,2,3,2,3
300070023,3,3,3,3,3,3
300070024,2,3,2,3,3,2
300070025,3,-1,-1,-1,-1,1
300070026,3,3,2,3,1,-1
300070027,2,3,3,3,3,2
300070028,3,3,4,3,3,1
300070029,2,2,3,3,3,1
300070030,2,3,3,3,3,2
300070031,3,3,4,3,2,3
300070032,1,1,3,3,4,3
300070033,1,1,2,2,3,2
300070034,3,1,3,3,4,3
300070035,2,3,3,3,2,2
300070036,2,1,3,2,3,2
300070037,1,2,3,3,2,3
300070038,2,3,3,2,3,2
300070039,1,1,1,3,3,4
300070040,1,1,3,3,3,2
300070041,3,3,3,3,3,1
300070042,2,3,3,3,3,1
300070043,1,3,3,2,2,2
300070044,1,4,2,-1,2,2
300070045,1,3,3,3,3,2
300070046,2,3,4,4,4,2
300070047,3,1,-1,3,3,2
300070048,3,3,4,3,3,2
300070049,1,3,-1,1,1,1
300070050,4,2,2,3,2,2
300070051,3,3,4,4,3,3
300070052,1,4,-2,4,4,-2
300070053,3,3,3,4,3,2
300070054,1,3,3,3,-1,2
300070055,2,3,4,4,4,2
300070056,2,-2,3,4,3,2
300070057,2,2,2,4,-1,2
300070058,1,2,2,4,3,2
300070059,3,3,4,4,3,2
300070060,1,2,3,3,2,1
300070061,2,2,4,3,3,2
300070062,2,3,3,4,4,-1
300070063,3,3,4,4,3,3
300070064,1,2,2,4,2,3
300070065,3,3,3,4,3,3
300070066,2,3,4,4,3,2
300070067,2,3,3,3,3,2
300070068,2,3,3,3,-1,3
300070069,2,2,4,4,4,2
300070070,3,3,4,4,-1,2
300070071,2,3,4,4,4,1
300070072,1,3,2,4,3,2
300070073,2,3,4,4,-1,2
300070074,1,1,2,4,2,3
300070075,1,2,-1,3,2,2
300070076,4,4,4,4,4,1
300070077,1,3,3,4,-1,2
300070078,1,3,2,4,3,2
300070079,2,4,4,4,4,1
300070080,2,4,4,4,4,1
300070081,2,3,4,4,4,2
300070082,-5,1,2,3,3,2
300070083,2,2,3,3,3,1
300070084,2,3,3,3,3,3
300070085,2,3,3,4,3,2
300070086,2,3,3,4,4,4
300070087,1,3,3,4,2,2
300070088,-1,3,4,4,4,4
300070089,2,2,4,2,3,1
300070090,-5,1,2,2,2,1
300070091,1,3,4,4,4,1
300070092,3,4,4,4,4,1
300070093,2,3,3,4,4,2
300070094,1,3,4,4,4,3
300070095,3,4,2,4,4,1
300070096,1,3,1,4,2,-1
300070097,2,3,4,4,4,1
300070098,2,3,2,4,4,2
300070099,1,2,2,4,2,-1
300070100,2,4,4,4,4,1
300070101,1,3,3,3,3,1
300070102,1,4,4,4,3,2
300070103,1,3,3,3,3,1
300070104,2,3,3,3,3,2
300070105,1,3,3,3,3,2
300070106,2,3,3,4,3,1
300070107,1,2,2,3,2,2
300070108,2,3,2,3,3,2
300070109,2,3,3,3,3,2
300070110,1,3,3,3,3,2
300070111,1,4,4,4,3,1
300070112,3,3,4,3,4,2
300070113,-1,3,3,3,3,3
300070114,3,3,2,3,3,2
300070115,1,3,2,3,3,3
300070116,3,3,2,3,3,1
300070117,1,1,3,4,4,1
300070118,1,1,2,3,3,3
300070119,2,3,2,2,2,3
300070120,2,3,3,3,3,2
300070121,2,3,3,3,3,3
300070122,3,2,3,2,3,2
300070123,3,2,2,4,2,2
300070124,1,1,3,3,3,2
300070125,1,1,-1,3,3,2
300070126,2,2,4,3,3,2
300070127,1,4,3,4,4,2
300070128,3,2,3,4,2,2
300070129,1,1,3,3,2,3
300070130,2,2,3,3,3,4
300070131,2,3,2,3,2,3
300070132,2,2,2,3,3,2
300070133,3,2,3,3,3,2
300070134,3,3,4,4,4,3
300070135,1,4,2,3,3,3
300070136,1,3,3,4,3,2
300070137,-5,1,3,2,2,3
300070138,2,3,3,4,4,2
300070139,2,3,4,4,3,2
300070140,2,3,3,4,4,2
300070141,2,2,2,3,2,2
300070142,2,3,3,3,3,3
300070143,1,3,3,3,3,3
300070144,2,2,2,4,2,2
300070145,3,3,3,4,4,4
300070146,3,4,3,4,3,3
300070147,3,3,3,3,4,4
300070148,-5,2,2,3,2,3
300070149,2,2,3,4,2,4
300070150,2,3,4,4,4,2
300070151,1,1,4,4,4,1
300070152,1,4,2,4,4,1
300070153,3,4,4,4,4,3
300070154,1,4,3,4,4,1
300070155,1,4,4,4,4,2
300070156,1,3,4,4,4,2
300070157,1,4,4,4,4,4
300070158,1,3,2,4,2,2
300070159,2,2,4,4,4,1
300070160,2,2,3,4,2,1
300070161,2,3,3,3,3,2
300070162,2,3,4,3,3,2
300070163,2,3,3,3,3,4
300070164,2,3,-1,-1,-1,3
300070165,2,2,4,4,3,3
300070166,2,1,3,3,4,3
300070167,3,3,3,4,3,3
300070168,3,2,4,3,3,3
300070169,3,2,3,4,3,2
300070170,3,2,4,4,3,2
300070171,2,1,4,3,3,1
300070172,2,1,3,4,3,1
300070173,3,2,4,3,3,1
300070174,3,3,4,4,4,2
300070175,1,1,4,3,4,1
300070176,1,2,4,3,4,2
300070177,2,1,4,3,3,1
300070178,2,2,4,4,3,1
300070179,2,4,3,4,3,3
300070180,1,1,4,3,4,1
300070181,2,2,3,4,2,1
300070182,2,3,3,4,3,3
300070183,2,3,3,4,3,2
300070184,2,2,3,2,3,2
300070185,2,3,4,4,4,3
300070186,2,3,3,4,3,3
300070187,2,3,3,4,3,2
300070188,2,3,3,4,4,2
300070189,2,3,4,4,4,3
300070190,2,3,3,4,3,2
300070191,2,3,2,3,2,2
300070192,1,3,3,3,3,1
300070193,2,2,2,3,2,2
300070194,-5,3,-1,3,3,2
300070195,2,3,-1,3,-1,2
300070196,1,3,3,3,3,2
300070197,1,3,3,3,3,2
300070198,1,3,3,3,2,2
300070199,2,2,3,4,3,2
300070200,2,2,3,4,3,2
300070201,2,3,3,3,3,2
300070202,1,2,4,4,4,1
300070203,3,3,3,3,3,1
300070204,2,1,3,3,3,3
