D_INTERVIEW,Q27,Q28,Q29,Q30,Q31,Q32
300070001,1.0,3.0,4.0,4.0,4.0,1.0
300070002,2.0,3.0,4.0,4.0,3.0,3.0
300070003,1.0,3.0,4.0,4.0,3.0,2.0
300070004,2.0,3.0,4.0,4.0,4.0,4.0
300070005,3.0,3.0,4.0,4.0,3.0,1.0
300070006,1.0,2.0,4.0,3.0,2.0,1.0
300070007,1.0,3.0,-1.0,4.0,3.0,1.0
300070008,1.0,3.0,4.0,4.0,4.0,2.0
300070009,2.0,4.0,1.0,4.0,4.0,-1.0
300070010,-5.0,3.0,3.0,4.0,-1.0,2.0
300070011,2.0,2.0,3.0,3.0,3.0,2.0
300070012,-5.0,2.0,3.0,3.0,3.0,2.0
300070013,2.0,3.0,3.0,3.0,3.0,1.0
300070014,2.0,2.0,2.0,3.0,3.0,1.0
300070015,2.0,2.0,3.0,3.0,3.0,2.0
300070016,1.0,2.0,3.0,3.0,3.0,1.0
300070017,-5.0,2.0,3.0,3.0,3.0,2.0
300070018,1.0,2.0,3.0,3.0,2.0,4.0
300070019,2.0,3.0,2.0,3.0,3.0,2.0
300070020,2.0,3.0,3.0,3.0,3.0,2.0
300070021,2.0,3.0,3.0,3.0,3.0,2.0
300070022,2.0,3.0,2.0,3.0,2.0,3.0
300070023,3.0,3.0,3.0,3.0,3.0,3.0
300070024,2.0,3.0,2.0,3.0,3.0,2.0
300070025,3.0,-1.0,-1.0,-1.0,-1.0,1.0
300070026,3.0,3.0,2.0,3.0,1.0,-1.0
300070027,2.0,3.0,3.0,3.0,3.0,2.0
300070028,3.0,3.0,4.0,3.0,3.0,1.0
300070029,2.0,2.0,3.0,3.0,3.0,1.0
300070030,2.0,3.0,3.0,3.0,3.0,2.0
300070031,3.0,3.0,4.0,3.0,2.0,3.0
300070032,1.0,1.0,3.0,3.0,4.0,3.0
300070033,1.0,1.0,2.0,2.0,3.0,2.0
300070034,3.0,1.0,3.0,3.0,4.0,3.0
300070035,2.0,3.0,3.0,3.0,2.0,2.0
300070036,2.0,1.0,3.0,2.0,3.0,2.0
300070037,1.0,2.0,3.0,3.0,2.0,3.0
300070038,2.0,3.0,3.0,2.0,3.0,2.0
300070039,1.0,1.0,1.0,3.0,3.0,4.0
300070040,1.0,1.0,3.0,3.0,3.0,2.0
300070041,3.0,3.0,3.0,3.0,3.0,1.0
300070042,2.0,3.0,3.0,3.0,3.0,1.0
300070043,1.0,3.0,3.0,2.0,2.0,2.0
300070044,1.0,4.0,2.0,-1.0,2.0,2.0
300070045,1.0,3.0,3.0,3.0,3.0,2.0
300070046,2.0,3.0,4.0,4.0,4.0,2.0
