D_INTERVIEW,Q27,Q28,Q29,Q30,Q31,Q32
392070001,3.0,4.0,4.0,4.0,4.0,2.0
392070002,2.0,2.0,3.0,3.0,3.0,2.0
392070003,2.0,3.0,4.0,4.0,4.0,-1.0
392070004,3.0,2.0,3.0,3.0,3.0,1.0
392070005,3.0,1.0,1.0,1.0,1.0,-1.0
392070006,2.0,4.0,4.0,4.0,-1.0,-1.0
392070007,2.0,2.0,2.0,3.0,3.0,-1.0
392070008,-1.0,4.0,4.0,-1.0,-1.0,2.0
392070009,2.0,-1.0,2.0,2.0,2.0,2.0
392070010,-1.0,2.0,3.0,3.0,3.0,1.0
392070011,2.0,4.0,4.0,4.0,4.0,2.0
392070012,1.0,3.0,-1.0,3.0,4.0,2.0
392070013,2.0,3.0,3.0,3.0,3.0,3.0
392070014,-1.0,3.0,3.0,3.0,3.0,2.0
392070015,2.0,3.0,-1.0,-1.0,-1.0,2.0
392070016,2.0,3.0,2.0,3.0,3.0,2.0
392070017,2.0,3.0,-1.0,3.0,-1.0,2.0
392070018,1.0,3.0,2.0,3.0,2.0,2.0
392070019,3.0,3.0,3.0,3.0,3.0,-1.0
392070020,2.0,3.0,2.0,3.0,2.0,2.0
392070021,-1.0,2.0,-1.0,-1.0,2.0,-1.0
392070022,2.0,3.0,3.0,3.0,3.0,1.0
392070023,2.0,3.0,3.0,3.0,3.0,2.0
392070024,1.0,-1.0,-1.0,-1.0,-1.0,2.0
392070025,-1.0,3.0,-1.0,-1.0,-1.0,-1.0
392070026,2.0,2.0,3.0,2.0,2.0,1.0
392070027,3.0,3.0,3.0,2.0,3.0,3.0
392070028,2.0,-1.0,4.0,4.0,4.0,-1.0
392070029,2.0,3.0,3.0,4.0,3.0,3.0
392070030,2.0,-1.0,-1.0,-1.0,-1.0,2.0
392070031,3.0,3.0,4.0,4.0,4.0,2.0
392070032,2.0,3.0,-1.0,4.0,-1.0,2.0
392070033,2.0,3.0,4.0,4.0,4.0,1.0
392070034,2.0,4.0,4.0,4.0,4.0,1.0
392070035,2.0,3.0,3.0,3.0,3.0,2.0
392070036,2.0,-2.0,-1.0,3.0,2.0,2.0
392070037,2.0,3.0,2.0,2.0,2.0,1.0
392070038,2.0,4.0,4.0,4.0,4.0,1.0
392070039,2.0,3.0,4.0,4.0,4.0,2.0
392070040,2.0,3.0,2.0,3.0,3.0,2.0
392070041,2.0,3.0,2.0,2.0,2.0,1.0
392070042,2.0,3.0,-1.0,3.0,2.0,2.0
392070043,2.0,2.0,2.0,2.0,2.0,2.0
392070044,2.0,4.0,4.0,3.0,2.0,4.0
392070045,2.0,3.0,4.0,4.0,4.0,1.0
392070046,-1.0,-1.0,4.0,4.0,3.0,2.0
392070047,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
392070048,-1.0,3.0,-1.0,-1.0,2.0,2.0
392070049,-1.0,3.0,-1.0,-1.0,-1.0,-1.0
392070050,-1.0,3.0,-1.0,3.0,-1.0,2.0
392070051,2.0,3.0,3.0,-1.0,-1.0,1.0
392070052,-1.0,-1.0,3.0,3.0,3.0,2.0
392070053,2.0,-1.0,3.0,3.0,3.0,-1.0
392070054,4.0,4.0,3.0,4.0,4.0,-1.0
392070055,2.0,4.0,1.0,2.0,-1.0,4.0
392070056,2.0,3.0,3.0,3.0,3.0,-1.0
392070057,4.0,3.0,3.0,4.0,3.0,-1.0
392070058,2.0,4.0,3.0,4.0,3.0,2.0
392070059,4.0,3.0,4.0,4.0,4.0,2.0
392070060,1.0,-1.0,-1.0,4.0,3.0,-1.0
392070061,3.0,3.0,3.0,3.0,3.0,2.0
392070062,2.0,2.0,2.0,2.0,3.0,2.0
392070063,3.0,3.0,3.0,3.0,3.0,2.0
392070064,3.0,3.0,3.0,3.0,-1.0,1.0
392070065,3.0,3.0,3.0,3.0,3.0,1.0
392070066,2.0,-1.0,-1.0,3.0,-1.0,3.0
392070067,2.0,3.0,4.0,4.0,2.0,2.0
392070068,-1.0,-1.0,-1.0,3.0,-1.0,1.0
392070069,3.0,4.0,4.0,4.0,4.0,4.0
392070070,2.0,3.0,3.0,3.0,3.0,2.0
392070071,2.0,-1.0,-1.0,2.0,2.0,-1.0
392070072,2.0,3.0,3.0,3.0,3.0,-1.0
392070073,-1.0,-1.0,2.0,-1.0,2.0,1.0
392070074,2.0,2.0,1.0,2.0,2.0,1.0
392070075,-1.0,4.0,3.0,-1.0,3.0,-1.0
392070076,2.0,3.0,4.0,4.0,4.0,2.0
392070077,1.0,2.0,2.0,3.0,2.0,2.0
392070078,2.0,3.0,2.0,3.0,3.0,2.0
392070079,-1.0,1.0,-1.0,-1.0,-1.0,2.0
392070080,3.0,2.0,3.0,3.0,3.0,3.0
392070081,2.0,3.0,3.0,3.0,3.0,2.0
392070082,-1.0,3.0,-1.0,3.0,2.0,2.0
392070083,-1.0,2.0,-1.0,-1.0,2.0,1.0
392070084,-1.0,-1.0,2.0,3.0,2.0,2.0
392070085,3.0,3.0,-1.0,3.0,-1.0,3.0
392070086,2.0,3.0,3.0,3.0,3.0,2.0
392070087,2.0,2.0,2.0,4.0,2.0,2.0
392070088,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
392070089,2.0,2.0,2.0,3.0,2.0,1.0
392070090,2.0,2.0,2.0,2.0,2.0,2.0
392070091,-1.0,3.0,-1.0,4.0,2.0,-1.0
392070092,2.0,-1.0,2.0,2.0,2.0,2.0
392070093,2.0,2.0,-1.0,3.0,3.0,2.0
392070094,3.0,3.0,2.0,2.0,2.0,3.0
392070095,2.0,4.0,4.0,4.0,4.0,1.0
392070096,-1.0,2.0,3.0,4.0,3.0,1.0
392070097,-1.0,-1.0,3.0,3.0,3.0,1.0
392070098,-1.0,3.0,3.0,4.0,3.0,2.0
392070099,-1.0,3.0,2.0,2.0,-1.0,3.0
392070100,2.0,3.0,4.0,4.0,3.0,2.0
392070101,2.0,3.0,2.0,2.0,3.0,3.0
392070102,2.0,3.0,-1.0,-1.0,-1.0,2.0
392070103,1.0,3.0,3.0,3.0,3.0,1.0
392070104,-1.0,4.0,3.0,2.0,3.0,1.0
392070105,-1.0,3.0,2.0,2.0,2.0,-1.0
392070106,1.0,3.0,-1.0,3.0,-1.0,2.0
392070107,-1.0,-1.0,4.0,4.0,4.0,2.0
392070108,2.0,2.0,-1.0,2.0,2.0,2.0
392070109,3.0,3.0,3.0,3.0,3.0,2.0
392070110,-1.0,4.0,3.0,3.0,3.0,2.0
392070111,2.0,3.0,3.0,3.0,3.0,1.0
392070112,2.0,2.0,3.0,3.0,3.0,2.0
392070113,-1.0,-1.0,2.0,-1.0,-1.0,2.0
392070114,4.0,4.0,4.0,4.0,4.0,1.0
392070115,2.0,3.0,4.0,4.0,4.0,2.0
392070116,-1.0,3.0,-1.0,3.0,-1.0,2.0
392070117,3.0,3.0,3.0,4.0,4.0,3.0
392070118,2.0,3.0,2.0,3.0,2.0,2.0
392070119,1.0,-1.0,3.0,3.0,1.0,-1.0
392070120,2.0,3.0,2.0,2.0,2.0,2.0
392070121,2.0,2.0,3.0,3.0,3.0,1.0
392070122,-1.0,3.0,3.0,3.0,3.0,1.0
392070123,-1.0,-1.0,2.0,2.0,2.0,1.0
392070124,3.0,2.0,1.0,3.0,3.0,-1.0
392070125,2.0,3.0,-1.0,4.0,-1.0,1.0
392070126,2.0,4.0,4.0,4.0,4.0,1.0
392070127,2.0,3.0,2.0,3.0,3.0,1.0
392070128,3.0,-1.0,3.0,4.0,3.0,1.0
392070129,2.0,2.0,1.0,2.0,2.0,2.0
392070130,3.0,-1.0,-1.0,2.0,3.0,-1.0
392070131,4.0,4.0,-1.0,4.0,4.0,1.0
392070132,2.0,3.0,3.0,3.0,3.0,1.0
392070133,2.0,3.0,3.0,4.0,3.0,2.0
392070134,2.0,3.0,-1.0,3.0,-1.0,-1.0
392070135,2.0,-1.0,2.0,4.0,3.0,3.0
392070136,3.0,3.0,-1.0,3.0,-1.0,2.0
392070137,2.0,3.0,3.0,3.0,3.0,2.0
392070138,2.0,3.0,3.0,3.0,3.0,3.0
392070139,2.0,2.0,-1.0,3.0,3.0,2.0
392070140,2.0,3.0,-1.0,2.0,2.0,2.0
392070141,1.0,4.0,4.0,4.0,4.0,2.0
392070142,2.0,3.0,2.0,3.0,2.0,-1.0
392070143,3.0,2.0,-1.0,2.0,-1.0,2.0
392070144,-1.0,4.0,4.0,4.0,4.0,1.0
392070145,2.0,4.0,3.0,4.0,3.0,3.0
392070146,3.0,4.0,-1.0,4.0,4.0,-1.0
392070147,4.0,3.0,3.0,3.0,3.0,2.0
392070148,2.0,3.0,3.0,3.0,3.0,2.0
392070149,3.0,3.0,3.0,3.0,3.0,2.0
392070150,2.0,3.0,3.0,3.0,3.0,3.0
392070151,3.0,3.0,3.0,3.0,3.0,3.0
392070152,2.0,4.0,4.0,4.0,3.0,2.0
392070153,1.0,4.0,4.0,3.0,3.0,2.0
392070154,3.0,3.0,3.0,3.0,3.0,2.0
392070155,-1.0,-1.0,3.0,3.0,3.0,2.0
392070156,2.0,3.0,-1.0,-1.0,-1.0,2.0
392070157,4.0,3.0,3.0,4.0,3.0,2.0
392070158,2.0,-1.0,2.0,3.0,3.0,3.0
392070159,-1.0,-1.0,2.0,-1.0,2.0,2.0
392070160,2.0,3.0,3.0,3.0,3.0,-1.0
392070161,2.0,3.0,3.0,3.0,3.0,2.0
392070162,2.0,3.0,3.0,2.0,-1.0,3.0
392070163,2.0,-1.0,2.0,3.0,2.0,2.0
392070164,2.0,2.0,2.0,2.0,2.0,2.0
392070165,-1.0,3.0,3.0,3.0,2.0,2.0
392070166,-1.0,-1.0,2.0,3.0,2.0,1.0
392070167,2.0,3.0,3.0,3.0,3.0,3.0
392070168,2.0,3.0,3.0,4.0,4.0,2.0
392070169,2.0,-1.0,2.0,3.0,3.0,2.0
392070170,2.0,-1.0,-1.0,-1.0,-1.0,2.0
392070171,-1.0,-1.0,3.0,3.0,3.0,2.0
392070172,-1.0,-1.0,-1.0,3.0,3.0,2.0
392070173,-1.0,3.0,3.0,3.0,4.0,2.0
392070174,1.0,3.0,3.0,3.0,3.0,1.0
392070175,2.0,3.0,3.0,3.0,3.0,1.0
392070176,2.0,3.0,-1.0,-1.0,-1.0,-1.0
392070177,3.0,3.0,4.0,4.0,4.0,-1.0
392070178,2.0,3.0,2.0,3.0,2.0,3.0
392070179,3.0,3.0,2.0,2.0,2.0,3.0
392070180,2.0,3.0,3.0,3.0,3.0,2.0
392070181,2.0,3.0,3.0,3.0,3.0,2.0
392070182,2.0,3.0,-1.0,4.0,-1.0,2.0
392070183,1.0,3.0,2.0,2.0,2.0,2.0
392070184,-1.0,3.0,-1.0,3.0,3.0,2.0
392070185,1.0,2.0,-1.0,3.0,3.0,1.0
392070186,2.0,4.0,3.0,4.0,4.0,3.0
392070187,-1.0,-1.0,-1.0,2.0,2.0,-1.0
392070188,2.0,3.0,3.0,4.0,3.0,3.0
392070189,-1.0,-1.0,-1.0,-1.0,-1.0,2.0
392070190,2.0,3.0,3.0,2.0,2.0,2.0
392070191,3.0,3.0,2.0,4.0,2.0,2.0
392070192,3.0,3.0,3.0,2.0,2.0,2.0
392070193,2.0,3.0,-1.0,3.0,-1.0,-1.0
