D_INTERVIEW,Q27,Q28,Q29,Q30,Q31,Q32
458070001,2,4,4,4,4,2
458070002,1,3,2,2,2,2
458070003,1,3,3,3,3,3
458070004,1,4,2,2,1,1
458070005,1,3,2,4,4,1
458070006,1,4,2,3,2,2
458070007,1,2,2,1,2,2
458070008,1,3,2,2,2,2
458070009,1,4,4,3,3,3
458070010,1,1,2,2,2,2
458070011,2,1,2,2,2,2
458070012,1,1,2,1,1,2
458070013,1,4,3,3,3,2
458070014,2,3,2,3,2,2
458070015,2,2,3,3,2,3
458070016,1,3,2,3,3,2
458070017,2,3,2,3,3,2
458070018,1,4,2,2,1,2
458070019,1,4,1,4,3,3
458070020,2,3,1,2,2,3
458070021,1,4,2,1,2,2
458070022,1,3,2,3,3,3
458070023,1,3,1,2,2,2
458070024,1,3,1,4,4,1
458070025,1,3,1,3,1,3
458070026,1,3,2,3,3,3
458070027,2,3,3,3,2,2
458070028,1,2,2,2,2,3
458070029,1,4,3,3,3,2
458070030,1,3,4,4,4,2
458070031,1,3,1,1,1,1
458070032,1,3,3,3,2,1
458070033,1,4,1,1,1,1
458070034,2,3,2,2,2,2
458070035,2,1,2,3,3,2
458070036,1,4,4,3,3,3
458070037,2,2,2,2,2,2
458070038,2,2,2,2,2,2
458070039,2,2,2,3,3,2
458070040,1,2,1,2,1,2
458070041,1,2,2,2,2,2
458070042,1,3,3,3,3,3
458070043,2,3,2,3,3,2
458070044,2,3,2,2,2,2
458070045,1,2,1,1,3,1
458070046,1,3,2,3,2,3
458070047,2,3,2,2,2,2
458070048,1,4,3,3,3,3
458070049,2,3,3,2,2,2
458070050,2,2,2,2,2,2
458070051,1,3,1,2,2,2
458070052,2,2,1,2,2,2
458070053,2,3,2,3,2,2
458070054,1,3,1,3,2,3
458070055,1,1,2,2,2,2
458070056,1,3,1,2,3,2
458070057,1,3,3,3,3,3
458070058,1,2,2,1,2,2
458070059,1,1,1,3,2,2
458070060,2,3,3,1,2,2
458070061,1,3,1,1,1,1
458070062,1,4,3,3,3,3
458070063,1,3,2,1,1,2
458070064,1,4,3,3,3,3
458070065,1,3,1,1,1,1
458070066,1,2,2,3,2,3
458070067,1,4,1,1,1,1
458070068,2,3,2,2,2,2
458070069,2,4,3,4,3,2
458070070,2,3,4,4,4,2
458070071,2,2,2,3,2,1
458070072,1,4,3,3,2,3
458070073,2,3,3,3,3,2
458070074,2,3,2,2,2,3
458070075,1,3,1,1,1,2
458070076,2,2,1,3,3,2
458070077,1,4,2,1,2,4
458070078,2,3,2,1,1,1
458070079,2,1,2,3,2,2
458070080,2,2,2,2,2,2
458070081,1,2,3,2,1,1
458070082,1,2,2,3,4,4
458070083,3,3,1,2,1,3
458070084,2,4,3,4,4,3
458070085,2,3,2,3,2,2
458070086,2,3,3,3,3,3
458070087,2,2,3,3,3,2
