D_INTERVIEW,Q27,Q28,Q29,Q30,Q31,Q32
484070001,1,1,1,3,3,1
484070002,1,4,2,4,2,2
484070003,2,1,3,3,3,4
484070004,1,1,4,4,4,3
484070005,1,2,4,4,4,4
484070006,1,2,4,4,3,4
484070007,2,4,4,4,4,4
484070008,1,4,3,3,3,3
484070009,1,3,4,4,4,4
484070010,1,1,4,4,4,2
484070011,2,2,2,3,1,1
484070012,1,4,3,3,3,1
484070013,1,3,4,4,1,4
484070014,1,1,4,4,4,1
484070015,1,2,3,3,3,2
484070016,1,1,2,3,3,3
484070017,2,2,3,2,2,1
484070018,1,1,4,4,4,1
484070019,2,3,2,3,3,3
484070020,1,2,2,2,3,3
484070021,1,2,4,4,4,3
484070022,1,1,4,4,1,1
484070023,1,2,2,2,2,2
484070024,2,2,4,4,2,2
484070025,1,3,4,4,4,1
484070026,1,2,3,4,3,2
484070027,2,2,3,3,3,3
484070028,1,1,3,3,3,1
484070029,1,2,3,4,4,2
484070030,1,1,4,4,4,3
484070031,2,3,2,3,3,2
484070032,2,3,3,3,3,2
484070033,2,2,3,3,3,2
484070034,1,2,-1,-1,-1,-1
484070035,1,1,1,1,1,1
484070036,1,1,1,1,2,2
484070037,1,1,2,4,4,1
484070038,3,3,4,3,4,2
484070039,1,1,3,2,2,1
484070040,1,1,2,2,2,2
484070041,1,3,3,4,4,4
484070042,2,3,3,3,4,1
484070043,1,3,3,4,4,2
484070044,2,3,4,4,4,1
484070045,1,3,3,3,3,2
484070046,1,2,2,3,4,2
484070047,2,3,4,4,4,4
484070048,1,1,1,1,1,1
484070049,1,1,4,4,4,4
484070050,1,3,3,3,3,2
484070051,1,1,1,3,3,3
484070052,1,4,4,4,4,1
484070053,2,3,3,4,4,3
484070054,2,3,3,3,3,3
484070055,1,1,4,4,4,1
484070056,1,1,4,4,4,1
484070057,1,1,1,-1,-1,1
484070058,1,3,3,3,3,3
484070059,1,3,3,3,3,2
484070060,1,2,2,3,2,1
484070061,4,4,4,4,4,4
484070062,2,3,4,4,3,4
484070063,1,2,2,3,3,2
484070064,1,2,3,3,4,3
484070065,2,3,3,3,3,2
484070066,1,3,3,4,4,2
484070067,2,3,3,2,3,3
484070068,1,1,4,4,4,4
484070069,1,2,4,4,4,-1
484070070,2,2,3,3,3,2
484070071,1,3,3,4,1,1
484070072,1,3,4,4,4,1
484070073,1,3,3,4,4,-1
484070074,1,3,3,3,2,2
484070075,1,4,4,4,4,4
484070076,1,2,2,3,3,3
484070077,1,3,4,4,4,4
484070078,1,1,1,3,3,3
484070079,1,3,1,3,3,1
484070080,1,2,4,4,4,1
484070081,1,1,4,4,2,2
484070082,2,4,3,4,3,2
484070083,1,2,3,4,2,1
484070084,1,1,4,4,4,1
484070085,1,1,1,3,3,2
484070086,1,1,1,3,3,3
484070087,1,1,4,3,4,2
484070088,1,2,3,4,4,3
484070089,1,1,1,1,1,2
484070090,3,3,1,3,3,1
484070091,1,1,2,2,2,3
484070092,1,3,3,3,4,1
484070093,1,4,4,4,4,-1
484070094,2,2,3,3,3,2
484070095,1,1,3,3,3,3
484070096,1,4,4,4,4,1
484070097,1,2,2,2,2,2
484070098,1,3,3,4,4,4
484070099,1,3,3,3,3,2
484070100,1,3,3,3,3,3
484070101,2,2,2,3,3,4
484070102,1,3,3,3,3,1
484070103,1,2,3,3,3,3
484070104,1,3,3,3,3,1
484070105,2,2,2,3,4,3
484070106,1,3,3,3,3,1
484070107,1,1,3,3,3,1
484070108,2,2,1,3,2,2
484070109,1,1,3,3,3,2
484070110,1,2,4,4,4,2
484070111,2,2,3,3,3,2
484070112,2,2,3,3,3,2
484070113,1,1,3,4,4,3
484070114,1,3,3,3,3,1
484070115,1,2,3,4,4,3
484070116,1,2,4,3,4,4
484070117,2,3,3,3,3,2
484070118,1,1,1,1,1,2
484070119,1,3,3,2,2,1
484070120,1,1,2,1,1,3
484070121,1,4,4,3,3,2
484070122,2,2,2,1,2,2
484070123,2,1,3,3,3,4
484070124,2,2,2,3,3,2
484070125,2,1,3,3,3,2
484070126,1,1,4,4,4,3
484070127,1,3,4,4,4,4
484070128,3,4,4,4,4,1
484070129,2,3,3,3,3,1
484070130,1,1,4,4,4,4
484070131,1,3,3,3,3,3
484070132,2,2,3,3,3,2
484070133,2,2,3,3,3,3
484070134,1,3,3,3,3,2
484070135,1,2,4,4,4,1
484070136,1,1,3,3,4,3
484070137,2,3,3,4,3,3
484070138,1,2,4,4,4,2
484070139,2,2,3,3,3,2
484070140,2,2,3,3,3,-1
484070141,1,3,3,3,2,2
484070142,1,2,3,3,3,2
484070143,2,3,2,3,3,1
484070144,2,3,3,3,3,3
484070145,1,1,3,3,2,3
484070146,1,3,3,4,4,3
484070147,1,1,2,2,3,-1
484070148,2,3,3,3,3,1
484070149,2,2,2,3,3,2
484070150,2,2,3,4,4,2
484070151,1,2,3,3,4,3
484070152,1,2,3,3,3,2
484070153,1,2,1,1,1,1
484070154,1,1,3,1,3,3
484070155,2,3,3,4,4,2
484070156,2,3,4,3,2,1
484070157,4,3,2,2,4,3
484070158,1,2,3,4,2,3
484070159,1,3,3,4,4,4
484070160,1,3,3,3,3,3
484070161,1,4,4,2,3,3
484070162,1,3,4,4,4,4
484070163,2,3,1,2,2,2
484070164,2,1,2,3,2,2
484070165,1,3,3,3,3,2
484070166,2,1,3,2,4,4
484070167,3,2,4,1,3,4
484070168,1,3,3,3,4,3
484070169,1,3,3,3,3,1
484070170,1,1,3,2,3,2
484070171,2,1,4,3,3,3
484070172,2,2,3,3,3,3
484070173,2,4,4,3,4,2
484070174,2,3,3,4,4,3
484070175,2,3,1,3,1,1
484070176,2,2,3,4,4,2
484070177,1,4,4,3,3,3
484070178,2,3,3,3,3,1
484070179,2,2,2,3,3,3
484070180,1,3,2,3,2,1
484070181,1,2,3,3,3,3
484070182,2,3,2,3,3,3
484070183,1,4,4,4,4,4
484070184,1,1,2,1,3,2
484070185,2,2,3,4,4,2
484070186,1,1,3,3,3,2
484070187,1,1,3,2,3,4
484070188,2,3,4,4,3,3
484070189,2,2,2,3,3,2
484070190,2,3,3,3,3,2
484070191,2,3,3,2,3,3
484070192,2,3,1,3,2,1
484070193,1,1,3,3,3,3
484070194,1,1,1,3,1,3
484070195,2,2,3,3,3,2
484070196,2,2,3,3,3,3
484070197,2,3,3,3,3,3
484070198,1,3,3,3,3,2
484070199,1,1,2,3,1,1
484070200,1,2,3,3,4,1
484070201,1,2,3,2,4,3
484070202,1,3,3,3,3,3
484070203,2,2,3,3,2,1
484070204,1,2,3,3,3,2
484070205,1,3,3,3,3,3
484070206,2,3,3,3,3,3
484070207,2,3,2,3,2,3
484070208,2,3,3,3,3,3
484070209,1,3,3,3,3,2
484070210,1,3,3,4,4,2
484070211,1,1,3,3,3,2
484070212,2,1,1,4,4,3
484070213,2,1,4,4,4,3
484070214,2,3,3,3,3,2
484070215,2,2,1,4,2,1
484070216,1,2,3,3,3,2
484070217,1,4,1,4,3,3
484070218,2,3,3,3,3,2
484070219,1,1,2,3,3,3
484070220,2,2,4,4,4,2
484070221,1,1,3,3,3,1
484070222,1,-1,3,-1,3,3
484070223,1,3,4,4,4,1
484070224,1,4,2,2,2,2
484070225,1,1,3,4,3,1
484070226,1,3,4,4,4,4
484070227,1,1,3,3,3,3
484070228,2,3,3,3,3,2
484070229,1,4,2,2,2,2
484070230,1,2,4,4,4,2
484070231,1,3,4,4,4,2
484070232,1,1,2,3,4,3
484070233,2,4,4,4,4,4
484070234,2,2,2,1,1,1
484070235,1,3,3,3,3,3
484070236,1,3,3,4,4,3
484070237,2,2,4,4,4,3
484070238,2,3,4,4,4,2
484070239,1,3,4,4,4,3
484070240,1,3,4,4,4,3
484070241,2,4,4,4,4,2
484070242,1,4,4,4,4,2
484070243,1,4,4,3,4,3
484070244,2,4,3,3,3,3
484070245,1,3,4,4,4,3
484070246,1,3,4,3,2,3
484070247,3,4,2,1,3,4
484070248,1,4,3,4,3,2
484070249,1,3,4,4,4,2
484070250,1,2,4,4,4,2
484070251,1,2,2,3,1,2
484070252,1,2,4,3,4,4
484070253,2,3,4,4,4,3
484070254,1,4,3,2,2,1
484070255,1,3,3,3,3,2
484070256,2,3,4,4,4,3
484070257,1,-1,3,3,3,3
484070258,2,2,3,3,3,2
484070259,1,3,3,3,3,2
484070260,1,1,4,4,3,2
484070261,2,1,2,2,3,-1
484070262,2,2,1,3,3,3
484070263,1,1,3,4,2,2
484070264,2,2,4,3,3,2
484070265,1,4,3,3,3,2
484070266,1,3,3,3,3,2
484070267,1,2,3,4,4,2
484070268,2,3,3,3,3,3
484070269,1,3,2,3,2,3
484070270,2,3,3,3,4,4
484070271,2,3,3,3,3,2
484070272,2,3,3,3,4,2
484070273,1,3,4,3,4,2
484070274,1,3,3,4,4,3
484070275,1,3,3,3,3,3
484070276,1,4,4,4,3,3
484070277,2,1,3,3,4,2
484070278,1,1,2,2,2,2
484070279,2,2,4,4,4,1
484070280,2,3,2,3,3,2
484070281,1,1,2,3,3,1
484070282,1,1,3,3,3,2
484070283,1,2,3,3,3,1
484070284,2,3,3,3,3,2
484070285,1,1,1,2,2,1
484070286,1,3,4,4,4,1
484070287,1,1,2,3,4,2
484070288,1,1,3,3,3,2
484070289,1,4,2,4,3,2
484070290,2,1,4,3,3,3
484070291,1,3,3,3,3,2
484070292,1,1,1,2,3,3
484070293,3,2,2,4,4,4
484070294,1,1,1,2,1,2
484070295,1,2,3,4,4,4
484070296,1,1,3,4,4,4
484070297,1,4,-1,4,4,1
484070298,2,2,3,3,2,2
484070299,1,2,2,3,2,2
484070300,2,3,4,4,4,1
484070301,4,4,4,4,4,4
484070302,1,3,3,3,3,3
484070303,1,3,3,2,4,3
484070304,2,2,2,3,3,4
484070305,2,3,2,3,3,2
484070306,1,3,3,3,3,3
484070307,2,4,4,4,4,2
484070308,1,3,4,3,4,2
484070309,1,3,4,4,4,3
484070310,1,2,2,2,2,1
484070311,1,4,1,4,4,1
484070312,2,3,3,1,3,3
484070313,1,1,4,4,4,3
484070314,2,3,3,3,3,2
484070315,1,1,3,3,3,3
484070316,2,3,3,3,3,2
484070317,1,2,4,2,4,2
484070318,1,2,3,3,3,2
484070319,1,1,4,4,4,1
484070320,1,2,3,3,4,2
484070321,1,2,2,1,2,1
484070322,1,3,4,2,4,2
484070323,1,1,3,3,4,3
484070324,1,1,1,1,1,1
484070325,1,3,3,3,3,1
484070326,1,1,1,3,2,3
484070327,2,2,3,3,3,3
484070328,1,1,1,1,1,1
484070329,1,2,4,1,4,4
484070330,2,3,2,3,3,3
484070331,1,2,1,1,1,1
484070332,2,2,2,2,2,2
484070333,1,2,3,4,3,3
484070334,2,3,2,2,2,2
484070335,1,2,2,2,2,2
484070336,1,2,3,3,2,2
484070337,2,4,4,4,4,2
484070338,2,2,4,4,4,2
484070339,2,3,3,3,4,2
484070340,1,1,4,4,4,4
484070341,1,4,4,4,4,2
484070342,1,1,4,4,4,3
484070343,1,1,4,4,4,1
484070344,1,2,4,4,4,3
484070345,1,2,4,4,4,4
484070346,1,3,4,4,4,4
484070347,1,3,3,3,3,3
484070348,1,2,4,4,4,2
484070349,2,3,1,4,3,4
484070350,1,3,4,4,4,-1
484070351,2,1,4,3,3,2
484070352,1,1,4,4,4,2
484070353,1,1,4,4,4,1
484070354,2,3,2,3,2,3
484070355,1,1,1,1,2,2
484070356,2,1,1,3,3,3
484070357,1,4,1,1,4,1
484070358,1,1,3,3,3,3
484070359,3,2,1,3,2,1
484070360,2,2,3,3,2,2
484070361,2,3,2,1,3,2
484070362,3,3,2,3,2,1
484070363,4,3,2,2,2,1
484070364,3,2,2,3,2,3
484070365,1,1,1,1,1,2
484070366,1,1,1,1,1,2
484070367,1,1,2,-1,-1,1
484070368,1,1,4,4,4,2
484070369,2,2,2,2,2,2
484070370,2,2,3,4,4,2
484070371,1,2,3,3,4,4
484070372,1,1,4,4,4,2
484070373,2,2,3,3,3,1
484070374,2,2,3,1,3,2
484070375,1,1,2,3,3,3
484070376,2,3,2,3,4,3
484070377,1,2,2,3,3,3
484070378,1,3,3,3,2,3
484070379,2,3,3,3,3,2
484070380,2,2,4,2,4,3
484070381,2,3,2,3,3,3
484070382,2,2,2,3,3,4
484070383,2,4,3,4,4,3
484070384,2,3,3,3,3,2
484070385,2,2,2,3,3,1
484070386,2,3,3,3,3,2
484070387,1,3,2,1,2,2
484070388,2,3,3,3,2,3
484070389,1,1,2,1,1,2
484070390,1,3,3,3,1,1
484070391,2,3,3,2,3,2
484070392,2,3,3,1,3,3
484070393,3,1,4,4,2,3
484070394,4,3,2,2,2,3
484070395,1,4,4,4,4,2
484070396,1,1,3,3,3,3
484070397,1,1,4,4,4,2
484070398,2,2,4,4,3,4
484070399,1,1,4,4,4,4
484070400,2,2,2,2,4,2
484070401,2,3,4,4,4,3
484070402,1,1,3,4,4,3
484070403,1,1,1,2,2,2
484070404,1,3,3,3,3,2
484070405,1,2,3,3,3,2
484070406,1,4,4,4,4,4
484070407,2,3,3,2,2,3
484070408,1,-1,3,3,3,-1
484070409,1,1,1,1,1,2
484070410,2,2,1,3,1,3
484070411,1,3,3,3,3,1
484070412,1,1,3,3,3,2
484070413,1,2,3,3,3,1
484070414,1,1,2,1,2,1
484070415,2,3,3,2,3,3
484070416,1,2,3,3,3,1
484070417,1,2,3,3,3,2
484070418,2,3,4,4,4,3
484070419,1,1,3,3,3,3
484070420,1,3,2,3,3,3
484070421,3,2,1,3,2,1
484070422,1,2,3,3,2,2
484070423,1,1,2,3,3,2
484070424,2,2,3,4,2,3
484070425,1,1,3,4,4,1
484070426,2,3,3,3,3,1
484070427,1,1,1,4,4,2
484070428,3,3,3,3,3,3
484070429,1,3,1,3,3,3
484070430,3,2,1,3,2,1
484070431,1,4,4,3,4,3
484070432,1,3,3,3,3,3
484070433,2,2,3,3,3,3
484070434,2,3,2,3,3,3
484070435,2,1,3,3,2,1
484070436,2,1,3,1,2,3
484070437,2,3,3,2,3,3
484070438,2,3,2,1,3,4
484070439,2,2,4,4,4,2
484070440,2,3,3,3,2,2
484070441,2,2,3,3,2,4
484070442,1,3,3,2,3,4
484070443,2,3,3,2,4,2
484070444,2,2,3,4,3,2
484070445,2,3,3,2,3,2
484070446,3,3,2,3,2,3
484070447,1,1,2,3,4,3
484070448,2,2,3,2,3,2
484070449,1,3,2,3,2,3
484070450,2,2,2,2,2,2
484070451,1,3,2,3,2,3
484070452,2,3,3,3,4,4
484070453,2,3,3,3,3,2
484070454,2,3,3,3,4,2
484070455,2,3,3,4,3,3
484070456,2,3,3,4,4,3
484070457,2,2,4,4,4,1
484070458,2,2,2,2,2,2
484070459,2,4,3,3,3,3
484070460,1,2,1,3,3,2
484070461,1,3,4,3,3,1
484070462,2,3,3,4,3,3
484070463,3,3,2,2,3,2
484070464,2,3,3,3,3,2
484070465,1,3,4,4,3,2
484070466,1,3,4,3,1,1
484070467,1,2,4,4,4,3
484070468,1,2,4,4,3,3
484070469,2,1,3,3,3,2
484070470,1,4,4,3,4,3
484070471,1,3,3,3,3,3
484070472,2,3,3,3,3,4
484070473,1,1,3,3,3,3
484070474,2,2,3,3,3,2
484070475,2,3,2,3,3,1
484070476,1,3,3,3,3,-1
484070477,3,2,3,4,3,3
484070478,1,3,1,3,3,3
484070479,1,1,3,3,1,3
484070480,1,2,2,3,4,-1
484070481,2,2,2,1,3,2
484070482,2,3,4,4,4,2
484070483,1,1,3,3,3,3
484070484,1,3,3,2,3,4
484070485,2,2,3,3,3,2
484070486,1,4,4,4,4,1
484070487,1,2,3,3,3,2
484070488,1,3,3,3,1,3
484070489,2,2,3,3,3,3
484070490,1,2,4,4,4,3
484070491,1,1,1,1,1,1
484070492,1,2,4,3,3,3
484070493,2,2,4,4,4,1
484070494,1,3,3,4,3,3
484070495,2,1,1,1,2,1
484070496,2,2,2,4,4,4
484070497,2,4,3,3,3,2
484070498,1,3,3,3,3,1
484070499,2,2,1,1,2,1
484070500,3,3,4,4,4,3
484070501,2,3,3,4,4,1
484070502,2,2,4,3,3,3
484070503,1,2,2,3,1,2
484070504,2,2,3,3,3,3
484070505,1,1,2,2,2,1
484070506,1,2,3,4,3,2
484070507,1,2,4,4,4,3
484070508,1,4,3,4,2,3
484070509,2,4,4,4,4,2
484070510,2,2,4,4,4,2
484070511,2,3,3,3,4,2
484070512,1,1,4,4,4,4
484070513,2,2,4,4,4,1
484070514,-1,2,3,3,4,-1
484070515,2,2,3,4,4,1
484070516,1,1,4,4,4,-1
484070517,1,1,3,4,4,1
484070518,2,2,4,4,4,1
484070519,1,4,4,4,4,4
484070520,2,3,3,3,4,1
484070521,2,3,3,3,3,3
484070522,1,4,3,3,3,4
484070523,2,3,3,2,2,2
484070524,1,3,3,3,3,3
484070525,1,3,1,3,3,3
484070526,2,3,2,3,2,3
484070527,1,3,2,3,3,1
484070528,2,3,2,3,3,4
484070529,1,3,3,3,3,3
484070530,1,1,1,4,2,4
484070531,2,2,4,1,4,4
484070532,1,1,4,4,4,4
484070533,1,3,4,4,4,4
484070534,1,1,4,4,4,4
484070535,2,2,4,4,4,4
484070536,2,2,3,3,3,1
484070537,1,4,4,4,4,1
484070538,1,1,3,3,2,2
484070539,1,1,3,3,3,-1
484070540,2,1,4,4,4,4
484070541,1,4,4,4,4,2
484070542,1,2,3,3,3,1
484070543,2,2,3,4,4,2
484070544,2,2,3,3,3,2
484070545,2,3,3,3,3,2
484070546,1,2,3,3,3,3
484070547,2,1,3,4,2,3
484070548,2,3,4,4,4,2
484070549,2,3,3,3,4,2
484070550,2,3,4,4,4,2
484070551,2,3,3,3,2,3
484070552,1,3,3,3,3,3
484070553,2,3,3,3,3,2
484070554,1,4,3,3,3,4
484070555,1,2,3,3,3,2
484070556,1,3,4,3,4,2
484070557,1,3,3,4,4,3
484070558,1,3,3,3,3,3
484070559,1,4,4,4,3,3
484070560,3,2,3,4,4,1
484070561,3,1,3,3,4,1
484070562,3,1,3,3,3,-1
484070563,1,1,2,2,3,3
484070564,1,2,4,4,4,4
484070565,2,1,4,4,4,2
484070566,1,3,4,4,4,2
484070567,1,3,4,4,4,3
484070568,1,3,4,4,4,4
484070569,2,1,3,3,3,1
484070570,1,3,3,3,3,2
484070571,1,4,4,4,3,2
484070572,1,3,1,3,3,1
484070573,1,3,4,4,4,4
484070574,1,2,3,4,4,2
484070575,2,3,4,4,3,4
484070576,2,2,3,3,3,2
484070577,2,2,3,3,3,3
484070578,1,2,3,2,3,3
484070579,1,4,1,4,4,4
484070580,2,1,4,4,4,-1
484070581,1,1,4,4,4,1
484070582,2,2,4,4,4,4
484070583,3,2,4,4,3,2
484070584,2,2,2,2,2,2
484070585,3,3,2,4,2,1
484070586,1,1,4,4,4,1
484070587,2,2,2,3,3,2
484070588,1,1,4,4,4,4
484070589,2,2,3,3,3,2
484070590,1,3,3,3,3,2
484070591,1,4,4,4,4,4
484070592,2,4,4,4,4,4
484070593,1,4,3,3,3,3
484070594,2,2,3,3,3,2
484070595,4,4,4,4,4,4
484070596,2,1,4,4,4,1
484070597,2,3,3,3,3,2
484070598,2,3,3,3,3,2
484070599,2,3,4,4,4,-1
484070600,2,3,3,3,3,2
484070601,2,4,4,4,4,4
484070602,2,3,3,3,3,2
484070603,2,2,3,3,3,2
484070604,2,3,4,4,4,4
484070605,2,3,4,4,4,2
484070606,2,3,2,2,2,3
484070607,1,1,4,4,4,1
484070608,1,1,1,3,1,1
484070609,1,2,3,2,3,3
484070610,1,2,2,3,2,4
484070611,1,1,4,4,4,1
484070612,4,1,1,1,1,1
484070613,2,3,4,4,4,3
484070614,1,2,2,2,-1,3
484070615,1,2,4,4,4,1
484070616,2,3,3,3,3,2
484070617,3,3,4,4,4,4
484070618,1,1,2,2,2,3
484070619,4,4,4,2,3,3
484070620,1,2,4,4,4,3
484070621,1,3,3,4,3,3
484070622,3,3,3,3,3,2
484070623,3,3,4,3,4,3
484070624,2,3,4,4,4,2
484070625,1,1,3,3,2,1
484070626,1,2,2,2,2,2
484070627,1,3,3,3,3,1
484070628,2,3,4,3,4,1
484070629,1,1,3,3,3,3
484070630,1,1,1,3,2,2
484070631,1,3,3,3,3,3
484070632,1,3,3,3,4,3
484070633,1,3,3,3,3,1
484070634,2,2,4,3,4,2
484070635,1,1,1,3,3,1
484070636,2,3,3,4,3,2
484070637,2,3,4,4,4,2
484070638,2,4,4,3,4,3
484070639,2,3,4,3,3,2
484070640,1,1,3,1,4,1
484070641,2,3,3,2,3,3
484070642,1,2,3,3,3,1
484070643,4,4,4,4,4,1
484070644,1,2,2,3,3,3
484070645,1,1,4,4,4,4
484070646,1,3,4,4,4,1
484070647,1,4,4,4,4,1
484070648,1,2,2,3,3,1
484070649,1,4,4,4,4,2
484070650,2,1,4,4,4,1
484070651,1,1,4,4,4,4
484070652,1,2,1,1,1,1
484070653,1,3,4,4,4,3
484070654,1,3,4,4,4,3
484070655,1,2,1,1,1,1
484070656,2,4,4,4,4,3
484070657,1,1,4,4,4,4
484070658,1,2,3,4,3,-1
484070659,2,2,3,3,3,3
484070660,2,1,3,3,3,2
484070661,2,3,4,3,4,3
484070662,1,2,3,3,3,2
484070663,1,4,3,4,4,4
484070664,2,1,3,3,3,1
484070665,3,3,3,4,4,4
484070666,1,1,3,3,3,1
484070667,2,3,3,3,3,2
484070668,1,3,3,3,3,3
484070669,1,1,3,3,3,3
484070670,1,3,1,2,1,3
484070671,1,3,1,1,2,1
484070672,1,4,1,1,1,1
484070673,1,3,1,2,1,2
484070674,1,3,1,1,1,4
484070675,1,3,1,2,1,1
484070676,1,3,3,3,3,3
484070677,1,3,1,1,1,1
484070678,1,3,3,3,3,3
484070679,1,3,4,4,4,1
484070680,3,2,3,3,3,3
484070681,1,3,3,4,3,3
484070682,2,3,2,3,3,1
484070683,1,2,4,4,4,4
484070684,1,2,4,4,4,2
484070685,1,1,4,4,4,1
484070686,1,3,3,3,3,2
484070687,1,2,3,2,3,3
484070688,1,3,3,3,3,3
484070689,3,2,4,4,4,2
484070690,2,3,3,3,3,4
484070691,1,1,3,1,3,1
484070692,4,1,4,4,2,2
484070693,1,4,2,4,3,2
484070694,2,3,3,4,4,3
484070695,2,1,3,4,4,3
484070696,2,2,2,3,3,4
484070697,1,3,3,3,3,1
484070698,1,2,1,2,2,3
484070699,2,2,3,4,4,3
484070700,1,1,4,3,4,1
484070701,1,1,3,4,4,1
484070702,1,3,1,3,3,3
484070703,1,4,4,4,4,4
484070704,1,1,3,3,3,1
484070705,2,2,3,2,4,2
484070706,1,4,4,4,4,3
484070707,1,3,3,3,3,1
484070708,1,3,3,4,3,3
484070709,1,3,3,3,3,2
484070710,3,2,2,3,2,2
484070711,3,2,3,2,2,2
484070712,2,3,4,3,3,2
484070713,2,2,3,3,3,2
484070714,1,2,4,4,4,1
484070715,1,4,4,4,4,1
484070716,1,3,4,4,4,1
484070717,2,3,3,3,3,2
484070718,1,1,3,3,3,2
484070719,1,3,3,3,3,3
484070720,2,3,3,2,4,2
484070721,1,2,3,3,-1,-1
484070722,2,2,3,3,2,4
484070723,2,3,4,3,3,2
484070724,1,2,1,2,2,2
484070725,2,2,2,3,3,4
484070726,1,1,2,3,3,3
484070727,2,2,4,2,4,2
484070728,1,2,4,4,4,2
484070729,2,3,3,3,3,3
484070730,2,3,4,4,4,2
484070731,1,3,4,3,3,3
484070732,1,1,4,4,4,4
484070733,1,1,4,4,4,4
484070734,2,2,2,2,2,2
484070735,1,2,2,2,2,1
484070736,1,3,3,3,3,1
484070737,1,1,3,3,3,1
484070738,2,2,4,4,4,3
484070739,2,2,3,3,4,2
484070740,2,2,2,2,2,2
484070741,1,1,2,2,2,3
484070742,2,2,2,2,2,2
484070743,2,1,3,3,3,2
484070744,2,2,2,3,2,2
484070745,2,3,3,2,3,3
484070746,1,1,3,4,4,4
484070747,1,3,4,4,4,2
484070748,1,1,3,4,4,2
484070749,4,4,4,4,4,4
484070750,1,2,3,3,4,3
484070751,1,2,4,4,4,3
484070752,1,3,3,4,4,1
484070753,1,1,4,4,4,4
484070754,2,1,3,3,3,2
484070755,1,3,3,3,3,3
484070756,1,3,4,3,4,4
484070757,1,2,3,3,4,3
484070758,4,1,4,3,3,3
484070759,1,4,1,1,4,-1
484070760,1,1,4,4,4,1
484070761,1,2,3,3,3,1
484070762,2,2,4,4,4,4
484070763,1,3,-1,4,4,4
484070764,2,4,4,4,4,2
484070765,2,4,4,4,4,2
484070766,2,3,4,4,4,4
484070767,2,3,4,4,4,2
484070768,2,4,4,4,4,4
484070769,3,4,4,4,4,4
484070770,2,4,4,4,4,4
484070771,1,3,4,4,4,2
484070772,1,3,2,2,2,1
484070773,2,2,4,4,4,1
484070774,1,3,3,3,3,1
484070775,1,2,3,2,3,3
484070776,2,3,3,3,3,3
484070777,1,3,3,3,3,3
484070778,1,3,3,4,3,1
484070779,1,3,3,3,3,1
484070780,1,3,3,3,3,3
484070781,-1,4,4,4,4,1
484070782,1,3,3,3,3,3
484070783,1,3,4,4,4,2
484070784,1,3,4,3,3,3
484070785,1,1,3,3,3,1
484070786,2,3,4,2,2,1
484070787,2,3,3,3,2,2
484070788,2,3,2,4,4,3
484070789,1,2,3,3,3,2
484070790,2,3,3,2,2,1
484070791,1,2,3,3,3,2
484070792,2,3,3,2,2,3
484070793,2,1,2,2,2,1
484070794,2,2,3,3,3,3
484070795,1,1,2,2,2,1
484070796,1,2,4,3,2,3
484070797,2,3,4,4,4,4
484070798,3,2,1,3,2,1
484070799,2,3,3,2,2,4
484070800,2,2,2,3,2,3
484070801,1,2,3,3,4,2
484070802,2,3,3,2,4,3
484070803,2,1,3,4,4,4
484070804,2,3,3,3,3,3
484070805,2,3,2,3,2,1
484070806,2,1,4,4,4,1
484070807,1,3,3,3,3,2
484070808,1,1,2,3,3,1
484070809,2,3,2,2,3,3
484070810,3,2,3,3,3,3
484070811,2,3,3,4,2,1
484070812,2,3,3,3,2,2
484070813,1,2,3,2,3,3
484070814,1,1,3,1,1,1
484070815,1,3,3,4,3,3
484070816,1,3,3,3,3,3
484070817,1,2,1,1,1,1
484070818,1,3,4,4,3,2
484070819,1,3,1,2,2,1
484070820,1,1,3,3,3,1
484070821,1,1,3,3,4,1
484070822,2,1,1,2,3,1
484070823,2,3,2,3,3,3
484070824,1,3,3,3,3,4
484070825,1,3,3,3,3,3
484070826,1,4,3,2,4,1
484070827,1,3,2,2,1,1
484070828,1,1,3,1,4,4
484070829,1,3,4,4,4,3
