D_INTERVIEW,Q27,Q28,Q29,Q30,Q31,Q32
484070001,1.0,1.0,1.0,3.0,3.0,1.0
484070002,1.0,4.0,2.0,4.0,2.0,2.0
484070003,2.0,1.0,3.0,3.0,3.0,4.0
484070004,1.0,1.0,4.0,4.0,4.0,3.0
484070005,1.0,2.0,4.0,4.0,4.0,4.0
484070006,1.0,2.0,4.0,4.0,3.0,4.0
484070007,2.0,4.0,4.0,4.0,4.0,4.0
484070008,1.0,4.0,3.0,3.0,3.0,3.0
484070009,1.0,3.0,4.0,4.0,4.0,4.0
484070010,1.0,1.0,4.0,4.0,4.0,2.0
484070011,2.0,2.0,2.0,3.0,1.0,1.0
484070012,1.0,4.0,3.0,3.0,3.0,1.0
484070013,1.0,3.0,4.0,4.0,1.0,4.0
484070014,1.0,1.0,4.0,4.0,4.0,1.0
484070015,1.0,2.0,3.0,3.0,3.0,2.0
484070016,1.0,1.0,2.0,3.0,3.0,3.0
484070017,2.0,2.0,3.0,2.0,2.0,1.0
484070018,1.0,1.0,4.0,4.0,4.0,1.0
484070019,2.0,3.0,2.0,3.0,3.0,3.0
484070020,1.0,2.0,2.0,2.0,3.0,3.0
484070021,1.0,2.0,4.0,4.0,4.0,3.0
484070022,1.0,1.0,4.0,4.0,1.0,1.0
484070023,1.0,2.0,2.0,2.0,2.0,2.0
484070024,2.0,2.0,4.0,4.0,2.0,2.0
484070025,1.0,3.0,4.0,4.0,4.0,1.0
484070026,1.0,2.0,3.0,4.0,3.0,2.0
484070027,2.0,2.0,3.0,3.0,3.0,3.0
484070028,1.0,1.0,3.0,3.0,3.0,1.0
484070029,1.0,2.0,3.0,4.0,4.0,2.0
484070030,1.0,1.0,4.0,4.0,4.0,3.0
484070031,2.0,3.0,2.0,3.0,3.0,2.0
484070032,2.0,3.0,3.0,3.0,3.0,2.0
484070033,2.0,2.0,3.0,3.0,3.0,2.0
484070034,1.0,2.0,-1.0,-1.0,-1.0,-1.0
484070035,1.0,1.0,1.0,1.0,1.0,1.0
484070036,1.0,1.0,1.0,1.0,2.0,2.0
484070037,1.0,1.0,2.0,4.0,4.0,1.0
484070038,3.0,3.0,4.0,3.0,4.0,2.0
484070039,1.0,1.0,3.0,2.0,2.0,1.0
484070040,1.0,1.0,2.0,2.0,2.0,2.0
484070041,1.0,3.0,3.0,4.0,4.0,4.0
484070042,2.0,3.0,3.0,3.0,4.0,1.0
484070043,1.0,3.0,3.0,4.0,4.0,2.0
484070044,2.0,3.0,4.0,4.0,4.0,1.0
484070045,1.0,3.0,3.0,3.0,3.0,2.0
484070046,1.0,2.0,2.0,3.0,4.0,2.0
484070047,2.0,3.0,4.0,4.0,4.0,4.0
484070048,1.0,1.0,1.0,1.0,1.0,1.0
484070049,1.0,1.0,4.0,4.0,4.0,4.0
484070050,1.0,3.0,3.0,3.0,3.0,2.0
484070051,1.0,1.0,1.0,3.0,3.0,3.0
484070052,1.0,4.0,4.0,4.0,4.0,1.0
484070053,2.0,3.0,3.0,4.0,4.0,3.0
484070054,2.0,3.0,3.0,3.0,3.0,3.0
484070055,1.0,1.0,4.0,4.0,4.0,1.0
484070056,1.0,1.0,4.0,4.0,4.0,1.0
484070057,1.0,1.0,1.0,-1.0,-1.0,1.0
484070058,1.0,3.0,3.0,3.0,3.0,3.0
484070059,1.0,3.0,3.0,3.0,3.0,2.0
484070060,1.0,2.0,2.0,3.0,2.0,1.0
484070061,4.0,4.0,4.0,4.0,4.0,4.0
484070062,2.0,3.0,4.0,4.0,3.0,4.0
484070063,1.0,2.0,2.0,3.0,3.0,2.0
484070064,1.0,2.0,3.0,3.0,4.0,3.0
484070065,2.0,3.0,3.0,3.0,3.0,2.0
484070066,1.0,3.0,3.0,4.0,4.0,2.0
484070067,2.0,3.0,3.0,2.0,3.0,3.0
484070068,1.0,1.0,4.0,4.0,4.0,4.0
484070069,1.0,2.0,4.0,4.0,4.0,-1.0
484070070,2.0,2.0,3.0,3.0,3.0,2.0
484070071,1.0,3.0,3.0,4.0,1.0,1.0
484070072,1.0,3.0,4.0,4.0,4.0,1.0
484070073,1.0,3.0,3.0,4.0,4.0,-1.0
484070074,1.0,3.0,3.0,3.0,2.0,2.0
484070075,1.0,4.0,4.0,4.0,4.0,4.0
484070076,1.0,2.0,2.0,3.0,3.0,3.0
484070077,1.0,3.0,4.0,4.0,4.0,4.0
484070078,1.0,1.0,1.0,3.0,3.0,3.0
484070079,1.0,3.0,1.0,3.0,3.0,1.0
484070080,1.0,2.0,4.0,4.0,4.0,1.0
484070081,1.0,1.0,4.0,4.0,2.0,2.0
484070082,2.0,4.0,3.0,4.0,3.0,2.0
484070083,1.0,2.0,3.0,4.0,2.0,1.0
484070084,1.0,1.0,4.0,4.0,4.0,1.0
484070085,1.0,1.0,1.0,3.0,3.0,2.0
484070086,1.0,1.0,1.0,3.0,3.0,3.0
484070087,1.0,1.0,4.0,3.0,4.0,2.0
484070088,1.0,2.0,3.0,4.0,4.0,3.0
484070089,1.0,1.0,1.0,1.0,1.0,2.0
484070090,3.0,3.0,1.0,3.0,3.0,1.0
484070091,1.0,1.0,2.0,2.0,2.0,3.0
484070092,1.0,3.0,3.0,3.0,4.0,1.0
484070093,1.0,4.0,4.0,4.0,4.0,-1.0
484070094,2.0,2.0,3.0,3.0,3.0,2.0
484070095,1.0,1.0,3.0,3.0,3.0,3.0
484070096,1.0,4.0,4.0,4.0,4.0,1.0
484070097,1.0,2.0,2.0,2.0,2.0,2.0
484070098,1.0,3.0,3.0,4.0,4.0,4.0
484070099,1.0,3.0,3.0,3.0,3.0,2.0
484070100,1.0,3.0,3.0,3.0,3.0,3.0
484070101,2.0,2.0,2.0,3.0,3.0,4.0
484070102,1.0,3.0,3.0,3.0,3.0,1.0
484070103,1.0,2.0,3.0,3.0,3.0,3.0
484070104,1.0,3.0,3.0,3.0,3.0,1.0
484070105,2.0,2.0,2.0,3.0,4.0,3.0
484070106,1.0,3.0,3.0,3.0,3.0,1.0
484070107,1.0,1.0,3.0,3.0,3.0,1.0
484070108,2.0,2.0,1.0,3.0,2.0,2.0
484070109,1.0,1.0,3.0,3.0,3.0,2.0
484070110,1.0,2.0,4.0,4.0,4.0,2.0
484070111,2.0,2.0,3.0,3.0,3.0,2.0
484070112,2.0,2.0,3.0,3.0,3.0,2.0
484070113,1.0,1.0,3.0,4.0,4.0,3.0
484070114,1.0,3.0,3.0,3.0,3.0,1.0
484070115,1.0,2.0,3.0,4.0,4.0,3.0
484070116,1.0,2.0,4.0,3.0,4.0,4.0
484070117,2.0,3.0,3.0,3.0,3.0,2.0
484070118,1.0,1.0,1.0,1.0,1.0,2.0
484070119,1.0,3.0,3.0,2.0,2.0,1.0
484070120,1.0,1.0,2.0,1.0,1.0,3.0
484070121,1.0,4.0,4.0,3.0,3.0,2.0
484070122,2.0,2.0,2.0,1.0,2.0,2.0
484070123,2.0,1.0,3.0,3.0,3.0,4.0
484070124,2.0,2.0,2.0,3.0,3.0,2.0
484070125,2.0,1.0,3.0,3.0,3.0,2.0
484070126,1.0,1.0,4.0,4.0,4.0,3.0
484070127,1.0,3.0,4.0,4.0,4.0,4.0
484070128,3.0,4.0,4.0,4.0,4.0,1.0
484070129,2.0,3.0,3.0,3.0,3.0,1.0
484070130,1.0,1.0,4.0,4.0,4.0,4.0
484070131,1.0,3.0,3.0,3.0,3.0,3.0
484070132,2.0,2.0,3.0,3.0,3.0,2.0
484070133,2.0,2.0,3.0,3.0,3.0,3.0
484070134,1.0,3.0,3.0,3.0,3.0,2.0
484070135,1.0,2.0,4.0,4.0,4.0,1.0
484070136,1.0,1.0,3.0,3.0,4.0,3.0
484070137,2.0,3.0,3.0,4.0,3.0,3.0
484070138,1.0,2.0,4.0,4.0,4.0,2.0
484070139,2.0,2.0,3.0,3.0,3.0,2.0
484070140,2.0,2.0,3.0,3.0,3.0,-1.0
484070141,1.0,3.0,3.0,3.0,2.0,2.0
484070142,1.0,2.0,3.0,3.0,3.0,2.0
484070143,2.0,3.0,2.0,3.0,3.0,1.0
484070144,2.0,3.0,3.0,3.0,3.0,3.0
484070145,1.0,1.0,3.0,3.0,2.0,3.0
484070146,1.0,3.0,3.0,4.0,4.0,3.0
484070147,1.0,1.0,2.0,2.0,3.0,-1.0
484070148,2.0,3.0,3.0,3.0,3.0,1.0
484070149,2.0,2.0,2.0,3.0,3.0,2.0
484070150,2.0,2.0,3.0,4.0,4.0,2.0
484070151,1.0,2.0,3.0,3.0,4.0,3.0
484070152,1.0,2.0,3.0,3.0,3.0,2.0
484070153,1.0,2.0,1.0,1.0,1.0,1.0
484070154,1.0,1.0,3.0,1.0,3.0,3.0
484070155,2.0,3.0,3.0,4.0,4.0,2.0
484070156,2.0,3.0,4.0,3.0,2.0,1.0
484070157,4.0,3.0,2.0,2.0,4.0,3.0
484070158,1.0,2.0,3.0,4.0,2.0,3.0
484070159,1.0,3.0,3.0,4.0,4.0,4.0
484070160,1.0,3.0,3.0,3.0,3.0,3.0
484070161,1.0,4.0,4.0,2.0,3.0,3.0
484070162,1.0,3.0,4.0,4.0,4.0,4.0
484070163,2.0,3.0,1.0,2.0,2.0,2.0
484070164,2.0,1.0,2.0,3.0,2.0,2.0
484070165,1.0,3.0,3.0,3.0,3.0,2.0
484070166,2.0,1.0,3.0,2.0,4.0,4.0
484070167,3.0,2.0,4.0,1.0,3.0,4.0
484070168,1.0,3.0,3.0,3.0,4.0,3.0
484070169,1.0,3.0,3.0,3.0,3.0,1.0
484070170,1.0,1.0,3.0,2.0,3.0,2.0
484070171,2.0,1.0,4.0,3.0,3.0,3.0
484070172,2.0,2.0,3.0,3.0,3.0,3.0
484070173,2.0,4.0,4.0,3.0,4.0,2.0
484070174,2.0,3.0,3.0,4.0,4.0,3.0
