D_INTERVIEW,Q27,Q28,Q29,Q30,Q31,Q32
528070001,2,3,3,4,3,3
528070002,3,4,4,4,4,3
528070003,2,3,3,4,4,4
528070004,3,2,4,4,4,2
528070005,1,-1,-5,-1,-5,-5
528070006,2,4,4,4,4,4
528070007,3,4,4,4,4,4
528070008,4,1,-1,4,1,1
528070009,4,3,4,4,3,2
528070010,-1,3,4,4,4,1
528070011,2,4,4,4,4,1
528070012,-1,2,3,4,4,2
528070013,2,4,3,4,4,2
528070014,2,3,4,4,4,2
528070015,1,4,4,4,4,3
528070016,3,3,3,4,3,2
528070017,2,4,4,4,4,-1
528070018,1,3,4,4,4,1
528070019,2,3,3,4,3,3
528070020,1,-5,-1,3,3,-1
528070021,1,4,3,4,3,4
528070022,-1,2,3,3,3,2
528070023,2,4,3,4,4,2
528070024,2,3,3,3,3,2
528070025,1,3,3,4,4,3
528070026,2,3,3,3,3,2
528070027,4,3,4,4,4,-1
528070028,-1,3,-1,4,4,-1
528070029,2,4,4,4,4,3
528070030,3,3,3,4,4,-1
528070031,2,3,3,3,3,2
528070032,2,4,4,4,4,-1
528070033,-1,4,4,4,4,1
528070034,3,4,4,4,4,3
528070035,1,4,4,4,4,-1
528070036,3,3,3,3,3,3
528070037,2,2,3,4,4,1
528070038,3,3,4,4,4,2
528070039,2,3,4,3,4,3
528070040,2,2,2,2,2,4
528070041,2,3,3,3,3,2
528070042,3,4,4,4,4,3
528070043,-1,-1,-1,-1,-1,-1
528070044,3,2,3,3,3,2
528070045,2,3,3,3,3,2
528070046,2,-1,4,4,4,2
528070047,2,2,3,3,3,2
528070048,2,4,4,4,4,2
528070049,1,4,3,3,3,2
528070050,2,3,3,3,3,3
528070051,3,4,4,4,4,3
528070052,3,2,3,4,3,1
528070053,2,4,4,4,4,2
528070054,-1,4,3,4,3,3
528070055,2,4,4,4,4,-1
528070056,3,3,4,4,4,2
528070057,2,4,4,4,4,-5
528070058,3,4,4,4,4,1
528070059,2,4,4,4,4,4
528070060,3,4,4,4,4,3
528070061,3,3,3,3,3,3
