D_INTERVIEW,Q27,Q28,Q29,Q30,Q31,Q32
604070001,2,3,3,3,3,3
604070002,1,3,2,3,3,3
604070003,2,2,3,3,3,3
604070004,2,2,3,3,3,3
604070005,2,2,3,3,3,3
604070006,1,3,2,2,2,2
604070007,1,3,3,3,3,2
604070008,2,2,3,3,3,3
604070009,2,2,3,3,3,2
604070010,1,2,3,3,3,2
604070011,2,2,3,3,3,2
604070012,1,2,3,3,3,2
604070013,2,2,3,3,3,3
604070014,1,3,4,4,4,2
604070015,1,2,4,3,3,2
604070016,2,3,3,4,4,3
604070017,2,2,3,4,4,2
604070018,2,2,3,3,3,2
604070019,2,2,3,3,3,2
604070020,2,3,3,3,3,2
604070021,1,4,4,4,4,2
604070022,2,2,3,4,4,3
604070023,1,2,4,3,4,3
604070024,2,3,3,3,4,2
604070025,1,4,3,3,3,1
604070026,2,3,3,2,3,3
604070027,2,2,3,3,3,2
604070028,2,3,3,2,3,2
604070029,2,3,3,4,3,2
604070030,2,2,2,3,2,2
604070031,2,3,4,4,3,3
604070032,2,3,3,3,4,2
604070033,2,3,2,3,3,3
604070034,2,2,2,3,2,2
604070035,2,3,3,4,2,2
604070036,1,2,4,4,4,3
604070037,1,4,4,4,4,2
604070038,2,1,3,3,3,3
604070039,1,3,3,3,4,1
604070040,1,3,4,4,4,2
604070041,2,2,3,4,3,3
604070042,2,3,-1,3,3,3
604070043,2,3,2,3,2,3
604070044,2,2,3,3,3,3
604070045,2,2,2,3,3,3
604070046,1,2,3,3,3,3
604070047,2,2,3,3,3,3
604070048,2,3,2,3,2,2
604070049,2,2,3,3,3,3
604070050,1,3,3,3,3,3
604070051,2,4,4,4,4,4
604070052,1,2,-1,3,3,1
604070053,1,3,3,3,3,2
604070054,1,3,2,3,2,3
604070055,2,2,3,4,4,2
604070056,1,3,3,3,3,3
604070057,1,2,4,4,4,1
604070058,1,4,2,4,4,3
604070059,1,1,3,3,3,3
604070060,1,2,2,2,2,2
604070061,2,4,3,4,4,3
604070062,2,3,3,3,4,3
604070063,2,2,4,3,3,2
604070064,2,3,4,4,4,3
604070065,1,4,4,4,3,3
604070066,2,3,3,3,3,2
604070067,2,3,3,4,3,1
604070068,2,3,3,3,3,2
604070069,2,3,2,3,2,2
604070070,2,3,3,4,2,3
604070071,2,2,4,4,4,3
604070072,2,3,4,3,3,2
604070073,1,3,3,3,3,4
604070074,2,3,3,4,4,3
604070075,1,3,4,3,4,3
604070076,1,2,1,3,1,2
604070077,1,1,2,3,1,2
604070078,1,2,1,3,2,2
604070079,2,2,3,2,3,2
604070080,2,3,2,3,1,2
604070081,1,3,3,3,3,3
604070082,1,2,2,2,2,2
604070083,1,2,3,3,3,2
604070084,1,1,2,2,2,2
604070085,3,4,4,4,4,3
604070086,3,1,2,3,3,1
604070087,2,3,3,4,4,1
604070088,2,3,4,2,4,2
604070089,1,2,3,3,3,1
604070090,3,2,3,4,4,2
604070091,2,1,3,3,3,1
604070092,2,2,3,2,3,3
604070093,1,2,3,2,4,1
604070094,2,1,3,4,4,4
604070095,1,2,3,3,4,2
604070096,2,2,2,3,2,3
604070097,2,2,3,3,3,2
604070098,2,2,3,4,3,3
604070099,2,2,2,3,3,3
604070100,2,2,3,3,3,3
604070101,1,4,4,4,4,2
604070102,1,2,3,3,3,1
604070103,2,2,3,3,3,3
604070104,1,3,3,2,3,3
604070105,2,2,2,4,4,2
604070106,2,2,-1,2,1,2
604070107,2,3,4,3,3,2
604070108,2,2,3,4,4,3
604070109,2,3,2,4,4,2
604070110,1,3,-1,3,3,-1
604070111,2,3,-1,-1,4,3
604070112,1,4,3,4,3,2
604070113,2,3,3,3,3,3
604070114,1,3,3,1,2,3
604070115,1,3,4,4,3,3
604070116,2,2,3,3,2,3
604070117,2,2,3,3,3,3
604070118,2,2,3,3,3,2
604070119,2,2,3,3,3,-1
604070120,2,2,3,3,3,3
604070121,2,3,2,2,3,1
604070122,2,3,3,4,2,1
604070123,2,4,3,3,4,1
604070124,2,3,2,2,3,2
604070125,2,3,2,3,3,2
604070126,2,2,4,4,4,3
604070127,2,2,4,4,4,3
604070128,2,2,3,3,3,3
604070129,2,2,4,4,4,3
604070130,2,2,3,3,3,3
604070131,3,2,3,4,3,3
604070132,2,2,3,3,3,3
604070133,2,2,3,3,3,3
604070134,2,2,3,3,3,3
604070135,3,2,3,4,4,3
604070136,1,2,3,3,3,2
604070137,1,3,3,3,3,4
604070138,1,3,3,3,3,3
604070139,1,3,3,3,3,3
604070140,1,3,3,3,3,3
604070141,2,3,4,4,4,-1
604070142,1,2,3,3,2,3
604070143,1,2,3,1,3,4
604070144,2,3,3,3,3,3
604070145,1,3,3,3,3,3
604070146,2,4,3,3,2,2
604070147,2,3,2,2,3,2
604070148,2,4,2,2,-1,-1
604070149,2,2,1,3,3,2
604070150,2,3,2,2,2,2
604070151,1,3,4,4,4,2
604070152,2,3,3,4,3,2
604070153,2,3,4,4,3,2
604070154,2,3,2,4,2,2
604070155,2,3,3,4,4,2
604070156,2,3,4,4,4,2
604070157,2,3,4,4,3,2
604070158,2,3,3,4,4,2
604070159,2,3,4,4,4,2
604070160,2,4,4,4,3,2
604070161,2,4,2,3,3,2
604070162,1,4,2,3,3,2
604070163,2,3,3,3,3,2
604070164,3,2,3,3,3,3
604070165,2,3,3,3,3,2
604070166,1,4,4,4,4,2
604070167,2,3,4,4,4,3
604070168,2,2,3,3,3,4
604070169,2,3,3,3,3,3
604070170,2,3,3,3,3,1
604070171,2,2,3,3,3,2
604070172,1,1,3,3,2,2
604070173,3,2,4,4,4,1
604070174,3,1,3,3,3,2
604070175,1,4,3,3,3,2
604070176,1,2,2,2,2,3
604070177,1,3,3,3,3,2
604070178,2,2,3,3,3,3
604070179,2,3,3,3,3,2
604070180,2,3,3,3,3,3
604070181,1,3,4,3,3,3
604070182,1,4,3,3,3,4
604070183,1,4,3,3,4,4
604070184,2,4,3,3,4,3
604070185,1,3,4,3,3,3
604070186,2,3,4,3,4,2
604070187,2,3,3,4,4,2
604070188,1,1,3,4,4,4
604070189,3,3,4,4,4,2
604070190,2,3,4,4,4,2
604070191,2,3,4,3,3,2
604070192,3,3,3,3,3,2
604070193,1,3,3,3,-5,2
604070194,2,3,3,3,3,2
604070195,2,3,3,3,3,2
604070196,2,3,3,4,3,2
604070197,2,3,3,4,3,2
604070198,2,3,3,4,4,2
604070199,2,3,3,4,3,2
604070200,2,3,3,4,4,2
604070201,2,3,2,3,3,1
604070202,1,1,3,3,3,2
604070203,2,2,2,2,2,2
604070204,2,2,3,3,3,1
604070205,2,3,2,3,3,2
604070206,1,3,4,4,3,3
604070207,1,3,3,4,3,2
604070208,2,3,4,3,3,4
604070209,1,3,4,3,3,3
604070210,1,3,4,4,3,3
604070211,1,1,3,4,3,3
604070212,1,3,4,3,4,3
604070213,1,3,4,3,3,3
604070214,1,2,3,3,2,3
604070215,2,2,4,3,3,3
604070216,1,4,2,1,2,2
604070217,1,3,2,4,2,1
604070218,3,2,3,3,3,2
604070219,2,3,3,3,3,2
604070220,1,3,3,3,3,2
604070221,1,2,3,3,4,2
604070222,2,2,3,3,3,2
604070223,1,2,2,3,3,2
604070224,1,3,3,3,3,1
604070225,2,3,3,3,3,1
604070226,1,2,3,3,3,1
604070227,2,1,1,3,3,3
604070228,1,3,3,3,3,1
604070229,2,3,4,4,4,3
604070230,2,3,3,3,3,2
604070231,1,1,1,3,3,2
604070232,1,3,4,4,4,2
604070233,1,3,3,3,3,4
604070234,2,2,3,3,3,3
604070235,1,3,3,3,3,2
604070236,1,3,3,3,3,3
604070237,1,2,2,2,3,3
604070238,2,3,3,3,3,3
604070239,2,2,3,3,3,2
604070240,2,1,3,2,3,3
604070241,2,1,3,3,3,3
604070242,1,3,3,3,3,2
604070243,2,2,3,3,3,2
604070244,2,2,3,2,3,2
604070245,2,2,3,2,2,3
604070246,2,2,3,3,3,2
604070247,2,3,3,4,3,3
604070248,2,3,3,4,3,3
604070249,2,3,3,3,3,4
604070250,2,3,3,4,3,3
604070251,2,2,3,4,3,2
604070252,2,2,3,4,3,2
604070253,2,3,3,2,3,2
604070254,2,2,3,3,3,3
604070255,2,3,3,4,3,3
604070256,1,3,3,3,3,2
604070257,1,1,2,3,3,3
604070258,2,3,3,3,3,2
604070259,2,2,3,3,3,-1
604070260,2,2,2,4,4,2
604070261,1,2,3,3,3,2
604070262,2,2,3,3,3,3
604070263,1,1,3,3,3,3
604070264,1,2,3,3,3,3
604070265,1,2,3,3,3,2
604070266,1,2,3,3,4,1
604070267,2,2,2,3,3,2
604070268,1,3,2,1,3,2
604070269,2,3,3,3,3,3
604070270,2,3,3,3,3,2
604070271,1,2,3,3,3,3
604070272,1,2,3,3,3,3
604070273,1,3,3,3,3,1
604070274,1,2,3,3,3,1
604070275,1,3,3,3,3,3
604070276,2,2,3,3,3,2
604070277,1,3,3,3,3,1
604070278,1,3,3,3,3,3
604070279,1,2,2,2,2,2
604070280,1,2,2,3,3,3
604070281,2,2,3,3,3,2
604070282,2,3,4,4,4,2
604070283,2,2,4,4,3,-1
604070284,2,2,4,4,4,3
604070285,2,3,3,3,3,3
604070286,2,3,3,4,4,2
604070287,2,4,3,4,4,1
604070288,-2,3,3,4,-1,-1
604070289,2,3,2,3,3,3
604070290,3,2,4,4,-1,-1
604070291,2,3,4,4,3,2
604070292,2,2,3,4,3,2
604070293,1,2,2,4,3,2
604070294,2,3,3,4,3,3
604070295,2,3,4,4,3,2
604070296,2,2,3,3,3,-1
604070297,2,3,4,4,3,2
604070298,2,3,4,4,4,2
604070299,2,1,3,4,3,2
604070300,2,3,4,4,3,2
604070301,3,3,3,4,4,2
604070302,2,3,3,4,4,2
604070303,3,3,2,3,3,3
604070304,2,4,3,4,4,2
604070305,2,4,4,4,4,2
604070306,2,2,3,3,2,2
604070307,2,4,2,3,3,2
604070308,2,2,3,2,3,1
604070309,2,3,3,2,3,3
604070310,2,2,3,3,2,2
604070311,2,2,3,3,3,3
604070312,2,2,3,3,3,3
604070313,2,2,3,3,3,3
604070314,2,2,3,3,3,3
604070315,2,2,3,3,3,3
604070316,2,2,3,3,3,2
604070317,2,2,3,3,3,2
604070318,2,2,3,3,3,3
604070319,2,2,3,3,3,2
604070320,3,2,3,3,3,3
604070321,1,3,3,3,3,1
604070322,2,3,3,3,3,2
604070323,2,4,3,3,3,2
604070324,2,3,3,3,3,2
604070325,1,3,3,3,3,4
604070326,1,3,3,3,3,2
604070327,1,2,3,3,4,2
604070328,2,3,3,3,3,3
604070329,2,2,3,3,2,2
604070330,2,3,4,3,3,2
604070331,2,3,3,3,3,2
604070332,2,2,4,4,4,2
604070333,2,3,4,4,4,2
604070334,2,3,3,4,3,-1
604070335,2,3,4,4,3,2
604070336,3,2,3,4,4,3
604070337,2,3,3,4,4,-1
604070338,2,3,3,4,4,2
604070339,2,3,4,4,4,2
604070340,1,3,4,3,3,-1
604070341,2,3,2,2,2,4
604070342,2,4,3,3,3,2
604070343,2,2,2,3,3,2
604070344,2,3,3,-1,2,3
604070345,2,2,3,3,-1,2
604070346,1,2,3,3,3,3
604070347,2,2,3,3,3,2
604070348,1,3,4,4,4,3
604070349,1,3,3,2,3,1
604070350,1,2,3,3,4,3
604070351,1,2,3,3,3,3
604070352,3,2,2,3,3,2
604070353,3,3,3,3,3,3
604070354,2,2,3,3,3,2
604070355,1,3,3,3,3,3
604070356,2,3,3,3,2,2
604070357,2,4,3,4,3,2
604070358,2,3,3,4,3,2
604070359,2,4,3,4,3,2
604070360,3,3,3,3,3,2
604070361,2,3,3,3,3,2
604070362,1,3,3,3,3,3
604070363,1,2,3,3,3,2
604070364,2,2,1,2,1,2
604070365,1,4,4,4,4,1
604070366,2,3,4,3,4,4
604070367,1,3,4,4,4,2
604070368,1,2,3,3,3,2
604070369,1,2,3,3,3,1
604070370,1,3,2,3,3,2
604070371,1,4,2,1,4,1
604070372,2,3,2,3,2,2
604070373,1,2,3,4,4,3
604070374,1,2,4,3,2,1
604070375,1,3,3,3,3,2
604070376,2,4,4,4,4,2
604070377,1,3,2,3,3,1
604070378,1,3,4,3,3,3
604070379,2,3,3,3,3,2
604070380,1,2,3,3,3,1
604070381,1,3,3,3,3,1
604070382,2,2,3,3,3,3
604070383,2,2,3,3,3,3
604070384,2,3,3,3,3,1
604070385,2,2,3,3,3,3
604070386,3,4,4,4,4,4
604070387,1,1,3,3,3,3
604070388,2,3,3,3,3,1
604070389,1,3,4,3,3,2
604070390,2,3,3,3,3,3
604070391,1,2,1,3,2,3
604070392,1,2,3,3,4,3
604070393,2,3,2,3,1,3
604070394,2,3,1,2,3,2
604070395,2,3,3,3,3,-1
604070396,2,3,3,3,4,3
604070397,2,2,2,3,3,2
604070398,2,2,4,3,4,2
604070399,2,3,1,3,3,3
604070400,1,3,1,3,3,2
604070401,1,3,3,3,2,3
604070402,2,2,4,3,4,-1
604070403,1,2,4,4,4,3
604070404,2,3,-2,-2,3,4
604070405,2,2,2,3,3,2
604070406,2,3,4,4,4,2
604070407,1,2,2,3,2,2
604070408,2,4,2,2,2,2
604070409,1,3,3,4,4,1
604070410,2,2,2,4,3,2
604070411,1,1,3,3,3,3
604070412,1,2,3,3,3,2
604070413,3,2,2,2,2,2
604070414,1,2,3,3,3,2
604070415,1,3,3,3,2,3
604070416,2,2,4,4,4,2
604070417,1,2,2,2,2,2
604070418,1,3,4,4,4,1
604070419,2,2,2,2,1,2
604070420,2,3,4,4,3,2
604070421,1,1,3,3,3,3
604070422,2,2,3,3,3,2
604070423,1,2,4,4,4,4
604070424,1,2,3,3,3,3
604070425,2,3,3,3,3,3
604070426,1,2,3,3,3,2
604070427,2,4,4,2,3,3
604070428,1,2,2,2,2,2
604070429,1,3,3,4,3,3
