D_INTERVIEW,Q27,Q28,Q29,Q30,Q31,Q32
604070001,2.0,3.0,3.0,3.0,3.0,3.0
604070002,1.0,3.0,2.0,3.0,3.0,3.0
604070003,2.0,2.0,3.0,3.0,3.0,3.0
604070004,2.0,2.0,3.0,3.0,3.0,3.0
604070005,2.0,2.0,3.0,3.0,3.0,3.0
604070006,1.0,3.0,2.0,2.0,2.0,2.0
604070007,1.0,3.0,3.0,3.0,3.0,2.0
604070008,2.0,2.0,3.0,3.0,3.0,3.0
604070009,2.0,2.0,3.0,3.0,3.0,2.0
604070010,1.0,2.0,3.0,3.0,3.0,2.0
604070011,2.0,2.0,3.0,3.0,3.0,2.0
604070012,1.0,2.0,3.0,3.0,3.0,2.0
604070013,2.0,2.0,3.0,3.0,3.0,3.0
604070014,1.0,3.0,4.0,4.0,4.0,2.0
604070015,1.0,2.0,4.0,3.0,3.0,2.0
604070016,2.0,3.0,3.0,4.0,4.0,3.0
604070017,2.0,2.0,3.0,4.0,4.0,2.0
604070018,2.0,2.0,3.0,3.0,3.0,2.0
604070019,2.0,2.0,3.0,3.0,3.0,2.0
604070020,2.0,3.0,3.0,3.0,3.0,2.0
604070021,1.0,4.0,4.0,4.0,4.0,2.0
604070022,2.0,2.0,3.0,4.0,4.0,3.0
604070023,1.0,2.0,4.0,3.0,4.0,3.0
604070024,2.0,3.0,3.0,3.0,4.0,2.0
604070025,1.0,4.0,3.0,3.0,3.0,1.0
604070026,2.0,3.0,3.0,2.0,3.0,3.0
604070027,2.0,2.0,3.0,3.0,3.0,2.0
604070028,2.0,3.0,3.0,2.0,3.0,2.0
604070029,2.0,3.0,3.0,4.0,3.0,2.0
604070030,2.0,2.0,2.0,3.0,2.0,2.0
604070031,2.0,3.0,4.0,4.0,3.0,3.0
604070032,2.0,3.0,3.0,3.0,4.0,2.0
604070033,2.0,3.0,2.0,3.0,3.0,3.0
604070034,2.0,2.0,2.0,3.0,2.0,2.0
604070035,2.0,3.0,3.0,4.0,2.0,2.0
604070036,1.0,2.0,4.0,4.0,4.0,3.0
604070037,1.0,4.0,4.0,4.0,4.0,2.0
604070038,2.0,1.0,3.0,3.0,3.0,3.0
604070039,1.0,3.0,3.0,3.0,4.0,1.0
604070040,1.0,3.0,4.0,4.0,4.0,2.0
604070041,2.0,2.0,3.0,4.0,3.0,3.0
604070042,2.0,3.0,-1.0,3.0,3.0,3.0
604070043,2.0,3.0,2.0,3.0,2.0,3.0
604070044,2.0,2.0,3.0,3.0,3.0,3.0
604070045,2.0,2.0,2.0,3.0,3.0,3.0
604070046,1.0,2.0,3.0,3.0,3.0,3.0
