D_INTERVIEW,Q27,Q28,Q29,Q30,Q31,Q32
840071001,1,1,3,3,3,2
840071002,2,1,3,4,3,2
840071003,2,2,2,3,4,2
840071004,4,2,3,3,3,1
840071005,2,3,3,4,4,2
840071006,2,3,3,3,3,1
840071007,1,3,4,4,4,1
840071008,2,3,3,3,4,3
840071009,1,3,4,4,4,4
840071010,1,1,3,3,3,3
840071011,2,3,3,3,4,2
840071012,2,2,2,2,1,1
840071013,3,2,1,4,2,1
840071014,2,3,3,4,3,3
840071015,2,1,3,3,3,3
840071016,3,4,4,3,3,3
840071017,1,2,4,4,4,2
840071018,2,3,3,3,3,2
840071019,1,3,4,4,4,4
840071020,2,3,3,3,3,2
840071021,2,4,4,4,4,1
840071022,2,3,1,2,1,1
840071023,1,3,3,3,3,2
840071024,1,1,2,4,4,1
840071025,2,4,3,3,4,2
840071026,4,2,2,2,2,1
840071027,3,2,3,3,4,2
840071028,2,3,3,3,4,2
840071029,1,2,3,2,2,1
840071030,2,3,3,3,3,2
840071031,2,3,3,3,3,2
840071032,1,4,3,3,3,3
840071033,1,4,3,3,2,1
840071034,2,4,4,4,4,1
840071035,1,4,3,3,3,3
840071036,1,4,4,4,4,1
840071037,2,3,3,3,2,2
840071038,3,3,3,3,3,3
840071039,2,3,3,3,3,2
840071040,2,-2,4,3,4,1
840071041,1,3,4,3,4,4
840071042,1,2,3,3,3,2
840071043,2,3,2,3,2,2
840071044,1,1,3,3,3,1
840071045,2,4,4,4,4,3
840071046,2,3,3,4,4,2
840071047,1,3,3,3,3,2
840071048,1,1,1,1,1,1
840071049,1,2,1,2,2,2
840071050,3,2,3,4,3,3
840071051,1,4,4,4,4,1
840071052,2,3,3,2,3,2
840071053,1,4,4,4,4,1
840071054,1,4,4,4,4,4
840071055,1,3,3,3,3,2
840071056,3,1,4,4,4,1
840071057,1,2,3,3,4,1
840071058,2,3,3,4,4,4
840071059,3,2,3,3,-2,2
840071060,2,3,3,3,3,2
840071061,1,4,4,4,4,1
840071062,1,1,4,4,4,1
840071063,2,2,3,3,3,3
840071064,3,3,3,3,3,2
840071065,2,3,4,4,4,2
840071066,2,2,3,3,3,1
840071067,1,2,4,4,3,3
840071068,1,4,4,4,4,4
840071069,2,3,4,4,3,2
840071070,1,3,3,3,3,1
840071071,4,2,3,3,3,2
840071072,3,3,4,4,4,3
840071073,1,2,1,3,2,3
840071074,2,3,4,4,3,3
840071075,1,3,4,4,4,1
840071076,2,3,3,3,2,2
840071077,2,3,3,4,4,1
840071078,2,4,4,4,4,2
840071079,3,3,3,3,3,2
840071080,3,3,3,3,3,3
840071081,2,4,4,4,4,4
840071082,1,3,3,3,3,1
840071083,1,4,1,1,1,1
840071084,2,3,4,3,3,2
840071085,1,3,3,3,3,1
840071086,3,3,3,3,3,2
840071087,1,1,3,4,3,3
840071088,2,3,3,4,4,1
840071089,1,3,4,4,3,3
840071090,2,3,2,3,2,2
840071091,2,2,4,4,4,3
840071092,2,3,3,3,3,1
840071093,1,2,4,4,4,4
840071094,2,2,3,3,4,2
840071095,2,3,4,4,4,1
840071096,1,3,3,3,3,1
840071097,1,3,3,4,3,1
840071098,1,3,2,3,3,3
840071099,1,1,3,3,3,2
840071100,2,2,2,3,3,3
840071101,1,2,3,3,3,1
840071102,2,3,3,3,3,1
840071103,1,1,1,3,3,1
840071104,2,3,3,3,3,2
840071105,4,3,3,4,3,3
840071106,3,3,3,4,4,3
840071107,1,3,3,3,3,2
840071108,1,3,4,4,4,1
840071109,3,3,3,3,3,3
840071110,1,4,3,2,1,3
840071111,1,2,2,2,2,2
840071112,1,1,1,1,1,1
840071113,2,2,2,3,2,2
840071114,3,3,3,3,3,2
840071115,4,4,4,4,4,3
840071116,2,2,3,2,3,2
840071117,1,2,4,4,4,1
840071118,2,4,4,4,4,2
840071119,4,4,4,4,4,3
840071120,1,4,1,4,4,1
840071121,1,3,4,4,4,4
840071122,2,4,4,4,4,-2
840071123,1,2,3,3,3,3
840071124,1,2,2,4,4,2
840071125,1,4,4,4,4,2
840071126,1,4,4,4,4,1
840071127,2,4,4,4,4,3
840071128,1,3,3,3,3,1
840071129,2,4,2,3,3,2
840071130,1,4,4,4,4,1
840071131,1,4,3,3,3,2
840071132,1,3,3,3,3,3
840071133,2,3,3,3,3,3
840071134,4,4,4,4,4,3
840071135,4,3,2,3,3,2
840071136,2,4,4,4,4,3
840071137,4,4,4,4,4,4
840071138,4,4,4,4,4,3
840071139,-2,3,-2,3,-2,-2
840071140,1,3,2,3,2,2
840071141,2,4,4,4,4,3
840071142,2,4,4,4,4,2
840071143,2,3,4,4,4,2
840071144,4,4,4,4,4,2
840071145,1,4,4,4,4,1
840071146,2,2,3,3,3,2
840071147,2,4,3,4,4,4
840071148,2,3,3,3,3,2
840071149,2,4,4,4,4,2
840071150,2,3,3,3,3,1
840071151,1,2,4,4,4,2
840071152,2,3,3,3,3,2
840071153,4,4,4,4,4,1
840071154,3,1,3,2,3,1
840071155,3,3,3,3,3,3
840071156,2,2,3,3,3,2
840071157,2,3,3,3,3,2
840071158,2,2,2,2,2,3
840071159,1,3,1,3,3,1
840071160,2,2,3,3,3,2
840071161,1,1,2,3,2,2
840071162,2,1,3,3,3,3
840071163,1,3,4,4,4,3
840071164,2,3,3,3,3,3
840071165,2,2,1,2,3,1
840071166,2,4,3,3,2,1
840071167,2,2,2,2,2,2
840071168,1,3,2,4,3,2
840071169,1,3,2,2,2,3
840071170,1,2,2,2,2,2
840071171,3,2,2,3,1,1
840071172,2,2,1,1,3,3
840071173,1,3,3,2,2,4
840071174,1,1,1,1,3,2
840071175,2,3,3,3,3,3
840071176,1,2,3,3,3,2
840071177,1,2,4,4,4,3
840071178,4,4,3,3,4,4
840071179,1,2,1,4,4,1
840071180,3,2,2,4,4,3
840071181,3,1,3,1,4,1
840071182,2,2,3,3,3,2
840071183,1,4,2,2,3,3
840071184,1,4,4,4,4,1
840071185,3,3,4,4,4,4
840071186,1,2,3,4,4,3
840071187,2,3,3,3,3,3
840071188,2,3,3,3,4,3
840071189,1,3,3,3,3,3
840071190,2,4,4,4,4,3
840071191,2,4,3,4,4,2
840071192,3,3,3,3,3,3
840071193,1,3,3,3,3,2
840071194,2,3,3,3,3,1
840071195,2,3,3,3,3,2
840071196,3,4,3,4,4,1
840071197,4,4,4,4,4,4
840071198,2,4,3,3,3,3
840071199,2,3,3,3,4,4
840071200,3,4,4,4,4,3
840071201,2,3,3,3,4,1
840071202,1,2,2,2,1,2
