D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
51070001,2,2,4,-1,4,2,4,4,2
51070002,-2,1,-2,4,4,-2,1,4,-1
51070003,1,5,2,5,1,1,1,1,4
51070004,2,1,2,4,4,1,1,4,1
51070005,5,1,3,5,5,5,1,4,4
51070006,4,1,5,5,5,4,2,4,1
51070007,1,1,1,5,2,1,1,3,1
51070008,5,5,5,5,2,1,1,4,5
51070009,3,2,4,5,1,1,1,2,1
51070010,5,2,5,-1,3,2,2,2,4
51070011,2,2,4,-1,4,3,1,5,4
51070012,1,1,4,4,4,2,1,2,2
51070013,3,2,4,4,2,1,2,4,2
51070014,4,2,4,4,4,3,2,4,4
51070015,4,2,3,5,1,1,2,4,2
51070016,4,4,2,5,4,2,2,4,2
51070017,2,2,2,4,4,2,1,2,2
51070018,1,2,1,5,1,1,1,1,1
51070019,-1,2,4,5,1,1,1,-1,1
51070020,4,1,5,5,4,2,2,4,2
51070021,1,1,1,4,1,1,1,1,1
51070022,4,2,4,5,2,2,2,2,2
51070023,4,2,4,-1,4,4,4,3,3
51070024,2,2,2,2,2,2,2,2,2
51070025,1,1,1,5,1,1,1,1,1
51070026,4,1,4,4,4,3,1,4,2
51070027,2,1,-1,-1,2,2,4,4,2
51070028,2,1,2,5,4,1,1,4,2
51070029,1,4,4,-1,4,2,2,2,4
51070030,1,1,1,-1,1,1,1,1,2
51070031,5,2,2,5,2,1,1,2,1
51070032,4,2,4,4,2,2,2,2,4
51070033,3,2,3,-1,4,2,2,2,2
51070034,3,2,4,5,1,1,1,1,1
51070035,4,1,4,5,4,1,1,4,1
51070036,4,-1,2,5,5,2,5,2,1
51070037,2,1,4,-1,4,1,1,5,2
51070038,2,1,5,-1,4,4,1,2,1
51070039,4,1,4,-1,1,1,1,1,1
51070040,2,4,1,5,1,1,1,2,1
51070041,2,1,2,5,2,2,2,2,2
51070042,2,2,1,4,1,1,2,2,2
51070043,4,2,5,4,3,2,4,2,1
51070044,2,2,2,-1,2,1,2,1,1
51070045,4,2,4,4,2,2,2,1,2
51070046,2,2,2,4,1,2,2,3,1
51070047,1,4,1,5,5,3,1,5,4
51070048,1,1,4,2,1,1,1,1,1
51070049,5,1,1,4,2,1,1,2,1
51070050,5,3,4,5,4,1,1,2,1
51070051,2,1,4,-1,5,1,2,2,1
51070052,2,2,4,2,2,2,2,2,2
51070053,3,2,4,4,4,2,2,4,1
51070054,2,1,2,5,1,1,1,1,2
51070055,1,1,2,4,4,2,4,4,2
51070056,4,2,2,4,4,2,2,4,4
51070057,1,1,1,4,1,1,1,1,2
51070058,1,5,2,5,4,2,1,2,2
51070059,1,1,4,5,1,1,1,1,1
51070060,2,2,1,4,2,1,1,1,1
51070061,2,-1,2,4,4,2,2,2,4
51070062,1,1,5,5,5,2,1,4,4
51070063,4,2,3,4,2,2,5,4,1
51070064,4,2,4,5,2,2,2,2,2
51070065,2,2,4,4,2,2,2,4,2
51070066,5,1,1,5,5,2,2,4,2
51070067,2,2,1,5,2,1,4,2,4
51070068,4,4,4,4,4,2,1,2,3
51070069,2,2,2,5,2,1,2,2,2
51070070,2,2,4,5,3,4,2,2,2
51070071,2,1,2,5,2,1,1,2,1
51070072,4,2,4,5,2,2,4,4,2
51070073,2,4,2,5,1,3,2,2,2
51070074,4,4,4,4,4,4,4,4,2
51070075,2,1,2,3,1,2,2,2,2
51070076,4,2,4,3,3,3,2,3,4
51070077,4,2,3,-1,4,2,2,4,2
51070078,4,2,2,2,4,4,2,4,2
51070079,2,1,4,4,2,2,4,2,2
51070080,4,4,4,4,2,2,2,2,2
51070081,1,1,2,-1,4,2,2,2,1
51070082,2,4,2,-1,4,2,2,4,2
51070083,2,2,-1,4,-1,2,2,2,2
51070084,2,1,1,5,5,5,2,5,1
51070085,4,4,5,4,4,2,1,4,2
51070086,1,1,4,5,5,1,1,1,1
51070087,4,3,3,4,4,2,4,4,3
51070088,2,1,3,5,5,1,1,2,4
51070089,4,1,1,5,1,2,1,1,2
51070090,4,2,4,2,4,2,3,2,4
51070091,2,2,4,5,2,2,2,2,2
51070092,2,2,2,4,1,1,1,1,2
51070093,2,2,3,4,1,1,2,2,2
51070094,4,2,4,4,4,2,-1,4,2
51070095,1,1,2,5,2,2,2,2,2
51070096,3,1,2,5,1,1,2,3,2
51070097,2,2,4,-1,2,2,1,2,2
51070098,2,1,2,5,2,2,2,2,2
51070099,1,4,1,4,4,1,4,4,4
51070100,1,1,1,5,5,2,1,4,4
51070101,2,2,2,5,2,1,1,1,1
51070102,5,4,4,5,2,2,2,2,2
51070103,2,4,1,5,4,1,1,4,2
51070104,4,2,4,5,4,3,1,4,1
51070105,2,2,4,5,3,1,1,2,2
51070106,1,1,4,5,4,1,1,1,1
51070107,2,2,2,5,2,1,1,2,2
51070108,1,1,1,4,1,1,1,1,1
51070109,1,1,1,5,4,2,1,3,1
51070110,4,1,3,5,4,1,4,4,1
51070111,2,3,5,5,2,1,1,2,2
51070112,4,2,1,4,2,1,1,2,2
51070113,2,2,1,4,4,2,1,3,2
51070114,2,4,1,-1,1,1,3,2,1
51070115,2,2,2,5,2,4,1,1,2
51070116,3,4,4,-1,4,2,2,3,4
51070117,1,1,2,4,1,1,1,1,1
51070118,1,1,1,4,1,1,1,1,1
51070119,4,3,4,5,4,2,2,2,2
51070120,5,1,3,5,2,3,1,1,1
51070121,4,1,3,3,5,2,2,4,2
51070122,4,2,2,4,4,2,2,2,3
51070123,5,2,4,4,4,4,2,4,2
51070124,2,2,2,4,4,2,2,4,2
51070125,4,2,4,4,4,2,4,4,2
51070126,4,2,3,-1,4,2,4,4,4
51070127,2,1,2,5,2,4,4,2,2
51070128,4,2,2,4,2,2,2,2,2
51070129,3,4,-1,4,2,3,1,2,1
51070130,1,5,1,5,5,1,1,5,1
51070131,1,2,5,5,1,1,1,1,1
51070132,2,2,1,5,4,5,5,4,3
51070133,3,1,4,5,5,2,1,5,1
51070134,2,4,1,5,4,1,1,4,2
51070135,2,1,1,5,1,2,1,5,1
51070136,2,1,2,5,4,2,2,2,1
51070137,4,1,4,5,5,2,2,4,2
51070138,2,1,4,-1,5,2,1,2,1
51070139,2,1,4,-1,4,-1,4,5,2
51070140,5,2,4,5,5,1,1,5,1
51070141,2,4,4,4,4,4,2,4,4
51070142,5,2,5,2,4,4,4,4,2
51070143,2,2,4,4,2,4,2,4,1
51070144,4,4,4,2,4,2,2,1,4
51070145,5,1,4,5,1,3,1,3,4
51070146,1,4,1,5,5,2,2,4,1
51070147,4,2,1,4,4,2,2,4,2
51070148,2,4,1,4,1,1,1,1,1
51070149,4,4,4,4,2,4,2,4,1
51070150,1,2,2,5,5,-1,1,5,2
51070151,1,1,5,5,5,5,1,5,5
51070152,1,1,4,5,5,2,2,1,1
51070153,1,3,4,5,2,2,3,2,2
51070154,1,1,4,5,2,1,1,2,1
51070155,4,2,2,5,4,4,2,4,4
51070156,4,2,2,-1,2,2,2,2,4
51070157,2,2,-1,4,2,2,2,2,1
51070158,4,2,4,4,4,2,2,4,2
51070159,2,2,4,5,2,2,3,4,4
51070160,1,2,5,5,5,2,2,4,4
51070161,5,2,4,4,4,2,2,4,5
51070162,5,5,5,5,4,1,2,5,5
51070163,5,2,1,5,5,2,2,4,4
51070164,1,1,2,4,4,1,4,4,1
51070165,5,4,2,-1,4,4,2,4,2
51070166,4,2,4,-1,4,-1,2,4,2
51070167,4,1,4,5,5,4,2,4,4
51070168,2,2,4,2,4,5,2,5,4
51070169,2,2,2,5,4,3,2,4,4
51070170,2,1,2,5,1,1,2,2,2
51070171,4,1,4,4,1,1,2,2,2
51070172,4,2,2,5,2,4,1,3,1
51070173,4,2,1,5,1,1,4,2,2
51070174,4,1,4,5,2,1,1,2,2
51070175,2,1,5,5,1,1,2,1,1
51070176,2,4,1,5,3,2,1,3,2
51070177,4,4,2,5,2,1,1,2,2
51070178,1,1,1,5,4,2,1,4,4
51070179,5,1,5,2,4,1,1,1,2
51070180,1,1,1,5,1,1,1,1,1
51070181,2,1,4,5,2,1,1,1,1
51070182,2,1,4,5,2,1,1,4,4
51070183,2,2,2,3,2,1,1,1,1
51070184,4,2,4,4,2,2,2,4,4
51070185,2,2,3,-1,3,2,1,3,2
51070186,2,1,2,5,1,1,2,3,3
51070187,1,1,1,5,4,2,2,1,1
51070188,1,4,2,5,4,1,1,4,4
51070189,1,2,1,5,1,5,1,1,1
51070190,4,1,2,3,5,1,1,3,2
51070191,3,2,2,5,4,3,2,4,2
51070192,4,3,2,5,4,1,1,4,1
51070193,3,2,4,5,4,2,2,4,2
51070194,2,2,1,4,2,2,2,2,2
51070195,3,2,4,4,2,2,2,2,1
51070196,2,4,2,-1,4,1,2,4,2
51070197,2,2,2,-1,2,2,2,4,2
51070198,2,2,2,2,2,2,2,2,2
51070199,4,3,5,-2,2,1,2,4,2
51070200,2,2,4,4,4,2,2,4,2
51070201,2,2,4,-2,2,2,2,2,2
51070202,2,2,2,4,2,2,2,2,2
51070203,2,2,2,4,4,2,2,4,2
51070204,1,2,5,4,4,1,2,2,3
51070205,4,2,4,5,5,1,1,5,4
51070206,4,2,2,2,4,2,2,2,2
51070207,4,1,4,3,2,2,2,2,2
51070208,2,2,5,5,2,2,2,4,2
51070209,2,2,2,-1,4,1,2,2,2
51070210,4,1,2,5,4,1,2,4,1
51070211,1,1,1,5,4,1,1,4,1
51070212,4,1,4,5,1,3,1,1,4
51070213,1,1,5,5,1,1,1,1,1
51070214,1,4,4,5,1,1,1,1,1
51070215,2,1,4,5,5,1,5,5,3
51070216,1,1,5,2,1,1,1,1,1
51070217,1,2,5,5,1,1,5,4,1
51070218,5,2,5,5,5,1,1,2,5
51070219,2,4,3,5,5,1,1,5,5
51070220,2,1,1,5,2,1,1,1,2
51070221,1,1,4,5,5,1,1,4,1
51070222,1,1,3,5,1,1,1,1,2
51070223,2,1,5,-1,4,2,5,5,4
51070224,5,1,2,5,2,1,1,1,1
51070225,2,2,2,5,2,4,4,2,2
51070226,4,3,5,5,1,1,1,1,1
51070227,2,2,2,4,2,2,2,2,2
51070228,4,1,4,5,4,4,2,4,2
51070229,2,2,4,5,2,2,2,2,2
51070230,2,2,4,-1,2,2,2,2,2
51070231,2,2,4,-1,3,2,2,4,2
51070232,2,2,4,4,2,1,1,2,2
51070233,2,2,2,-1,2,1,1,2,2
51070234,4,3,4,5,4,4,2,4,3
51070235,4,4,2,-2,2,1,2,2,2
51070236,4,4,4,4,4,1,1,4,3
51070237,4,1,2,4,4,4,2,1,2
51070238,1,1,4,4,4,2,1,2,1
51070239,4,2,2,4,2,2,2,4,2
51070240,1,2,2,4,4,2,1,1,1
51070241,4,1,2,4,2,4,1,1,1
51070242,2,2,1,5,5,1,3,5,1
51070243,1,3,4,5,3,1,2,2,2
51070244,4,1,1,5,4,4,1,4,1
51070245,2,4,1,5,4,2,1,4,1
51070246,2,2,2,2,4,4,2,4,2
51070247,4,3,2,5,5,3,1,5,2
51070248,5,4,5,5,5,4,1,5,5
51070249,4,1,3,5,4,1,1,3,2
51070250,4,3,5,-1,4,2,2,4,3
51070251,2,2,2,5,2,2,1,2,2
51070252,2,1,1,3,5,1,2,5,1
51070253,5,5,5,5,1,1,1,4,3
51070254,3,1,5,5,4,1,2,4,1
51070255,1,1,5,5,1,1,2,2,1
51070256,3,1,4,5,1,1,1,2,1
51070257,1,4,4,5,2,1,2,2,1
51070258,4,1,4,2,4,4,2,4,4
51070259,3,2,4,4,2,2,4,2,2
51070260,2,2,2,4,4,2,2,4,3
51070261,2,2,4,4,4,2,2,2,2
51070262,2,2,2,4,3,1,2,1,1
51070263,1,1,4,4,4,2,2,2,2
51070264,2,2,2,5,5,1,1,4,2
51070265,1,3,2,4,4,1,4,4,2
51070266,2,2,2,4,4,2,2,2,2
51070267,2,2,1,-1,4,2,2,2,2
51070268,2,1,4,5,4,-1,2,4,4
51070269,2,2,2,4,2,2,2,2,2
51070270,2,2,2,4,2,2,2,3,-1
51070271,4,2,2,-1,4,4,2,2,2
51070272,5,2,1,5,5,1,1,3,1
51070273,2,1,1,5,5,1,1,5,1
51070274,5,1,5,5,1,1,1,1,1
51070275,1,4,1,5,1,1,1,1,1
51070276,2,1,2,5,5,1,1,5,1
51070277,2,5,5,5,1,2,1,4,2
51070278,2,2,5,-1,2,2,1,2,2
51070279,1,3,3,4,5,1,1,4,1
51070280,5,5,2,-1,5,4,2,5,5
51070281,5,1,1,5,1,1,1,1,1
51070282,5,5,4,3,5,1,1,5,1
51070283,4,4,2,-1,5,5,2,5,4
51070284,5,2,2,5,2,2,1,2,2
51070285,2,-1,4,-1,2,2,4,2,2
51070286,4,1,4,5,4,3,1,2,2
51070287,1,2,2,4,2,2,2,2,2
51070288,1,1,2,5,4,3,2,2,1
51070289,2,2,3,4,4,3,2,2,2
51070290,2,2,5,5,1,1,2,2,1
51070291,3,2,4,5,2,1,4,5,3
51070292,4,2,4,4,1,1,4,1,1
51070293,2,2,4,2,4,2,3,4,3
51070294,2,4,1,5,5,2,1,2,1
51070295,5,1,4,5,5,5,2,5,2
51070296,1,1,2,5,2,1,2,1,1
51070297,5,4,4,5,2,1,1,2,2
51070298,1,1,2,5,1,1,1,1,1
51070299,4,4,4,5,4,2,2,-1,5
51070300,1,1,2,5,2,2,1,1,1
51070301,3,2,4,5,5,2,2,4,4
51070302,2,1,1,5,2,1,1,1,2
51070303,2,4,4,5,2,3,4,4,2
51070304,5,2,1,5,2,1,2,2,2
51070305,2,2,4,-1,4,1,3,4,2
51070306,2,1,4,5,2,1,2,4,2
51070307,4,1,2,5,5,1,1,5,2
51070308,4,2,4,5,4,3,2,4,4
51070309,1,-1,2,5,1,1,1,1,1
51070310,4,1,2,5,5,2,2,1,2
51070311,3,2,4,5,4,2,4,5,4
51070312,4,2,4,4,4,4,2,4,-1
51070313,2,2,2,4,2,1,1,2,2
51070314,3,2,3,4,4,4,2,4,4
51070315,2,4,4,5,2,1,2,2,4
51070316,4,2,4,4,4,4,2,2,4
51070317,2,2,2,5,5,2,4,4,1
51070318,1,1,1,5,2,2,1,2,1
51070319,4,4,5,4,5,2,1,5,4
51070320,1,5,1,5,5,2,1,1,1
51070321,5,1,4,5,5,1,1,4,1
51070322,4,1,4,5,1,1,4,4,5
51070323,2,1,3,5,2,1,1,1,1
51070324,3,4,5,5,1,4,1,4,1
51070325,4,2,4,-1,4,2,4,4,2
51070326,2,2,4,4,2,2,2,2,2
51070327,4,2,2,4,4,2,2,4,2
51070328,4,2,2,-1,4,2,4,4,3
51070329,2,4,2,5,5,4,1,1,1
51070330,5,2,4,4,4,4,1,1,1
51070331,4,4,4,5,4,4,1,2,4
51070332,2,1,4,5,3,3,1,-1,3
51070333,4,1,4,1,5,4,2,5,1
51070334,2,3,1,5,1,1,1,1,1
51070335,1,1,2,5,4,2,1,3,1
51070336,4,2,5,5,5,4,1,5,1
51070337,1,1,3,5,5,1,1,4,1
51070338,1,1,1,5,4,1,1,1,1
51070339,2,2,4,5,2,4,2,2,2
51070340,2,2,4,1,1,2,1,2,2
51070341,2,4,2,5,-1,5,2,2,2
51070342,4,4,4,5,4,4,2,4,2
51070343,2,2,2,-1,2,4,2,2,2
51070344,3,2,2,4,2,2,2,2,2
51070345,1,2,2,5,1,2,2,2,2
51070346,5,2,4,3,4,4,4,4,2
51070347,4,1,1,4,2,1,2,4,1
51070348,4,1,1,5,5,1,1,4,3
51070349,2,2,2,-1,4,2,3,4,4
51070350,2,2,3,4,1,1,1,5,5
51070351,1,1,4,5,1,1,1,1,1
51070352,4,2,2,5,2,1,2,2,2
51070353,4,2,5,5,2,2,2,2,2
51070354,2,2,4,5,2,2,2,2,2
51070355,2,4,5,2,2,2,2,2,2
51070356,2,2,2,5,2,2,2,2,2
51070357,4,2,2,-1,2,2,2,2,2
51070358,4,2,1,-2,2,4,1,1,1
51070359,4,4,4,4,4,4,2,4,2
51070360,3,2,4,4,3,2,2,2,4
51070361,2,1,1,-1,1,3,1,1,3
51070362,4,4,1,4,-2,4,1,4,2
51070363,4,1,3,5,2,4,2,2,2
51070364,5,2,2,5,1,1,3,2,1
51070365,2,1,5,5,1,1,3,1,1
51070366,5,2,4,5,2,1,2,4,2
51070367,4,3,4,5,4,4,1,5,3
51070368,2,1,1,5,1,1,1,1,1
51070369,4,1,1,5,1,1,1,1,2
51070370,1,1,1,5,4,1,1,4,1
51070371,1,1,1,5,1,1,1,1,2
51070372,1,4,4,5,4,1,1,1,1
51070373,3,2,4,4,4,1,2,4,4
51070374,4,2,2,-1,4,2,3,4,2
51070375,3,2,2,1,2,2,1,2,2
51070376,4,4,4,5,1,1,1,1,1
51070377,1,1,1,5,2,1,2,4,1
51070378,2,4,4,5,5,4,1,4,2
51070379,3,1,2,4,1,1,1,1,1
51070380,1,1,4,5,1,1,2,1,1
51070381,2,2,4,4,2,2,2,2,4
51070382,4,4,4,5,4,2,2,2,-1
51070383,4,2,4,5,2,2,1,2,2
51070384,4,2,4,5,4,1,2,4,2
51070385,2,2,2,5,4,2,1,2,2
51070386,4,2,4,4,2,3,2,3,1
51070387,2,2,3,5,4,2,2,4,2
51070388,1,1,1,4,4,4,2,-1,1
51070389,2,2,2,4,4,4,2,4,4
51070390,4,4,2,4,4,4,1,1,-1
51070391,4,1,4,5,1,1,4,1,1
51070392,4,2,4,4,5,2,2,2,4
51070393,2,2,2,5,2,2,1,2,2
51070394,4,2,4,4,4,2,4,2,4
51070395,2,2,4,4,4,1,1,5,1
51070396,1,5,1,5,5,2,1,5,1
51070397,5,5,5,5,1,4,1,4,4
51070398,5,1,5,-1,5,4,1,1,1
51070399,5,5,1,5,2,2,4,4,2
51070400,1,1,1,5,1,1,2,1,1
51070401,5,3,1,5,4,4,4,-1,4
51070402,2,1,2,5,2,1,1,2,2
51070403,2,2,2,5,3,2,5,4,4
51070404,5,2,2,2,4,5,2,4,2
51070405,2,1,1,5,2,1,1,2,1
51070406,2,2,5,-1,4,2,1,2,1
51070407,5,-1,2,-1,5,1,1,5,4
51070408,1,2,1,5,4,1,1,5,1
51070409,5,1,3,5,5,2,1,5,2
51070410,4,4,4,5,4,2,2,4,4
51070411,2,1,3,5,4,4,2,1,1
51070412,1,1,2,5,4,2,3,2,1
51070413,4,2,5,5,2,4,2,4,2
51070414,-1,2,-1,5,-1,-1,1,2,-1
51070415,4,2,1,4,-2,2,2,2,2
51070416,2,1,3,4,2,4,2,2,2
51070417,4,2,4,4,4,2,2,4,2
51070418,1,1,2,4,2,2,4,2,4
51070419,3,2,4,-1,1,4,1,1,1
51070420,1,1,4,5,4,4,1,2,1
51070421,1,1,4,5,1,2,2,4,1
51070422,1,2,2,4,1,2,2,1,1
51070423,4,2,2,4,2,2,2,2,2
51070424,5,2,4,4,4,2,2,4,2
51070425,4,1,5,5,2,4,4,4,4
51070426,5,1,4,5,5,5,4,4,2
51070427,2,1,2,5,1,1,1,2,3
51070428,1,1,4,2,1,1,1,4,4
51070429,5,1,5,5,5,1,1,5,5
51070430,4,2,2,5,4,1,1,4,4
51070431,2,2,4,5,4,3,2,4,3
51070432,4,1,4,1,4,2,3,5,5
51070433,2,2,2,4,-1,2,2,4,1
51070434,2,2,4,5,4,1,2,2,2
51070435,2,1,4,4,2,2,1,1,1
51070436,2,2,-1,-1,5,1,2,4,1
51070437,2,2,4,5,5,2,2,4,2
51070438,3,2,5,4,2,1,1,3,2
51070439,2,1,2,4,4,2,3,3,4
51070440,4,2,2,-1,4,4,2,3,2
51070441,2,2,2,5,2,2,2,2,2
51070442,5,1,5,4,2,4,2,2,4
51070443,2,1,2,4,4,1,1,1,2
51070444,2,4,2,-1,4,2,1,4,2
51070445,1,1,4,-1,4,1,1,4,2
51070446,4,1,4,-1,4,1,2,4,2
51070447,4,1,4,5,4,2,4,4,2
51070448,4,4,4,5,5,4,2,4,2
51070449,3,3,5,5,4,4,2,4,2
51070450,4,1,4,-1,5,2,1,4,2
51070451,2,1,4,4,5,2,1,2,1
51070452,4,4,5,2,5,4,2,4,4
51070453,1,1,2,5,4,2,1,4,1
51070454,1,5,1,5,1,1,4,2,1
51070455,5,1,5,5,1,1,1,1,1
51070456,4,1,4,5,5,1,1,4,1
51070457,2,2,1,5,2,1,2,2,2
51070458,4,2,2,2,5,4,4,5,4
51070459,4,2,2,5,4,4,1,1,1
51070460,2,2,2,5,4,2,1,2,2
51070461,2,2,3,5,2,2,2,2,2
51070462,4,2,4,5,4,3,1,4,3
51070463,2,2,3,5,4,1,1,1,1
51070464,2,4,4,4,5,3,2,4,2
51070465,1,2,4,5,4,1,2,4,2
51070466,4,2,-1,5,2,1,1,2,2
51070467,4,2,5,5,4,2,2,2,3
51070468,3,1,3,5,4,1,1,5,5
51070469,1,1,2,-1,1,1,2,2,4
51070470,2,2,4,4,4,2,1,2,1
51070471,4,2,2,5,1,1,4,2,2
51070472,1,1,1,5,1,1,1,1,4
51070473,4,4,4,-1,4,4,2,1,2
51070474,1,2,2,5,5,2,1,5,2
51070475,2,2,4,4,4,3,2,4,2
51070476,1,5,2,5,1,5,1,1,1
51070477,2,1,2,5,1,1,2,2,2
51070478,3,2,4,4,2,2,1,2,2
51070479,2,4,1,-1,4,1,2,4,4
51070480,2,2,4,-2,2,1,2,4,1
51070481,2,2,3,4,2,1,2,2,2
51070482,4,2,4,4,2,1,2,2,2
51070483,2,2,2,4,2,2,2,2,1
51070484,2,-1,1,4,2,4,2,2,2
51070485,2,1,4,2,2,1,1,1,4
51070486,1,1,1,2,3,1,1,1,1
51070487,2,1,1,5,5,1,1,4,1
51070488,5,1,5,5,2,1,1,1,1
51070489,3,1,4,4,2,1,1,1,1
51070490,5,1,2,-1,3,1,1,-1,4
51070491,1,4,2,4,2,1,1,1,1
51070492,1,4,2,4,1,1,1,1,1
51070493,2,4,2,5,4,1,1,4,2
51070494,3,1,3,5,1,1,1,1,1
51070495,1,1,4,-1,1,1,1,1,1
51070496,1,1,1,5,5,1,1,5,5
51070497,5,1,5,5,5,1,1,5,1
51070498,2,1,3,-1,1,2,1,4,2
51070499,1,3,4,-1,5,5,2,5,1
51070500,1,2,4,4,4,2,2,4,2
51070501,1,1,5,5,5,1,1,1,1
51070502,1,1,5,5,5,1,1,1,1
51070503,1,1,5,5,1,1,1,1,1
51070504,2,1,1,5,1,1,2,1,1
51070505,4,1,4,4,2,2,2,2,2
51070506,4,2,4,-1,4,2,2,2,2
51070507,2,2,2,4,4,2,2,4,2
51070508,4,2,2,4,4,2,2,2,4
51070509,2,4,4,4,2,2,2,2,2
51070510,2,2,4,4,2,2,4,4,2
51070511,2,2,4,5,2,1,2,2,1
51070512,5,1,2,5,2,2,2,4,2
51070513,2,2,4,5,4,1,1,4,2
51070514,4,2,2,5,2,1,2,1,1
51070515,4,1,4,5,2,1,1,1,1
51070516,2,2,3,5,2,2,1,1,2
51070517,1,2,5,5,5,1,2,4,1
51070518,4,1,3,5,5,3,1,1,2
51070519,1,1,1,-1,1,1,1,1,1
51070520,2,4,1,5,2,1,1,1,1
51070521,1,4,2,4,5,1,1,4,4
51070522,5,4,4,2,5,5,1,5,1
51070523,2,1,2,5,1,1,2,1,2
51070524,4,2,2,5,5,1,1,1,4
51070525,5,2,3,5,1,1,1,4,1
51070526,1,1,4,4,4,4,2,5,4
51070527,3,2,4,5,2,1,4,1,4
51070528,4,4,2,-1,2,2,2,2,2
51070529,1,1,2,5,1,1,1,1,1
51070530,2,1,2,4,4,2,2,2,2
51070531,1,2,4,4,2,2,2,2,1
51070532,1,4,2,-1,2,-1,2,2,2
51070533,2,2,2,5,-1,1,1,5,2
51070534,2,1,1,5,1,2,1,5,2
51070535,-1,1,4,4,2,2,2,2,2
51070536,2,2,1,5,4,2,2,2,2
51070537,5,2,2,-1,4,1,2,2,2
51070538,2,1,1,5,1,1,1,1,1
51070539,2,4,4,-1,4,2,4,4,2
51070540,2,2,4,4,4,2,2,4,2
51070541,2,2,4,4,4,1,2,4,4
51070542,1,2,2,5,4,1,2,1,1
51070543,3,2,1,5,2,2,1,2,1
51070544,1,2,2,4,1,1,2,1,1
51070545,4,2,2,5,4,3,1,5,4
51070546,4,4,3,5,4,1,2,4,2
51070547,3,2,2,-1,4,1,2,2,1
51070548,3,3,5,5,4,2,2,5,3
51070549,1,1,4,3,1,1,1,1,1
51070550,2,1,4,4,2,1,1,2,1
51070551,1,1,2,5,1,2,2,2,2
51070552,2,1,-1,-1,2,1,2,3,2
51070553,2,1,5,5,2,1,3,2,2
51070554,1,1,2,5,1,1,1,1,1
51070555,3,5,4,5,4,2,2,4,2
51070556,2,2,4,5,4,2,2,4,3
51070557,2,2,4,4,5,2,2,4,3
51070558,2,2,4,-1,4,4,2,4,2
51070559,1,2,4,5,2,2,1,1,2
51070560,2,2,4,1,2,2,1,1,2
51070561,3,2,2,5,4,2,1,1,2
51070562,2,2,2,5,2,2,1,2,2
51070563,2,1,4,5,5,2,1,2,2
51070564,2,2,2,5,4,1,2,2,2
51070565,1,2,4,5,2,1,1,1,1
51070566,5,5,3,5,5,2,2,4,3
51070567,2,2,2,5,2,1,2,2,2
51070568,1,2,3,4,5,1,1,2,1
51070569,4,1,4,5,5,1,1,2,2
51070570,2,2,4,5,-1,4,1,5,2
51070571,1,1,1,5,1,1,1,1,1
