D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
51070001,2.0,2.0,4.0,-1.0,4.0,2.0,4.0,4.0,2.0
51070002,-2.0,1.0,-2.0,4.0,4.0,-2.0,1.0,4.0,-1.0
51070003,1.0,5.0,2.0,5.0,1.0,1.0,1.0,1.0,4.0
51070004,2.0,1.0,2.0,4.0,4.0,1.0,1.0,4.0,1.0
51070005,5.0,1.0,3.0,5.0,5.0,5.0,1.0,4.0,4.0
51070006,4.0,1.0,5.0,5.0,5.0,4.0,2.0,4.0,1.0
51070007,1.0,1.0,1.0,5.0,2.0,1.0,1.0,3.0,1.0
51070008,5.0,5.0,5.0,5.0,2.0,1.0,1.0,4.0,5.0
51070009,3.0,2.0,4.0,5.0,1.0,1.0,1.0,2.0,1.0
51070010,5.0,2.0,5.0,-1.0,3.0,2.0,2.0,2.0,4.0
51070011,2.0,2.0,4.0,-1.0,4.0,3.0,1.0,5.0,4.0
51070012,1.0,1.0,4.0,4.0,4.0,2.0,1.0,2.0,2.0
51070013,3.0,2.0,4.0,4.0,2.0,1.0,2.0,4.0,2.0
51070014,4.0,2.0,4.0,4.0,4.0,3.0,2.0,4.0,4.0
51070015,4.0,2.0,3.0,5.0,1.0,1.0,2.0,4.0,2.0
51070016,4.0,4.0,2.0,5.0,4.0,2.0,2.0,4.0,2.0
51070017,2.0,2.0,2.0,4.0,4.0,2.0,1.0,2.0,2.0
51070018,1.0,2.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
51070019,-1.0,2.0,4.0,5.0,1.0,1.0,1.0,-1.0,1.0
51070020,4.0,1.0,5.0,5.0,4.0,2.0,2.0,4.0,2.0
51070021,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0
51070022,4.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0
51070023,4.0,2.0,4.0,-1.0,4.0,4.0,4.0,3.0,3.0
51070024,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
51070025,1.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
51070026,4.0,1.0,4.0,4.0,4.0,3.0,1.0,4.0,2.0
51070027,2.0,1.0,-1.0,-1.0,2.0,2.0,4.0,4.0,2.0
51070028,2.0,1.0,2.0,5.0,4.0,1.0,1.0,4.0,2.0
51070029,1.0,4.0,4.0,-1.0,4.0,2.0,2.0,2.0,4.0
51070030,1.0,1.0,1.0,-1.0,1.0,1.0,1.0,1.0,2.0
51070031,5.0,2.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0
51070032,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0
51070033,3.0,2.0,3.0,-1.0,4.0,2.0,2.0,2.0,2.0
51070034,3.0,2.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0
51070035,4.0,1.0,4.0,5.0,4.0,1.0,1.0,4.0,1.0
51070036,4.0,-1.0,2.0,5.0,5.0,2.0,5.0,2.0,1.0
51070037,2.0,1.0,4.0,-1.0,4.0,1.0,1.0,5.0,2.0
51070038,2.0,1.0,5.0,-1.0,4.0,4.0,1.0,2.0,1.0
51070039,4.0,1.0,4.0,-1.0,1.0,1.0,1.0,1.0,1.0
51070040,2.0,4.0,1.0,5.0,1.0,1.0,1.0,2.0,1.0
51070041,2.0,1.0,2.0,5.0,2.0,2.0,2.0,2.0,2.0
51070042,2.0,2.0,1.0,4.0,1.0,1.0,2.0,2.0,2.0
51070043,4.0,2.0,5.0,4.0,3.0,2.0,4.0,2.0,1.0
51070044,2.0,2.0,2.0,-1.0,2.0,1.0,2.0,1.0,1.0
51070045,4.0,2.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0
51070046,2.0,2.0,2.0,4.0,1.0,2.0,2.0,3.0,1.0
51070047,1.0,4.0,1.0,5.0,5.0,3.0,1.0,5.0,4.0
51070048,1.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0
51070049,5.0,1.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0
51070050,5.0,3.0,4.0,5.0,4.0,1.0,1.0,2.0,1.0
51070051,2.0,1.0,4.0,-1.0,5.0,1.0,2.0,2.0,1.0
51070052,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0
51070053,3.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0,1.0
51070054,2.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0
51070055,1.0,1.0,2.0,4.0,4.0,2.0,4.0,4.0,2.0
51070056,4.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,4.0
51070057,1.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,2.0
51070058,1.0,5.0,2.0,5.0,4.0,2.0,1.0,2.0,2.0
51070059,1.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,1.0
51070060,2.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0
51070061,2.0,-1.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0
51070062,1.0,1.0,5.0,5.0,5.0,2.0,1.0,4.0,4.0
51070063,4.0,2.0,3.0,4.0,2.0,2.0,5.0,4.0,1.0
51070064,4.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,2.0
51070065,2.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,2.0
51070066,5.0,1.0,1.0,5.0,5.0,2.0,2.0,4.0,2.0
51070067,2.0,2.0,1.0,5.0,2.0,1.0,4.0,2.0,4.0
51070068,4.0,4.0,4.0,4.0,4.0,2.0,1.0,2.0,3.0
51070069,2.0,2.0,2.0,5.0,2.0,1.0,2.0,2.0,2.0
51070070,2.0,2.0,4.0,5.0,3.0,4.0,2.0,2.0,2.0
51070071,2.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,1.0
51070072,4.0,2.0,4.0,5.0,2.0,2.0,4.0,4.0,2.0
51070073,2.0,4.0,2.0,5.0,1.0,3.0,2.0,2.0,2.0
51070074,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0
51070075,2.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0
51070076,4.0,2.0,4.0,3.0,3.0,3.0,2.0,3.0,4.0
