D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
170070052,4,2,2,4,4,2,2,1,2
170070053,4,1,4,2,3,2,1,3,4
170070054,4,2,2,4,2,2,2,2,2
170070057,5,1,2,4,4,2,4,1,4
170070069,4,4,2,4,2,2,1,2,2
170070074,2,2,4,4,4,2,2,2,2
170070075,5,5,5,5,5,2,2,2,4
170070076,4,2,2,4,4,2,2,2,2
170070080,4,2,4,2,2,2,4,4,4
170070085,5,2,2,4,4,2,2,2,2
170070087,4,4,2,4,4,2,2,2,2
170070093,5,2,2,5,2,2,1,1,1
170070104,4,2,4,4,3,2,4,3,3
170070105,4,2,4,2,2,2,4,2,4
170070112,1,2,2,4,2,2,2,2,4
170070113,5,2,4,4,4,2,2,2,4
170070122,4,2,2,4,2,2,4,2,2
170070126,5,1,2,2,2,2,1,1,2
170070128,2,2,2,4,2,2,2,2,2
170070132,4,2,2,3,4,2,4,2,2
170070154,2,1,2,4,2,2,2,2,2
170070156,4,2,4,2,2,2,2,2,2
170070197,4,3,4,3,2,4,2,2,4
170070198,4,2,4,4,4,2,2,2,2
170070210,5,2,4,4,4,1,2,1,4
170070213,4,2,4,4,4,2,2,2,4
170070214,4,4,2,4,4,1,2,1,4
170070215,2,2,4,2,2,4,2,2,2
170070219,4,2,2,2,2,2,2,2,4
170070222,5,3,4,1,3,3,2,2,4
170070224,5,1,1,3,5,3,1,1,5
170070253,4,3,4,2,4,3,2,2,3
170070255,4,2,2,2,2,2,2,2,4
170070261,4,2,2,4,4,2,2,4,2
170070308,5,1,2,1,4,4,1,2,4
170070312,3,4,2,4,4,2,1,2,2
170070323,5,2,4,2,3,2,2,2,1
170070332,4,3,4,4,2,2,4,2,2
170070334,4,2,4,4,2,2,4,2,4
170070337,5,2,1,5,1,1,1,5,1
170070341,4,2,2,4,2,2,4,1,1
170070344,4,4,4,4,4,2,2,2,4
170070358,4,2,2,4,4,2,2,2,4
170070366,4,2,2,2,4,2,2,2,2
170070369,4,4,4,4,2,2,4,2,4
170070378,4,4,4,2,2,2,2,2,2
170070385,4,2,4,5,2,2,2,2,4
170070388,5,1,4,2,4,2,2,2,2
170070389,2,2,2,3,2,1,2,2,1
170070390,4,2,2,1,1,2,2,2,1
170070393,4,1,1,3,4,1,1,5,2
170070394,4,4,2,4,4,2,4,4,2
170070395,2,2,4,4,4,2,2,4,4
170070407,4,4,4,4,4,2,2,2,2
170070408,4,1,1,4,4,2,2,4,2
170070414,4,2,5,5,1,1,4,2,2
170070415,3,4,1,2,1,2,1,1,1
170070418,4,2,3,4,4,2,2,2,4
170070421,4,3,2,3,4,2,2,2,3
170070422,4,4,4,2,4,2,2,2,2
170070423,4,2,4,4,3,2,2,2,4
170070426,4,4,4,4,2,2,4,2,2
170070432,5,4,4,2,2,2,2,2,2
170070442,4,2,2,4,2,2,2,2,2
170070465,4,4,2,2,2,2,2,1,2
170070471,2,4,4,4,4,1,1,2,1
170070497,4,3,4,4,1,4,1,1,2
170070503,5,5,4,4,4,1,1,1,1
170070507,2,2,2,4,2,2,4,2,2
170070510,4,4,4,5,2,2,2,2,2
170070514,2,1,4,4,1,1,2,2,2
170070515,2,2,5,4,4,2,4,2,2
170070522,5,5,5,5,4,5,5,4,5
170070530,3,2,2,4,2,2,2,2,2
170070531,1,2,4,5,2,2,5,2,2
170070534,3,2,4,5,2,2,4,2,2
170070538,4,4,4,4,2,2,4,2,2
170070541,4,1,4,4,5,4,4,4,4
170070544,4,4,4,4,2,2,2,2,2
170070545,3,4,4,4,1,2,2,4,2
170070553,4,2,4,4,2,2,2,2,2
170070558,4,3,4,4,4,4,4,4,1
170070559,4,2,2,3,2,1,2,2,2
170070560,4,4,2,2,1,2,2,2,2
170070561,5,3,3,3,3,1,2,3,3
170070562,4,4,4,4,1,1,1,1,1
170070565,2,2,1,4,5,1,2,2,2
