D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
170070052,4.0,2.0,2.0,4.0,4.0,2.0,2.0,1.0,2.0
170070053,4.0,1.0,4.0,2.0,3.0,2.0,1.0,3.0,4.0
170070054,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
170070057,5.0,1.0,2.0,4.0,4.0,2.0,4.0,1.0,4.0
170070069,4.0,4.0,2.0,4.0,2.0,2.0,1.0,2.0,2.0
170070074,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0
170070075,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,4.0
170070076,4.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0
170070080,4.0,2.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0
170070085,5.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0
170070087,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0
170070093,5.0,2.0,2.0,5.0,2.0,2.0,1.0,1.0,1.0
170070104,4.0,2.0,4.0,4.0,3.0,2.0,4.0,3.0,3.0
170070105,4.0,2.0,4.0,2.0,2.0,2.0,4.0,2.0,4.0
170070112,1.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0
170070113,5.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0
170070122,4.0,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0
170070126,5.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0
170070128,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
170070132,4.0,2.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0
170070154,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
170070156,4.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0
170070197,4.0,3.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0
170070198,4.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0
170070210,5.0,2.0,4.0,4.0,4.0,1.0,2.0,1.0,4.0
170070213,4.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0
170070214,4.0,4.0,2.0,4.0,4.0,1.0,2.0,1.0,4.0
170070215,2.0,2.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0
170070219,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
170070222,5.0,3.0,4.0,1.0,3.0,3.0,2.0,2.0,4.0
170070224,5.0,1.0,1.0,3.0,5.0,3.0,1.0,1.0,5.0
170070253,4.0,3.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0
170070255,4.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0
170070261,4.0,2.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0
170070308,5.0,1.0,2.0,1.0,4.0,4.0,1.0,2.0,4.0
170070312,3.0,4.0,2.0,4.0,4.0,2.0,1.0,2.0,2.0
170070323,5.0,2.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0
170070332,4.0,3.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0
170070334,4.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0
170070337,5.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,1.0
170070341,4.0,2.0,2.0,4.0,2.0,2.0,4.0,1.0,1.0
170070344,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,4.0
170070358,4.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0
170070366,4.0,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0
170070369,4.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0,4.0
170070378,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0
170070385,4.0,2.0,4.0,5.0,2.0,2.0,2.0,2.0,4.0
170070388,5.0,1.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0
170070389,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,1.0
