D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
276070001,5,3,3,2,4,4,3,4,5
276070002,4,4,2,4,4,2,2,2,4
276070003,3,3,4,1,3,2,3,1,3
276070004,5,5,5,1,3,5,4,2,3
276070005,4,4,4,1,3,4,2,1,2
276070006,5,5,5,2,4,4,4,3,4
276070007,4,3,4,5,1,2,2,1,1
276070008,5,3,2,4,3,2,2,2,2
276070009,5,2,4,4,1,4,1,1,3
276070010,4,5,4,1,3,4,2,2,4
276070011,4,4,4,2,3,2,2,2,2
276070012,5,4,5,1,5,3,1,2,2
276070013,4,1,4,5,4,2,3,4,1
276070014,4,4,4,2,2,4,2,2,4
276070015,5,5,4,1,5,5,2,3,4
276070016,5,5,4,3,4,2,4,4,4
276070017,5,5,2,2,4,2,1,2,4
276070018,4,3,3,-1,2,2,-1,2,4
276070019,4,4,3,4,5,2,4,2,3
276070020,5,4,4,2,5,4,3,4,5
276070021,5,5,4,3,3,2,4,4,4
276070022,3,4,4,4,4,4,2,2,4
276070023,5,5,4,1,5,4,3,2,5
276070024,4,2,4,2,4,4,2,2,4
276070025,5,4,4,2,4,2,2,2,4
276070026,5,2,1,1,2,2,1,1,4
276070027,5,5,5,2,2,2,4,2,3
276070028,5,2,5,1,2,1,2,2,4
276070029,5,5,2,1,5,4,4,2,4
276070030,4,4,4,1,5,2,1,1,1
276070031,5,4,4,2,-1,4,2,2,3
276070032,4,4,4,2,4,2,4,4,2
276070033,5,4,2,4,4,4,2,1,1
276070034,4,5,4,1,4,4,4,4,4
276070035,5,3,4,1,4,5,2,4,4
276070036,1,1,4,3,4,3,2,2,2
276070037,5,2,5,-1,5,2,2,2,5
276070038,4,4,4,2,3,2,2,2,2
276070039,4,4,2,2,4,2,4,4,4
276070040,3,4,4,2,4,2,3,2,4
276070041,5,5,5,3,5,5,3,1,3
276070042,5,2,5,3,4,2,4,2,3
276070043,5,5,5,2,2,4,2,1,4
276070044,5,5,4,1,5,1,1,1,4
276070045,5,5,3,3,5,1,2,2,3
