D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
276070001,5.0,3.0,3.0,2.0,4.0,4.0,3.0,4.0,5.0
276070002,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0
276070003,3.0,3.0,4.0,1.0,3.0,2.0,3.0,1.0,3.0
276070004,5.0,5.0,5.0,1.0,3.0,5.0,4.0,2.0,3.0
276070005,4.0,4.0,4.0,1.0,3.0,4.0,2.0,1.0,2.0
276070006,5.0,5.0,5.0,2.0,4.0,4.0,4.0,3.0,4.0
276070007,4.0,3.0,4.0,5.0,1.0,2.0,2.0,1.0,1.0
276070008,5.0,3.0,2.0,4.0,3.0,2.0,2.0,2.0,2.0
276070009,5.0,2.0,4.0,4.0,1.0,4.0,1.0,1.0,3.0
276070010,4.0,5.0,4.0,1.0,3.0,4.0,2.0,2.0,4.0
276070011,4.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0
276070012,5.0,4.0,5.0,1.0,5.0,3.0,1.0,2.0,2.0
276070013,4.0,1.0,4.0,5.0,4.0,2.0,3.0,4.0,1.0
276070014,4.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0,4.0
276070015,5.0,5.0,4.0,1.0,5.0,5.0,2.0,3.0,4.0
276070016,5.0,5.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0
276070017,5.0,5.0,2.0,2.0,4.0,2.0,1.0,2.0,4.0
276070018,4.0,3.0,3.0,-1.0,2.0,2.0,-1.0,2.0,4.0
276070019,4.0,4.0,3.0,4.0,5.0,2.0,4.0,2.0,3.0
276070020,5.0,4.0,4.0,2.0,5.0,4.0,3.0,4.0,5.0
276070021,5.0,5.0,4.0,3.0,3.0,2.0,4.0,4.0,4.0
276070022,3.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,4.0
276070023,5.0,5.0,4.0,1.0,5.0,4.0,3.0,2.0,5.0
276070024,4.0,2.0,4.0,2.0,4.0,4.0,2.0,2.0,4.0
276070025,5.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,4.0
276070026,5.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,4.0
276070027,5.0,5.0,5.0,2.0,2.0,2.0,4.0,2.0,3.0
276070028,5.0,2.0,5.0,1.0,2.0,1.0,2.0,2.0,4.0
276070029,5.0,5.0,2.0,1.0,5.0,4.0,4.0,2.0,4.0
276070030,4.0,4.0,4.0,1.0,5.0,2.0,1.0,1.0,1.0
276070031,5.0,4.0,4.0,2.0,-1.0,4.0,2.0,2.0,3.0
276070032,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0
276070033,5.0,4.0,2.0,4.0,4.0,4.0,2.0,1.0,1.0
276070034,4.0,5.0,4.0,1.0,4.0,4.0,4.0,4.0,4.0
276070035,5.0,3.0,4.0,1.0,4.0,5.0,2.0,4.0,4.0
276070036,1.0,1.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0
276070037,5.0,2.0,5.0,-1.0,5.0,2.0,2.0,2.0,5.0
276070038,4.0,4.0,4.0,2.0,3.0,2.0,2.0,2.0,2.0
276070039,4.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0
276070040,3.0,4.0,4.0,2.0,4.0,2.0,3.0,2.0,4.0
276070041,5.0,5.0,5.0,3.0,5.0,5.0,3.0,1.0,3.0
276070042,5.0,2.0,5.0,3.0,4.0,2.0,4.0,2.0,3.0
276070043,5.0,5.0,5.0,2.0,2.0,4.0,2.0,1.0,4.0
276070044,5.0,5.0,4.0,1.0,5.0,1.0,1.0,1.0,4.0
276070045,5.0,5.0,3.0,3.0,5.0,1.0,2.0,2.0,3.0
276070046,4.0,4.0,4.0,5.0,4.0,2.0,2.0,3.0,2.0
276070047,3.0,3.0,2.0,-1.0,-1.0,2.0,3.0,2.0,2.0
276070048,5.0,2.0,4.0,4.0,2.0,2.0,4.0,2.0,2.0
276070049,5.0,4.0,4.0,1.0,4.0,2.0,2.0,3.0,4.0
276070050,5.0,5.0,4.0,2.0,2.0,4.0,3.0,3.0,4.0
276070051,5.0,5.0,5.0,3.0,1.0,4.0,2.0,1.0,1.0
276070052,5.0,4.0,5.0,2.0,3.0,4.0,3.0,1.0,1.0
276070053,5.0,3.0,5.0,2.0,3.0,3.0,2.0,2.0,3.0
276070054,5.0,3.0,5.0,1.0,5.0,3.0,1.0,1.0,5.0
276070055,5.0,5.0,5.0,2.0,5.0,5.0,1.0,1.0,3.0
276070056,5.0,1.0,3.0,1.0,5.0,1.0,1.0,5.0,5.0
276070057,3.0,1.0,5.0,5.0,2.0,2.0,5.0,5.0,1.0
276070058,5.0,3.0,5.0,2.0,4.0,2.0,3.0,3.0,4.0
276070059,5.0,4.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0
276070060,2.0,1.0,3.0,1.0,5.0,2.0,2.0,2.0,3.0
276070061,5.0,5.0,5.0,1.0,5.0,2.0,5.0,2.0,4.0
276070062,4.0,4.0,4.0,2.0,4.0,-1.0,4.0,4.0,4.0
276070063,5.0,4.0,4.0,2.0,5.0,2.0,4.0,4.0,4.0
276070064,4.0,3.0,2.0,2.0,3.0,4.0,5.0,3.0,5.0
276070065,5.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,5.0
276070066,5.0,5.0,5.0,2.0,5.0,4.0,3.0,4.0,4.0
276070067,2.0,3.0,1.0,2.0,3.0,1.0,1.0,2.0,2.0
276070068,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0
276070069,3.0,5.0,-1.0,1.0,3.0,2.0,3.0,2.0,2.0
276070070,5.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0
276070071,4.0,3.0,-1.0,1.0,4.0,4.0,4.0,-1.0,4.0
276070072,4.0,2.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0
276070073,4.0,4.0,5.0,3.0,4.0,4.0,4.0,2.0,3.0
276070074,5.0,5.0,5.0,1.0,5.0,2.0,4.0,2.0,2.0
276070075,5.0,5.0,5.0,1.0,5.0,2.0,5.0,2.0,5.0
276070076,4.0,3.0,4.0,1.0,4.0,2.0,2.0,2.0,4.0
276070077,4.0,4.0,4.0,2.0,2.0,4.0,1.0,1.0,1.0
276070078,3.0,1.0,2.0,5.0,4.0,4.0,3.0,4.0,3.0
276070079,2.0,2.0,3.0,4.0,2.0,2.0,2.0,2.0,1.0
276070080,5.0,4.0,4.0,2.0,2.0,2.0,1.0,2.0,5.0
276070081,5.0,1.0,4.0,1.0,4.0,4.0,1.0,2.0,5.0
276070082,4.0,3.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0
276070083,5.0,1.0,4.0,1.0,5.0,5.0,3.0,4.0,5.0
276070084,3.0,2.0,4.0,4.0,4.0,3.0,3.0,2.0,2.0
276070085,4.0,5.0,4.0,1.0,5.0,5.0,2.0,3.0,5.0
276070086,5.0,4.0,2.0,-1.0,4.0,1.0,1.0,1.0,1.0
276070087,5.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0
