D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
300070001,2,5,1,5,1,1,4,3,2
300070002,5,2,4,5,2,2,4,1,4
300070003,2,1,3,5,1,1,1,1,1
300070004,5,1,5,5,3,1,5,2,4
300070005,5,1,1,3,5,3,5,1,5
300070006,2,1,1,5,1,1,1,2,2
300070007,5,5,3,-1,1,1,4,2,3
300070008,5,1,-1,5,1,1,2,1,2
300070009,5,5,5,1,1,-2,2,3,3
300070010,5,1,5,5,5,1,5,2,2
300070011,3,3,2,3,4,3,4,4,3
300070012,2,2,2,4,3,2,3,4,3
300070013,4,3,3,3,3,4,4,2,2
300070014,2,3,2,4,4,2,3,4,3
300070015,2,3,2,3,4,2,4,4,3
300070016,4,4,3,3,4,2,4,4,3
300070017,2,2,2,3,4,2,4,4,3
300070018,4,4,3,4,3,4,4,3,2
300070019,2,3,4,4,4,4,3,3,3
300070020,4,4,4,3,4,3,4,3,3
300070021,4,4,5,2,4,4,4,2,4
300070022,5,2,5,2,4,4,4,2,2
300070023,4,4,4,3,4,3,2,2,2
300070024,4,1,5,2,4,5,2,5,4
300070025,4,3,2,5,4,4,2,2,2
300070026,4,4,4,4,2,2,2,2,2
300070027,4,3,4,-1,4,3,2,4,2
300070028,5,4,3,2,4,3,3,3,4
300070029,4,2,4,-1,2,4,4,2,2
300070030,4,-1,4,2,4,4,2,-1,3
300070031,3,3,4,3,2,3,4,3,2
300070032,2,3,4,4,2,2,1,3,2
300070033,1,2,2,5,1,2,1,3,2
300070034,2,3,4,5,2,3,4,3,2
300070035,3,1,3,4,3,2,2,3,2
300070036,4,3,3,5,2,1,2,3,2
300070037,3,3,3,4,3,3,2,3,3
300070038,2,3,4,5,3,1,2,4,3
300070039,2,2,3,5,1,1,2,3,2
300070040,4,3,4,2,3,2,2,3,4
300070041,5,2,4,5,4,4,1,4,1
300070042,5,5,5,1,4,3,3,2,4
300070043,4,4,4,4,2,2,4,2,2
300070044,4,4,5,4,4,2,1,3,4
300070045,4,4,4,3,2,2,1,3,2
300070046,4,1,4,4,4,2,4,4,4
300070047,4,4,2,-1,5,4,4,5,4
300070048,4,4,4,2,4,2,4,2,2
300070049,2,4,4,2,2,2,2,4,2
300070050,5,1,5,2,4,3,4,4,4
300070051,5,2,3,4,4,2,4,4,4
300070052,-2,2,-2,5,1,4,-2,5,5
300070053,5,5,4,2,4,2,1,3,3
300070054,5,4,2,5,2,2,2,2,3
300070055,5,3,5,3,3,2,3,3,4
300070056,4,5,-1,4,1,1,1,3,3
300070057,4,4,3,2,3,2,2,4,4
300070058,4,-1,5,5,3,1,2,2,2
300070059,5,4,4,4,2,2,2,2,2
300070060,3,1,2,5,1,1,2,3,3
300070061,5,2,3,2,4,2,2,2,3
300070062,4,2,4,3,4,3,4,3,4
300070063,5,3,3,5,4,2,4,3,4
300070064,3,2,4,5,2,1,2,2,3
