D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
300070001,2.0,5.0,1.0,5.0,1.0,1.0,4.0,3.0,2.0
300070002,5.0,2.0,4.0,5.0,2.0,2.0,4.0,1.0,4.0
300070003,2.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0
300070004,5.0,1.0,5.0,5.0,3.0,1.0,5.0,2.0,4.0
300070005,5.0,1.0,1.0,3.0,5.0,3.0,5.0,1.0,5.0
300070006,2.0,1.0,1.0,5.0,1.0,1.0,1.0,2.0,2.0
300070007,5.0,5.0,3.0,-1.0,1.0,1.0,4.0,2.0,3.0
300070008,5.0,1.0,-1.0,5.0,1.0,1.0,2.0,1.0,2.0
300070009,5.0,5.0,5.0,1.0,1.0,-2.0,2.0,3.0,3.0
300070010,5.0,1.0,5.0,5.0,5.0,1.0,5.0,2.0,2.0
300070011,3.0,3.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0
300070012,2.0,2.0,2.0,4.0,3.0,2.0,3.0,4.0,3.0
300070013,4.0,3.0,3.0,3.0,3.0,4.0,4.0,2.0,2.0
300070014,2.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0,3.0
300070015,2.0,3.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0
300070016,4.0,4.0,3.0,3.0,4.0,2.0,4.0,4.0,3.0
300070017,2.0,2.0,2.0,3.0,4.0,2.0,4.0,4.0,3.0
300070018,4.0,4.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0
300070019,2.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0
300070020,4.0,4.0,4.0,3.0,4.0,3.0,4.0,3.0,3.0
300070021,4.0,4.0,5.0,2.0,4.0,4.0,4.0,2.0,4.0
300070022,5.0,2.0,5.0,2.0,4.0,4.0,4.0,2.0,2.0
300070023,4.0,4.0,4.0,3.0,4.0,3.0,2.0,2.0,2.0
300070024,4.0,1.0,5.0,2.0,4.0,5.0,2.0,5.0,4.0
300070025,4.0,3.0,2.0,5.0,4.0,4.0,2.0,2.0,2.0
300070026,4.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,2.0
300070027,4.0,3.0,4.0,-1.0,4.0,3.0,2.0,4.0,2.0
