D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
392070001,3,3,4,2,3,3,3,3,4
392070002,4,3,4,-1,5,2,3,3,2
392070003,2,3,4,-1,1,3,1,1,4
392070004,4,1,4,4,5,1,1,4,4
392070005,1,3,3,3,4,4,3,4,4
392070006,5,-1,5,-1,3,5,3,2,5
392070007,3,2,3,-1,3,3,1,2,4
392070008,3,3,3,2,3,3,3,3,4
392070009,3,3,3,4,3,3,3,3,2
392070010,2,2,3,3,1,2,3,2,3
392070011,3,2,3,2,4,2,2,2,4
392070012,4,2,4,-1,3,-1,2,2,2
392070013,3,3,3,3,3,3,3,2,3
392070014,3,3,4,2,4,-1,3,2,4
392070015,3,1,3,-1,3,3,2,2,4
392070016,2,2,2,3,3,2,2,2,3
392070017,4,2,2,3,2,2,1,2,3
392070018,3,2,2,4,2,2,2,2,4
392070019,2,3,4,3,5,5,3,3,5
392070020,4,2,3,3,2,3,2,2,4
392070021,3,3,3,-1,3,3,3,-1,3
392070022,4,2,3,-1,2,-1,2,1,2
392070023,3,4,4,2,4,4,2,4,4
392070024,3,2,3,3,3,3,2,2,4
392070025,3,2,3,3,3,3,-1,3,3
392070026,2,2,3,2,2,3,4,2,3
392070027,3,1,3,-1,3,3,2,2,3
392070028,5,3,-1,1,5,5,2,3,5
392070029,4,2,4,2,3,4,2,2,4
392070030,-1,3,3,2,2,2,2,2,3
392070031,4,2,3,2,4,4,2,4,4
392070032,2,3,4,2,4,3,2,2,4
392070033,5,2,3,2,5,2,2,3,4
392070034,3,2,3,2,3,4,3,3,5
392070035,3,3,3,3,3,3,2,2,3
392070036,4,3,4,-1,5,3,2,3,4
392070037,1,1,-1,5,2,2,1,1,2
392070038,4,2,4,2,4,3,3,2,3
392070039,3,3,4,2,2,5,4,5,5
392070040,2,3,3,2,3,2,3,2,3
392070041,1,2,1,-1,1,2,1,1,2
392070042,3,2,3,-1,2,3,2,2,2
392070043,3,2,3,3,3,2,2,2,3
392070044,1,1,3,3,2,3,1,1,2
392070045,3,2,2,3,4,3,3,3,5
392070046,4,3,-1,-1,3,3,-1,2,3
392070047,3,3,3,-1,2,2,3,3,2
392070048,2,2,3,3,4,3,2,2,3
392070049,4,3,3,3,4,3,2,3,4
392070050,3,2,3,2,3,3,4,3,5
392070051,3,2,4,-1,-1,3,2,3,4
392070052,3,2,4,3,2,4,2,2,4
392070053,4,3,5,3,2,3,2,1,3
392070054,5,3,-1,1,-1,3,2,-1,5
392070055,2,1,3,5,1,4,2,3,5
392070056,3,3,-1,-1,3,3,3,3,3
392070057,4,4,5,2,4,4,4,3,2
392070058,3,2,4,2,4,3,2,2,3
392070059,4,2,5,1,2,5,4,3,4
392070060,2,2,3,-1,2,2,-1,1,4
392070061,3,2,3,2,4,4,2,3,4
392070062,2,2,1,2,2,3,3,3,4
392070063,4,2,4,-1,4,2,-1,2,4
392070064,4,3,3,-1,5,3,2,3,4
392070065,4,2,4,2,4,4,3,4,5
392070066,3,2,3,2,5,3,2,2,3
392070067,1,2,3,2,3,2,2,3,3
392070068,4,4,3,3,2,3,3,2,3
392070069,3,2,2,-1,4,4,3,3,5
392070070,4,2,-1,-1,3,4,2,2,4
392070071,2,2,-1,-1,1,1,1,1,3
392070072,3,-1,-1,3,4,2,3,4,5
392070073,1,3,3,2,2,3,1,2,4
392070074,2,2,3,3,2,2,3,3,3
392070075,3,3,3,-1,3,3,3,3,3
392070076,3,2,3,4,3,2,3,2,4
392070077,3,2,3,4,3,3,2,2,2
392070078,2,1,3,2,2,3,2,1,4
392070079,3,3,3,2,3,3,-1,3,4
392070080,2,2,3,3,4,3,2,2,4
392070081,2,3,3,2,2,2,2,2,2
392070082,2,1,5,2,4,2,2,2,4
392070083,1,3,-1,2,3,3,-1,3,5
392070084,4,2,3,2,3,4,2,3,4
392070085,3,1,2,3,2,2,3,2,4
392070086,4,2,4,3,3,3,2,2,4
392070087,3,1,-1,-1,3,3,2,2,3
392070088,3,2,-1,-1,3,3,3,3,-1
392070089,1,1,3,2,2,3,3,2,3
392070090,2,3,3,3,4,2,2,2,4
392070091,2,2,3,4,4,-1,2,-1,3
392070092,3,2,3,-1,2,3,2,2,4
392070093,2,2,2,2,1,2,2,1,3
392070094,3,2,3,4,2,4,2,2,3
392070095,5,1,5,1,5,5,3,4,5
392070096,4,1,3,-1,1,3,1,2,4
392070097,3,2,2,2,3,2,4,3,4
392070098,4,3,-1,2,5,4,3,2,4
392070099,3,2,2,4,1,2,2,1,4
392070100,4,1,3,3,2,2,2,2,3
392070101,2,2,3,3,3,2,4,2,2
392070102,3,2,3,3,3,2,2,3,4
392070103,4,4,4,1,1,1,2,2,4
392070104,3,3,3,2,2,4,1,1,5
392070105,-1,-1,3,-1,5,-1,2,-1,4
392070106,3,3,3,2,3,3,2,3,4
392070107,4,-1,-1,2,3,4,-1,2,4
392070108,3,2,3,-1,2,3,1,1,2
392070109,3,3,3,3,3,3,3,3,3
392070110,3,2,2,2,3,3,2,2,4
392070111,3,3,4,2,3,3,2,3,4
392070112,3,3,3,-1,2,3,2,2,3
392070113,-1,2,3,-1,3,2,2,2,5
392070114,5,5,5,1,3,1,4,2,5
392070115,2,4,4,2,4,4,4,2,4
392070116,3,-1,3,2,4,4,2,-1,4
392070117,4,4,3,1,5,5,2,2,5
392070118,3,1,3,4,4,3,2,2,3
392070119,2,1,4,1,2,5,2,2,5
392070120,2,3,3,3,3,3,2,3,4
392070121,4,1,3,3,3,3,2,2,3
392070122,4,3,5,2,3,-1,2,2,4
392070123,-1,2,-1,-1,1,3,3,1,4
392070124,2,2,2,2,3,3,1,2,3
392070125,-1,4,3,4,4,4,1,2,4
392070126,3,2,4,3,1,2,1,1,4
392070127,4,2,4,2,4,1,2,2,4
392070128,5,2,4,-1,3,3,2,3,4
392070129,2,2,3,3,1,1,4,1,2
392070130,3,3,-1,1,5,3,2,5,5
392070131,5,2,5,1,2,3,1,2,5
392070132,3,2,3,2,1,2,2,2,4
392070133,3,4,4,-1,4,2,2,2,4
392070134,4,4,-1,-1,3,3,2,2,4
392070135,5,2,-1,2,4,4,1,2,5
392070136,3,3,4,3,4,3,3,3,4
392070137,4,3,4,2,3,3,3,2,3
392070138,3,4,4,1,4,4,2,4,5
392070139,3,3,-1,2,3,3,2,2,4
392070140,2,2,2,2,4,4,1,-1,4
392070141,2,2,3,-1,-1,1,1,-1,4
392070142,2,2,3,2,3,3,3,3,3
392070143,2,2,3,4,2,2,1,-1,3
392070144,4,3,-1,1,5,4,4,4,4
392070145,3,3,3,4,5,4,2,2,4
392070146,4,2,2,2,2,3,1,1,4
392070147,4,4,3,3,3,2,2,3,4
392070148,2,3,3,2,3,3,4,2,4
392070149,3,3,3,-1,4,3,3,4,4
392070150,4,4,4,2,4,1,2,2,2
392070151,3,2,2,3,4,4,3,3,4
392070152,3,3,5,1,3,3,1,1,4
392070153,3,4,-1,2,5,2,1,1,4
392070154,4,2,5,3,4,4,3,4,3
392070155,3,3,4,3,4,4,2,3,4
392070156,3,2,3,3,3,3,2,2,4
392070157,4,3,5,2,5,5,3,3,4
392070158,4,4,4,3,4,4,2,2,2
392070159,4,3,-1,-1,2,3,3,2,3
392070160,2,2,5,3,2,2,1,2,5
392070161,3,2,4,3,3,2,2,3,4
392070162,2,3,3,4,2,4,2,4,3
392070163,-1,2,2,2,3,-1,2,2,4
392070164,2,2,2,3,2,2,2,1,2
392070165,3,2,3,3,3,3,3,3,2
392070166,3,2,4,3,2,3,3,2,3
