D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
392070001,3.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,4.0
392070002,4.0,3.0,4.0,-1.0,5.0,2.0,3.0,3.0,2.0
392070003,2.0,3.0,4.0,-1.0,1.0,3.0,1.0,1.0,4.0
392070004,4.0,1.0,4.0,4.0,5.0,1.0,1.0,4.0,4.0
392070005,1.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0
392070006,5.0,-1.0,5.0,-1.0,3.0,5.0,3.0,2.0,5.0
392070007,3.0,2.0,3.0,-1.0,3.0,3.0,1.0,2.0,4.0
392070008,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0
392070009,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,2.0
392070010,2.0,2.0,3.0,3.0,1.0,2.0,3.0,2.0,3.0
392070011,3.0,2.0,3.0,2.0,4.0,2.0,2.0,2.0,4.0
392070012,4.0,2.0,4.0,-1.0,3.0,-1.0,2.0,2.0,2.0
392070013,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0
392070014,3.0,3.0,4.0,2.0,4.0,-1.0,3.0,2.0,4.0
392070015,3.0,1.0,3.0,-1.0,3.0,3.0,2.0,2.0,4.0
392070016,2.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0
392070017,4.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,3.0
392070018,3.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0
392070019,2.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,5.0
392070020,4.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0
392070021,3.0,3.0,3.0,-1.0,3.0,3.0,3.0,-1.0,3.0
392070022,4.0,2.0,3.0,-1.0,2.0,-1.0,2.0,1.0,2.0
392070023,3.0,4.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0
392070024,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,4.0
392070025,3.0,2.0,3.0,3.0,3.0,3.0,-1.0,3.0,3.0
392070026,2.0,2.0,3.0,2.0,2.0,3.0,4.0,2.0,3.0
392070027,3.0,1.0,3.0,-1.0,3.0,3.0,2.0,2.0,3.0
392070028,5.0,3.0,-1.0,1.0,5.0,5.0,2.0,3.0,5.0
392070029,4.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0
392070030,-1.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0
392070031,4.0,2.0,3.0,2.0,4.0,4.0,2.0,4.0,4.0
392070032,2.0,3.0,4.0,2.0,4.0,3.0,2.0,2.0,4.0
392070033,5.0,2.0,3.0,2.0,5.0,2.0,2.0,3.0,4.0
392070034,3.0,2.0,3.0,2.0,3.0,4.0,3.0,3.0,5.0
392070035,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0
392070036,4.0,3.0,4.0,-1.0,5.0,3.0,2.0,3.0,4.0
392070037,1.0,1.0,-1.0,5.0,2.0,2.0,1.0,1.0,2.0
392070038,4.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0
392070039,3.0,3.0,4.0,2.0,2.0,5.0,4.0,5.0,5.0
392070040,2.0,3.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0
392070041,1.0,2.0,1.0,-1.0,1.0,2.0,1.0,1.0,2.0
392070042,3.0,2.0,3.0,-1.0,2.0,3.0,2.0,2.0,2.0
392070043,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0
392070044,1.0,1.0,3.0,3.0,2.0,3.0,1.0,1.0,2.0
392070045,3.0,2.0,2.0,3.0,4.0,3.0,3.0,3.0,5.0
392070046,4.0,3.0,-1.0,-1.0,3.0,3.0,-1.0,2.0,3.0
392070047,3.0,3.0,3.0,-1.0,2.0,2.0,3.0,3.0,2.0
392070048,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0
392070049,4.0,3.0,3.0,3.0,4.0,3.0,2.0,3.0,4.0
392070050,3.0,2.0,3.0,2.0,3.0,3.0,4.0,3.0,5.0
392070051,3.0,2.0,4.0,-1.0,-1.0,3.0,2.0,3.0,4.0
392070052,3.0,2.0,4.0,3.0,2.0,4.0,2.0,2.0,4.0
392070053,4.0,3.0,5.0,3.0,2.0,3.0,2.0,1.0,3.0
392070054,5.0,3.0,-1.0,1.0,-1.0,3.0,2.0,-1.0,5.0
392070055,2.0,1.0,3.0,5.0,1.0,4.0,2.0,3.0,5.0
392070056,3.0,3.0,-1.0,-1.0,3.0,3.0,3.0,3.0,3.0
392070057,4.0,4.0,5.0,2.0,4.0,4.0,4.0,3.0,2.0
392070058,3.0,2.0,4.0,2.0,4.0,3.0,2.0,2.0,3.0
392070059,4.0,2.0,5.0,1.0,2.0,5.0,4.0,3.0,4.0
392070060,2.0,2.0,3.0,-1.0,2.0,2.0,-1.0,1.0,4.0
392070061,3.0,2.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0
392070062,2.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0
392070063,4.0,2.0,4.0,-1.0,4.0,2.0,-1.0,2.0,4.0
392070064,4.0,3.0,3.0,-1.0,5.0,3.0,2.0,3.0,4.0
392070065,4.0,2.0,4.0,2.0,4.0,4.0,3.0,4.0,5.0
392070066,3.0,2.0,3.0,2.0,5.0,3.0,2.0,2.0,3.0
392070067,1.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,3.0
392070068,4.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,3.0
392070069,3.0,2.0,2.0,-1.0,4.0,4.0,3.0,3.0,5.0
392070070,4.0,2.0,-1.0,-1.0,3.0,4.0,2.0,2.0,4.0
392070071,2.0,2.0,-1.0,-1.0,1.0,1.0,1.0,1.0,3.0
392070072,3.0,-1.0,-1.0,3.0,4.0,2.0,3.0,4.0,5.0
392070073,1.0,3.0,3.0,2.0,2.0,3.0,1.0,2.0,4.0
392070074,2.0,2.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0
392070075,3.0,3.0,3.0,-1.0,3.0,3.0,3.0,3.0,3.0
392070076,3.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,4.0
392070077,3.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0
392070078,2.0,1.0,3.0,2.0,2.0,3.0,2.0,1.0,4.0
392070079,3.0,3.0,3.0,2.0,3.0,3.0,-1.0,3.0,4.0
392070080,2.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0
392070081,2.0,3.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0
392070082,2.0,1.0,5.0,2.0,4.0,2.0,2.0,2.0,4.0
392070083,1.0,3.0,-1.0,2.0,3.0,3.0,-1.0,3.0,5.0
392070084,4.0,2.0,3.0,2.0,3.0,4.0,2.0,3.0,4.0
392070085,3.0,1.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0
392070086,4.0,2.0,4.0,3.0,3.0,3.0,2.0,2.0,4.0
392070087,3.0,1.0,-1.0,-1.0,3.0,3.0,2.0,2.0,3.0
392070088,3.0,2.0,-1.0,-1.0,3.0,3.0,3.0,3.0,-1.0
392070089,1.0,1.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0
392070090,2.0,3.0,3.0,3.0,4.0,2.0,2.0,2.0,4.0
392070091,2.0,2.0,3.0,4.0,4.0,-1.0,2.0,-1.0,3.0
392070092,3.0,2.0,3.0,-1.0,2.0,3.0,2.0,2.0,4.0
392070093,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,3.0
392070094,3.0,2.0,3.0,4.0,2.0,4.0,2.0,2.0,3.0
392070095,5.0,1.0,5.0,1.0,5.0,5.0,3.0,4.0,5.0
392070096,4.0,1.0,3.0,-1.0,1.0,3.0,1.0,2.0,4.0
392070097,3.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0
392070098,4.0,3.0,-1.0,2.0,5.0,4.0,3.0,2.0,4.0
392070099,3.0,2.0,2.0,4.0,1.0,2.0,2.0,1.0,4.0
