D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
458070001,4,2,3,2,2,2,1,4,5
458070002,2,3,2,2,2,3,1,2,3
458070003,2,1,2,4,2,2,2,2,2
458070004,2,1,2,5,1,1,1,2,2
458070005,2,1,5,5,1,1,1,3,1
458070006,1,1,2,5,2,1,1,1,1
458070007,2,2,3,2,3,3,3,2,3
458070008,4,1,4,5,1,1,1,1,2
458070009,3,1,4,5,2,1,1,1,4
458070010,1,1,2,2,1,2,2,2,2
458070011,1,1,1,2,2,3,2,3,3
458070012,2,3,3,2,1,1,2,1,1
458070013,3,1,4,5,1,1,1,1,2
458070014,2,1,4,4,1,1,2,2,2
458070015,1,4,4,4,2,3,1,2,1
458070016,2,1,3,4,3,2,1,3,2
458070017,1,1,2,5,1,1,1,1,1
458070018,2,1,1,5,1,1,1,1,1
458070019,2,1,4,4,1,1,1,1,1
458070020,1,1,4,4,4,2,2,4,2
458070021,2,1,5,3,2,2,2,2,2
458070022,4,1,4,5,4,2,1,2,2
458070023,1,1,2,5,1,1,1,1,2
458070024,3,1,3,5,2,1,1,1,5
458070025,1,1,1,5,1,1,5,1,1
458070026,1,1,2,5,3,1,1,1,2
458070027,2,2,3,2,2,1,1,1,1
458070028,2,2,4,2,2,2,2,2,2
458070029,4,1,4,4,2,4,1,1,4
458070030,4,1,4,5,3,1,1,2,3
458070031,1,1,3,5,1,1,1,1,1
458070032,1,2,3,3,3,2,2,1,1
458070033,1,1,1,5,1,1,1,1,1
458070034,2,2,2,2,1,1,1,2,2
458070035,2,1,3,2,2,2,1,1,1
458070036,4,4,5,4,3,4,1,1,2
458070037,1,2,2,2,2,2,1,1,2
458070038,2,2,2,2,2,2,1,2,2
458070039,2,2,3,2,3,2,1,1,1
458070040,2,1,3,3,2,2,1,2,1
458070041,1,2,2,2,2,1,1,2,2
458070042,3,1,3,5,2,2,1,2,1
458070043,2,1,3,4,3,2,2,2,3
458070044,1,1,2,5,2,2,1,2,1
458070045,5,1,4,5,1,1,1,1,4
458070046,2,1,3,5,3,2,2,2,2
458070047,1,1,1,5,3,3,1,1,3
458070048,3,3,3,3,3,3,3,3,3
458070049,2,2,1,2,2,2,2,2,2
458070050,2,2,2,2,2,2,1,2,2
458070051,1,1,2,1,2,2,1,2,2
458070052,2,2,2,2,2,1,1,2,2
458070053,2,2,1,2,1,1,1,1,1
458070054,1,1,1,4,2,1,1,1,1
458070055,1,2,2,2,1,1,1,2,2
458070056,2,1,2,4,2,1,1,1,1
458070057,3,1,3,5,3,3,1,1,1
458070058,1,2,1,1,2,1,1,1,2
458070059,1,1,1,4,2,1,1,1,4
458070060,2,3,3,2,3,2,2,3,2
458070061,1,1,1,1,2,2,1,2,2
458070062,3,1,4,2,2,2,1,2,2
458070063,2,2,2,3,2,2,1,2,2
458070064,4,2,3,5,5,1,1,1,2
458070065,2,3,2,1,1,1,3,2,3
458070066,2,3,3,3,2,3,4,4,3
458070067,1,1,2,1,1,2,1,1,1
458070068,2,2,4,5,1,3,2,3,2
458070069,3,1,4,5,2,3,1,2,2
458070070,5,2,5,5,2,2,1,1,2
458070071,4,1,2,5,2,1,3,2,3
458070072,2,1,4,4,2,2,2,2,2
458070073,2,3,4,5,4,1,4,4,2
458070074,4,4,3,3,4,3,3,3,4
458070075,1,1,3,5,2,2,2,2,2
458070076,2,1,4,5,2,1,5,2,5
458070077,5,1,4,5,1,1,1,2,3
458070078,4,1,5,2,1,1,2,1,2
458070079,2,1,2,2,3,2,2,1,2
