D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
458070001,4.0,2.0,3.0,2.0,2.0,2.0,1.0,4.0,5.0
458070002,2.0,3.0,2.0,2.0,2.0,3.0,1.0,2.0,3.0
458070003,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
458070004,2.0,1.0,2.0,5.0,1.0,1.0,1.0,2.0,2.0
458070005,2.0,1.0,5.0,5.0,1.0,1.0,1.0,3.0,1.0
458070006,1.0,1.0,2.0,5.0,2.0,1.0,1.0,1.0,1.0
458070007,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0
458070008,4.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0
458070009,3.0,1.0,4.0,5.0,2.0,1.0,1.0,1.0,4.0
458070010,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0
458070011,1.0,1.0,1.0,2.0,2.0,3.0,2.0,3.0,3.0
458070012,2.0,3.0,3.0,2.0,1.0,1.0,2.0,1.0,1.0
458070013,3.0,1.0,4.0,5.0,1.0,1.0,1.0,1.0,2.0
458070014,2.0,1.0,4.0,4.0,1.0,1.0,2.0,2.0,2.0
458070015,1.0,4.0,4.0,4.0,2.0,3.0,1.0,2.0,1.0
458070016,2.0,1.0,3.0,4.0,3.0,2.0,1.0,3.0,2.0
458070017,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,1.0
458070018,2.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0
458070019,2.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0
458070020,1.0,1.0,4.0,4.0,4.0,2.0,2.0,4.0,2.0
458070021,2.0,1.0,5.0,3.0,2.0,2.0,2.0,2.0,2.0
458070022,4.0,1.0,4.0,5.0,4.0,2.0,1.0,2.0,2.0
458070023,1.0,1.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0
458070024,3.0,1.0,3.0,5.0,2.0,1.0,1.0,1.0,5.0
458070025,1.0,1.0,1.0,5.0,1.0,1.0,5.0,1.0,1.0
458070026,1.0,1.0,2.0,5.0,3.0,1.0,1.0,1.0,2.0
458070027,2.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0
458070028,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0,2.0
458070029,4.0,1.0,4.0,4.0,2.0,4.0,1.0,1.0,4.0
458070030,4.0,1.0,4.0,5.0,3.0,1.0,1.0,2.0,3.0
458070031,1.0,1.0,3.0,5.0,1.0,1.0,1.0,1.0,1.0
