D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
484070001,3,3,1,1,1,1,1,1,3
484070002,1,1,4,1,4,1,2,2,2
484070003,3,1,2,2,3,2,2,2,2
484070004,4,2,1,3,4,1,1,1,1
484070005,3,1,1,4,3,1,3,1,1
484070006,5,3,4,2,4,2,1,1,2
484070007,4,4,4,1,4,3,2,4,4
484070008,3,3,3,1,2,1,4,4,4
484070009,4,4,1,1,4,1,1,2,2
484070010,5,1,3,4,5,1,4,1,1
484070011,1,1,1,1,1,1,1,1,1
484070012,4,4,1,3,1,3,1,3,3
484070013,1,4,1,4,1,1,2,3,3
484070014,1,4,1,4,4,1,1,3,5
484070015,4,2,1,4,2,2,1,1,1
484070016,4,1,1,4,3,3,1,3,2
484070017,4,1,4,4,1,1,1,1,1
484070018,4,3,2,3,3,3,2,2,2
484070019,4,3,2,4,4,4,2,2,4
484070020,3,3,5,2,3,2,2,2,2
484070021,2,5,1,2,4,2,1,2,1
484070022,4,1,1,4,1,1,1,1,1
484070023,2,2,2,2,2,2,2,2,2
484070024,-1,-1,-1,2,3,2,2,1,1
484070025,3,3,5,-1,1,1,1,1,4
484070026,3,3,2,2,2,2,2,3,2
484070027,3,3,4,4,3,3,1,1,3
484070028,3,3,1,1,3,1,1,1,1
484070029,4,2,2,4,4,2,1,1,2
484070030,5,4,1,2,4,2,1,2,1
484070031,2,2,2,3,2,2,2,2,2
484070032,4,2,4,2,4,2,4,2,4
484070033,-1,-1,4,4,4,2,2,2,2
484070034,3,1,5,5,1,1,1,1,1
484070035,3,1,2,1,1,1,5,1,1
484070036,2,1,1,2,1,1,2,2,2
484070037,2,2,2,2,2,4,1,2,4
484070038,5,2,4,2,4,4,1,2,2
484070039,1,1,4,-1,4,1,1,1,1
484070040,4,1,1,5,5,2,2,1,2
484070041,4,3,5,5,5,5,1,1,4
484070042,3,2,4,3,4,4,2,2,4
484070043,2,2,2,2,4,2,2,2,4
484070044,4,4,4,2,2,4,2,2,2
484070045,4,4,2,-1,-1,2,1,1,1
484070046,4,2,2,3,4,2,4,4,2
484070047,1,3,1,-2,4,1,1,1,1
484070048,1,2,2,2,2,2,1,1,2
484070049,5,5,1,5,1,1,1,-1,1
484070050,4,4,3,2,4,1,1,1,4
484070051,3,3,1,3,3,1,1,3,1
484070052,4,1,1,5,5,1,1,1,1
484070053,4,4,4,2,4,2,2,2,2
484070054,3,2,1,5,3,2,1,4,1
484070055,1,4,4,4,3,1,1,1,1
484070056,4,4,1,4,4,4,1,1,1
484070057,-1,3,3,5,4,1,1,1,2
484070058,4,3,4,2,4,2,4,4,3
484070059,2,2,2,3,3,2,1,1,1
484070060,3,3,1,3,3,1,1,1,1
484070061,5,4,2,2,4,3,5,4,4
484070062,5,5,2,-1,5,3,1,4,3
484070063,1,2,4,2,1,1,2,1,2
484070064,1,5,1,5,5,1,1,1,5
484070065,5,2,4,2,4,2,4,3,3
484070066,5,5,1,-1,5,1,1,2,1
484070067,4,2,1,1,2,4,1,2,2
484070068,4,1,5,5,5,2,1,2,4
484070069,5,2,1,-1,5,1,1,1,1
484070070,4,4,2,4,2,1,4,1,1
484070071,1,1,1,3,4,1,1,1,1
484070072,5,3,5,3,4,4,5,5,4
484070073,5,1,1,5,4,3,1,2,1
484070074,3,1,4,2,4,1,4,1,1
484070075,5,4,5,2,5,2,2,1,1
484070076,4,2,2,2,2,2,2,1,1
484070077,4,4,3,5,4,1,1,2,2
484070078,5,5,4,1,5,1,3,1,4
484070079,4,2,2,3,2,2,1,1,2
484070080,5,1,1,4,5,5,4,1,1
484070081,4,1,2,5,3,2,1,1,2
484070082,4,2,2,3,4,1,3,2,2
484070083,1,1,2,2,1,2,1,2,2
484070084,4,4,1,3,5,3,1,5,2
484070085,3,1,2,3,4,2,2,1,2
484070086,4,3,1,4,4,5,5,5,4
484070087,4,2,1,3,4,4,4,4,2
484070088,5,5,2,5,4,3,1,4,1
484070089,1,1,1,5,2,3,1,2,1
484070090,4,4,3,4,4,3,3,4,4
484070091,3,1,1,4,3,1,1,1,4
484070092,5,5,3,3,5,1,1,4,1
484070093,4,1,1,-1,4,4,1,1,4
484070094,2,2,3,2,2,1,3,2,2
484070095,3,3,1,3,3,1,1,1,1
484070096,4,4,1,4,4,1,1,1,1
484070097,2,3,2,3,4,4,4,1,1
484070098,4,4,4,3,4,1,1,1,1
484070099,4,2,3,2,5,2,3,2,2
484070100,3,3,1,1,3,1,1,3,1
484070101,2,1,3,4,2,2,1,1,3
484070102,4,1,1,2,2,1,4,1,4
484070103,4,2,2,-1,4,2,1,1,4
484070104,3,3,3,3,3,3,1,1,3
484070105,3,-1,1,4,-1,2,2,2,2
484070106,1,1,3,3,4,1,1,1,2
484070107,3,3,1,3,3,1,1,1,1
484070108,2,1,2,2,2,1,1,2,2
484070109,4,4,4,1,4,2,2,2,2
484070110,4,4,4,2,4,1,1,1,1
484070111,3,3,2,2,3,2,2,2,2
484070112,3,2,1,2,2,1,1,2,2
484070113,3,1,3,1,3,3,1,1,3
484070114,3,1,1,5,4,1,1,1,4
484070115,4,1,3,3,3,2,1,1,3
