D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
484070001,3.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0
484070002,1.0,1.0,4.0,1.0,4.0,1.0,2.0,2.0,2.0
484070003,3.0,1.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
484070004,4.0,2.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0
484070005,3.0,1.0,1.0,4.0,3.0,1.0,3.0,1.0,1.0
484070006,5.0,3.0,4.0,2.0,4.0,2.0,1.0,1.0,2.0
484070007,4.0,4.0,4.0,1.0,4.0,3.0,2.0,4.0,4.0
484070008,3.0,3.0,3.0,1.0,2.0,1.0,4.0,4.0,4.0
484070009,4.0,4.0,1.0,1.0,4.0,1.0,1.0,2.0,2.0
484070010,5.0,1.0,3.0,4.0,5.0,1.0,4.0,1.0,1.0
484070011,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484070012,4.0,4.0,1.0,3.0,1.0,3.0,1.0,3.0,3.0
484070013,1.0,4.0,1.0,4.0,1.0,1.0,2.0,3.0,3.0
484070014,1.0,4.0,1.0,4.0,4.0,1.0,1.0,3.0,5.0
484070015,4.0,2.0,1.0,4.0,2.0,2.0,1.0,1.0,1.0
484070016,4.0,1.0,1.0,4.0,3.0,3.0,1.0,3.0,2.0
484070017,4.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0
484070018,4.0,3.0,2.0,3.0,3.0,3.0,2.0,2.0,2.0
484070019,4.0,3.0,2.0,4.0,4.0,4.0,2.0,2.0,4.0
484070020,3.0,3.0,5.0,2.0,3.0,2.0,2.0,2.0,2.0
484070021,2.0,5.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0
484070022,4.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0
484070023,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
484070024,-1.0,-1.0,-1.0,2.0,3.0,2.0,2.0,1.0,1.0
484070025,3.0,3.0,5.0,-1.0,1.0,1.0,1.0,1.0,4.0
484070026,3.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0
484070027,3.0,3.0,4.0,4.0,3.0,3.0,1.0,1.0,3.0
484070028,3.0,3.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0
484070029,4.0,2.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0
484070030,5.0,4.0,1.0,2.0,4.0,2.0,1.0,2.0,1.0
484070031,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0
484070032,4.0,2.0,4.0,2.0,4.0,2.0,4.0,2.0,4.0
484070033,-1.0,-1.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0
484070034,3.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0
484070035,3.0,1.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0
484070036,2.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0
484070037,2.0,2.0,2.0,2.0,2.0,4.0,1.0,2.0,4.0
484070038,5.0,2.0,4.0,2.0,4.0,4.0,1.0,2.0,2.0
484070039,1.0,1.0,4.0,-1.0,4.0,1.0,1.0,1.0,1.0
