D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
528070001,5,4,5,4,5,4,3,1,2
528070002,5,3,5,1,5,5,3,4,4
528070003,5,4,2,2,5,5,3,2,2
528070004,4,3,5,1,5,4,5,4,3
528070005,5,5,-1,-1,-1,-1,-1,-1,-1
528070006,5,5,5,1,5,5,1,1,4
528070007,5,5,5,2,5,3,2,2,3
528070008,5,1,5,1,5,3,1,1,1
528070009,5,4,5,1,5,5,3,2,3
528070010,-1,3,5,2,-2,5,-2,2,3
528070011,5,2,5,1,5,5,5,2,2
528070012,5,2,4,2,5,4,2,2,4
528070013,5,5,4,2,5,4,3,3,4
528070014,5,5,5,1,5,3,-1,3,4
528070015,5,5,5,1,5,2,2,1,1
528070016,5,2,4,1,5,5,3,3,4
528070017,5,1,5,2,4,2,1,1,3
528070018,5,1,5,1,5,5,3,2,3
528070019,5,5,4,2,5,4,4,4,4
528070020,2,2,2,2,4,3,3,2,2
528070021,5,4,5,3,4,4,2,2,4
528070022,4,2,3,2,3,3,3,2,4
528070023,5,2,3,2,4,4,3,2,4
528070024,3,4,4,-1,4,4,3,3,3
528070025,5,2,2,1,5,1,1,2,2
528070026,2,2,4,3,4,4,3,2,2
528070027,5,4,4,2,4,4,4,2,2
528070028,3,3,3,2,4,3,3,3,3
528070029,5,5,4,1,5,5,4,4,3
528070030,5,3,4,-1,5,4,-1,2,3
528070031,4,4,4,2,4,4,3,4,4
528070032,-1,-1,-1,2,4,2,2,-1,5
528070033,4,-1,-1,2,4,-5,4,3,4
528070034,5,4,5,3,5,3,3,2,3
528070035,5,2,5,1,5,5,3,3,5
528070036,4,3,4,2,4,4,2,4,4
528070037,3,3,4,2,2,3,3,2,3
528070038,4,4,3,2,4,4,4,3,3
528070039,4,4,3,2,4,4,3,2,4
528070040,3,2,4,3,4,2,1,1,1
528070041,3,4,3,3,3,3,3,2,2
528070042,5,4,5,1,5,4,2,2,2
528070043,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070044,1,3,4,4,4,5,4,3,4
528070045,5,5,4,2,4,5,4,4,4
528070046,5,3,5,1,5,5,-1,-1,-1
528070047,2,1,4,5,4,3,1,1,2
528070048,5,5,5,1,5,5,3,3,5
528070049,4,3,4,3,4,3,3,3,4
528070050,4,2,4,2,4,4,2,2,4
528070051,5,5,4,2,5,4,5,2,4
528070052,4,1,4,1,5,2,2,4,4
528070053,5,3,3,1,5,5,3,3,5
528070054,5,5,5,2,5,-1,2,2,-1
528070055,5,5,5,1,5,2,2,2,4
528070056,4,3,5,2,4,3,4,3,5
528070057,5,3,4,2,5,4,3,2,2
528070058,5,5,5,1,5,4,4,2,4
528070059,5,4,5,3,4,4,1,1,3
528070060,5,3,5,1,5,5,4,5,4
528070061,3,2,4,1,5,4,3,2,5
528070062,3,2,3,-1,3,2,2,3,3
528070063,5,3,5,1,5,3,3,2,4
528070064,4,4,3,3,3,3,3,2,2
528070065,5,3,5,2,3,4,3,3,4
528070066,5,5,5,5,5,5,5,5,5
528070067,4,2,5,2,5,3,2,2,4
528070068,3,2,3,2,4,4,3,2,2
528070069,5,2,5,1,5,3,3,3,3
528070070,4,4,4,2,4,3,4,4,4
528070071,5,5,5,3,5,2,1,1,4
528070072,-5,-5,-5,-5,-5,-5,-5,-5,-5
528070073,3,2,3,2,4,3,5,3,5
528070074,4,4,4,2,4,4,2,2,2
528070075,4,4,4,3,3,4,4,3,3
528070076,4,2,4,2,5,3,3,2,4
528070077,5,4,5,2,5,3,4,3,2
528070078,5,3,5,1,5,4,4,4,4
528070079,5,1,1,1,5,5,1,2,4
528070080,5,3,-5,-5,5,3,5,-5,4
528070081,5,5,5,2,4,5,2,2,2
528070082,4,3,4,2,4,4,2,3,3
528070083,4,3,4,2,4,3,4,3,4
528070084,5,4,5,2,5,4,4,3,2
528070085,5,5,5,1,5,5,5,2,3
528070086,4,1,3,2,4,4,3,2,2
528070087,5,3,5,1,5,4,1,2,2
528070088,3,2,3,2,5,3,3,3,4
528070089,5,2,5,3,5,3,1,2,3
528070090,5,5,4,1,5,5,2,2,4
528070091,4,4,4,2,4,4,3,2,4
528070092,4,2,3,2,4,3,2,3,4
528070093,4,1,5,2,5,4,3,3,5
528070094,4,5,5,1,5,4,4,3,4
528070095,5,5,5,1,5,5,2,2,4
528070096,3,4,3,2,4,3,4,3,4
528070097,5,2,5,1,5,5,5,3,5
528070098,5,5,4,1,5,5,5,-1,5
528070099,5,2,5,5,5,5,5,5,5
528070100,5,1,1,1,5,4,2,2,4
528070101,5,4,5,1,5,4,5,5,5
528070102,5,3,4,-1,3,3,3,2,4
528070103,4,4,4,2,4,4,4,4,4
528070104,4,3,4,3,4,3,2,2,2
528070105,4,2,3,2,4,4,3,3,3
528070106,5,5,4,1,5,5,2,3,3
528070107,3,3,4,2,3,2,2,1,1
528070108,2,3,3,4,3,4,3,3,3
528070109,4,3,3,2,5,4,4,4,4
528070110,2,3,4,5,4,4,3,2,4
528070111,3,2,3,2,4,3,4,2,3
528070112,4,3,-1,-1,4,4,3,3,3
528070113,5,4,4,4,3,2,2,2,5
528070114,4,1,5,3,4,2,3,2,3
528070115,5,4,5,2,4,4,4,3,4
528070116,4,2,4,5,5,2,1,1,5
528070117,5,1,5,-1,5,4,3,3,-1
528070118,3,2,3,2,3,2,3,2,3
528070119,4,3,4,2,4,4,4,2,2
528070120,4,4,4,2,4,4,2,2,2
528070121,5,2,4,2,5,3,2,2,4
528070122,5,1,5,1,5,4,2,2,4
528070123,4,4,4,1,4,3,4,4,4
528070124,4,4,4,2,4,3,3,-1,3
528070125,-1,5,-1,-1,-2,-2,-1,-1,-1
528070126,5,5,4,5,5,4,5,3,3
528070127,4,4,4,2,5,4,3,2,3
528070128,5,4,5,2,5,4,3,2,4
528070129,5,4,5,3,5,5,3,3,4
528070130,5,1,5,4,5,4,2,2,4
528070131,4,3,4,4,4,4,2,2,4
528070132,4,2,4,2,5,5,3,3,4
528070133,-5,-5,-5,-5,-5,-5,-5,-5,-5
528070134,5,2,3,2,3,2,2,2,3
528070135,3,3,2,3,4,4,3,3,4
528070136,5,3,4,2,5,4,3,3,4
528070137,5,3,5,1,5,4,4,4,5
528070138,3,4,4,3,1,1,1,1,4
528070139,3,3,3,2,2,2,3,2,3
528070140,5,2,5,2,5,3,3,2,4
528070141,3,2,4,1,5,4,2,2,3
528070142,5,2,5,2,5,3,2,2,3
528070143,3,3,3,4,2,4,2,2,3
528070144,5,5,5,1,5,5,3,3,3
528070145,4,2,4,2,4,3,2,2,3
528070146,4,2,2,2,4,4,3,3,3
528070147,3,3,3,2,5,4,3,2,2
528070148,4,3,3,4,4,3,2,2,3
528070149,5,1,4,2,5,4,5,5,5
528070150,4,3,4,5,3,-1,4,5,5
528070151,4,2,5,1,4,3,2,1,4
528070152,5,4,4,2,5,3,2,2,4
528070153,4,3,4,4,4,4,2,2,3
528070154,5,-1,5,-1,5,4,2,2,3
528070155,5,4,4,4,5,5,3,2,5
528070156,4,3,4,1,3,3,2,2,5
528070157,4,3,4,2,5,4,4,3,3
528070158,5,5,3,2,5,3,4,5,5
528070159,3,3,3,2,5,3,3,3,3
528070160,5,2,4,2,4,4,3,3,4
528070161,-1,-1,-1,-1,-1,-1,-1,-1,-1
528070162,5,5,5,1,5,4,3,3,4
528070163,4,3,3,3,4,3,4,4,4
528070164,5,2,4,2,5,5,3,2,3
528070165,4,3,4,2,5,4,3,2,4
528070166,1,3,2,4,2,2,2,1,3
528070167,5,3,4,2,5,3,4,2,4
528070168,-1,2,2,-1,3,1,2,1,2
528070169,4,4,3,2,5,5,3,2,3
528070170,4,4,4,2,4,3,4,4,4
528070171,4,4,3,2,4,3,3,2,2
528070172,5,5,5,1,5,3,4,3,4
528070173,5,2,4,3,4,4,2,2,4
528070174,5,5,5,4,5,4,2,2,2
528070175,5,5,-1,2,5,5,4,3,3
528070176,-2,-2,-2,-5,-2,-1,-2,-5,-2
528070177,5,2,4,2,4,4,3,2,4
528070178,5,5,5,2,5,5,5,3,5
