D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
604070001,2.0,2.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0
604070002,2.0,2.0,4.0,-1.0,2.0,2.0,2.0,2.0,2.0
604070003,3.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0
604070004,3.0,1.0,4.0,4.0,2.0,1.0,2.0,2.0,3.0
604070005,4.0,1.0,3.0,2.0,4.0,3.0,4.0,3.0,3.0
604070006,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0
604070007,4.0,4.0,3.0,2.0,4.0,2.0,2.0,2.0,2.0
604070008,5.0,4.0,2.0,2.0,4.0,2.0,2.0,2.0,5.0
604070009,4.0,2.0,3.0,4.0,4.0,2.0,4.0,2.0,4.0
604070010,2.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0
604070011,4.0,2.0,2.0,4.0,2.0,3.0,1.0,2.0,2.0
604070012,4.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
604070013,2.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0
604070014,4.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0
604070015,4.0,1.0,4.0,4.0,3.0,2.0,3.0,2.0,2.0
604070016,4.0,2.0,2.0,5.0,4.0,1.0,2.0,1.0,1.0
604070017,4.0,1.0,4.0,4.0,3.0,1.0,2.0,2.0,2.0
604070018,5.0,1.0,2.0,5.0,3.0,2.0,2.0,2.0,1.0
604070019,4.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0
604070020,4.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0
604070021,4.0,2.0,5.0,4.0,3.0,2.0,2.0,2.0,2.0
604070022,4.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0
604070023,5.0,1.0,3.0,5.0,4.0,1.0,2.0,2.0,1.0
604070024,5.0,1.0,4.0,5.0,3.0,1.0,1.0,2.0,3.0
604070025,5.0,1.0,4.0,4.0,3.0,1.0,1.0,1.0,2.0
604070026,4.0,4.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0
604070027,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,2.0
604070028,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0
604070029,4.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0
604070030,2.0,2.0,2.0,4.0,2.0,2.0,2.0,2.0,2.0
604070031,4.0,5.0,3.0,3.0,4.0,2.0,2.0,3.0,2.0
604070032,5.0,2.0,2.0,3.0,3.0,2.0,2.0,2.0,2.0
604070033,4.0,2.0,3.0,3.0,4.0,2.0,2.0,2.0,2.0
604070034,2.0,2.0,2.0,4.0,2.0,1.0,2.0,2.0,2.0
604070035,4.0,4.0,3.0,4.0,2.0,2.0,2.0,2.0,2.0
604070036,4.0,2.0,3.0,4.0,5.0,1.0,2.0,2.0,1.0
604070037,3.0,1.0,4.0,5.0,4.0,1.0,1.0,2.0,3.0
604070038,5.0,1.0,5.0,5.0,4.0,1.0,1.0,2.0,3.0
604070039,4.0,3.0,2.0,4.0,4.0,2.0,2.0,3.0,2.0
604070040,4.0,1.0,4.0,5.0,4.0,2.0,1.0,2.0,1.0
604070041,2.0,2.0,2.0,4.0,4.0,2.0,2.0,2.0,3.0
604070042,2.0,4.0,2.0,4.0,3.0,2.0,2.0,2.0,1.0
