D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
840071001,3,2,2,5,2,2,2,2,3
840071002,4,2,4,2,3,2,3,2,3
840071003,4,2,2,-1,5,2,2,4,4
840071004,4,4,2,3,5,5,3,4,5
840071005,4,4,4,2,3,3,4,4,3
840071006,2,2,3,1,3,2,2,2,2
840071007,4,4,4,1,4,1,1,4,4
840071008,3,2,4,3,2,2,4,2,2
840071009,4,2,4,3,3,1,1,3,3
840071010,4,4,2,5,1,1,1,1,2
840071011,4,4,4,4,4,4,4,2,4
840071012,2,2,4,5,3,3,2,2,2
840071013,3,2,4,3,1,3,1,1,1
840071014,4,2,4,1,2,1,1,1,2
840071015,4,4,2,1,3,2,1,2,2
840071016,4,3,4,1,3,3,4,3,2
840071017,3,3,2,3,4,2,1,3,4
840071018,4,2,4,2,4,3,4,4,4
840071019,4,3,3,3,3,1,1,1,3
840071020,4,2,4,5,5,3,2,2,2
840071021,4,2,4,1,3,2,4,1,4
840071022,3,2,3,5,3,2,1,3,4
840071023,4,2,3,3,2,1,1,2,3
840071024,2,3,3,4,5,2,2,2,2
840071025,4,4,4,1,4,2,1,1,3
840071026,3,2,3,5,3,2,1,1,2
840071027,4,4,4,1,3,3,3,3,4
840071028,4,4,4,3,2,2,2,2,3
840071029,4,2,4,1,3,1,2,2,2
840071030,4,2,4,2,4,3,3,3,3
840071031,4,2,4,5,4,3,2,2,2
840071032,3,3,3,1,4,4,1,3,3
840071033,4,4,2,1,4,2,1,1,1
840071034,4,2,4,1,3,3,3,3,3
840071035,4,2,4,2,4,3,4,4,5
840071036,4,4,3,3,3,2,4,3,4
840071037,3,2,3,3,3,3,3,2,4
840071038,3,3,3,3,3,3,3,3,3
840071039,4,2,4,2,3,2,4,3,1
840071040,4,2,3,1,5,5,3,3,3
840071041,4,2,2,2,3,5,1,1,3
840071042,4,2,3,3,3,2,2,3,3
840071043,4,2,4,4,2,4,2,2,2
840071044,4,2,2,3,1,2,3,3,3
840071045,4,4,4,3,3,4,3,2,2
840071046,4,4,3,1,3,1,3,4,4
840071047,4,3,4,2,3,4,4,4,4
840071048,2,2,2,1,1,1,1,1,1
840071049,2,3,2,2,2,2,2,2,2
840071050,4,2,3,4,5,4,1,3,3
840071051,4,2,2,1,5,1,5,1,1
840071052,2,2,3,4,3,2,3,2,2
840071053,4,3,4,1,3,3,3,3,3
840071054,4,2,4,5,3,1,1,1,4
840071055,4,3,4,2,3,3,3,3,3
840071056,4,4,2,1,5,2,4,3,4
840071057,4,2,4,1,3,3,3,2,2
840071058,4,4,3,1,5,3,4,3,3
840071059,4,4,3,2,4,4,3,4,4
840071060,4,4,2,3,3,3,3,2,3
840071061,4,4,3,1,5,3,5,5,5
840071062,4,4,4,5,3,1,2,5,5
840071063,4,2,3,2,4,3,2,3,5
840071064,4,4,4,2,3,4,4,4,3
840071065,4,2,3,1,5,2,2,3,4
840071066,4,3,2,5,3,1,2,3,5
840071067,4,4,4,5,5,2,1,1,5
840071068,4,4,4,1,3,3,3,3,3
840071069,4,4,3,2,4,3,3,2,2
840071070,4,4,4,1,3,5,3,2,4
840071071,4,2,3,3,4,2,4,5,2
840071072,4,2,4,4,5,5,2,4,4
840071073,4,4,3,3,1,1,1,1,2
840071074,4,4,4,2,3,3,2,2,4
840071075,4,2,3,3,3,3,1,1,1
840071076,3,3,3,3,3,3,3,3,3
840071077,4,2,4,3,3,4,2,4,4
840071078,4,4,4,3,4,3,3,3,2
840071079,4,4,4,4,4,4,4,4,4
840071080,4,3,3,2,4,3,2,2,4
840071081,2,2,3,3,3,2,5,3,3
840071082,4,3,3,2,3,2,3,2,2
840071083,2,3,4,3,1,1,4,3,1
840071084,3,3,4,3,4,4,3,4,2
840071085,3,3,3,2,3,3,3,2,2
840071086,4,4,4,3,5,4,4,3,3
840071087,4,3,4,3,3,3,2,2,3
840071088,4,2,3,3,4,2,3,2,4
840071089,4,4,4,1,3,3,1,3,3
840071090,3,2,4,3,3,3,2,2,3
840071091,3,2,4,4,3,3,2,3,2
840071092,4,3,4,2,3,3,3,2,4
840071093,4,2,4,1,5,1,1,2,4
840071094,4,2,4,2,4,3,4,4,4
840071095,4,4,4,1,5,4,4,2,5
840071096,3,2,4,3,3,3,1,1,2
840071097,4,4,2,3,3,3,1,2,4
840071098,2,2,2,2,3,3,2,2,4
840071099,4,4,3,3,5,3,1,1,1
840071100,2,-2,4,4,3,2,2,1,3
840071101,3,3,4,2,4,4,2,3,2
840071102,4,2,3,2,3,3,2,2,2
840071103,2,-1,4,4,5,4,1,1,2
840071104,4,4,3,2,4,3,4,3,3
840071105,4,2,4,5,4,2,3,4,5
840071106,4,2,4,3,5,3,5,2,4
840071107,4,2,4,2,3,2,2,4,2
840071108,4,2,2,3,1,1,1,1,3
