D_INTERVIEW,Q33,Q34,Q35,Q36,Q37,Q38,Q39,Q40,Q41
840071001,3.0,2.0,2.0,5.0,2.0,2.0,2.0,2.0,3.0
840071002,4.0,2.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0
840071003,4.0,2.0,2.0,-1.0,5.0,2.0,2.0,4.0,4.0
840071004,4.0,4.0,2.0,3.0,5.0,5.0,3.0,4.0,5.0
840071005,4.0,4.0,4.0,2.0,3.0,3.0,4.0,4.0,3.0
840071006,2.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0
840071007,4.0,4.0,4.0,1.0,4.0,1.0,1.0,4.0,4.0
840071008,3.0,2.0,4.0,3.0,2.0,2.0,4.0,2.0,2.0
840071009,4.0,2.0,4.0,3.0,3.0,1.0,1.0,3.0,3.0
840071010,4.0,4.0,2.0,5.0,1.0,1.0,1.0,1.0,2.0
840071011,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0
840071012,2.0,2.0,4.0,5.0,3.0,3.0,2.0,2.0,2.0
840071013,3.0,2.0,4.0,3.0,1.0,3.0,1.0,1.0,1.0
840071014,4.0,2.0,4.0,1.0,2.0,1.0,1.0,1.0,2.0
840071015,4.0,4.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0
840071016,4.0,3.0,4.0,1.0,3.0,3.0,4.0,3.0,2.0
840071017,3.0,3.0,2.0,3.0,4.0,2.0,1.0,3.0,4.0
840071018,4.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0
840071019,4.0,3.0,3.0,3.0,3.0,1.0,1.0,1.0,3.0
840071020,4.0,2.0,4.0,5.0,5.0,3.0,2.0,2.0,2.0
840071021,4.0,2.0,4.0,1.0,3.0,2.0,4.0,1.0,4.0
840071022,3.0,2.0,3.0,5.0,3.0,2.0,1.0,3.0,4.0
840071023,4.0,2.0,3.0,3.0,2.0,1.0,1.0,2.0,3.0
840071024,2.0,3.0,3.0,4.0,5.0,2.0,2.0,2.0,2.0
840071025,4.0,4.0,4.0,1.0,4.0,2.0,1.0,1.0,3.0
840071026,3.0,2.0,3.0,5.0,3.0,2.0,1.0,1.0,2.0
840071027,4.0,4.0,4.0,1.0,3.0,3.0,3.0,3.0,4.0
840071028,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,3.0
840071029,4.0,2.0,4.0,1.0,3.0,1.0,2.0,2.0,2.0
840071030,4.0,2.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0
840071031,4.0,2.0,4.0,5.0,4.0,3.0,2.0,2.0,2.0
840071032,3.0,3.0,3.0,1.0,4.0,4.0,1.0,3.0,3.0
840071033,4.0,4.0,2.0,1.0,4.0,2.0,1.0,1.0,1.0
840071034,4.0,2.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0
840071035,4.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,5.0
840071036,4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0
840071037,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,4.0
840071038,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
840071039,4.0,2.0,4.0,2.0,3.0,2.0,4.0,3.0,1.0
840071040,4.0,2.0,3.0,1.0,5.0,5.0,3.0,3.0,3.0
840071041,4.0,2.0,2.0,2.0,3.0,5.0,1.0,1.0,3.0
840071042,4.0,2.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0
840071043,4.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0
840071044,4.0,2.0,2.0,3.0,1.0,2.0,3.0,3.0,3.0
840071045,4.0,4.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0
840071046,4.0,4.0,3.0,1.0,3.0,1.0,3.0,4.0,4.0
840071047,4.0,3.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0
840071048,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0
840071049,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
840071050,4.0,2.0,3.0,4.0,5.0,4.0,1.0,3.0,3.0
840071051,4.0,2.0,2.0,1.0,5.0,1.0,5.0,1.0,1.0
840071052,2.0,2.0,3.0,4.0,3.0,2.0,3.0,2.0,2.0
840071053,4.0,3.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0
840071054,4.0,2.0,4.0,5.0,3.0,1.0,1.0,1.0,4.0
840071055,4.0,3.0,4.0,2.0,3.0,3.0,3.0,3.0,3.0
840071056,4.0,4.0,2.0,1.0,5.0,2.0,4.0,3.0,4.0
840071057,4.0,2.0,4.0,1.0,3.0,3.0,3.0,2.0,2.0
840071058,4.0,4.0,3.0,1.0,5.0,3.0,4.0,3.0,3.0
840071059,4.0,4.0,3.0,2.0,4.0,4.0,3.0,4.0,4.0
840071060,4.0,4.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0
840071061,4.0,4.0,3.0,1.0,5.0,3.0,5.0,5.0,5.0
840071062,4.0,4.0,4.0,5.0,3.0,1.0,2.0,5.0,5.0
840071063,4.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,5.0
840071064,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,3.0
840071065,4.0,2.0,3.0,1.0,5.0,2.0,2.0,3.0,4.0
840071066,4.0,3.0,2.0,5.0,3.0,1.0,2.0,3.0,5.0
840071067,4.0,4.0,4.0,5.0,5.0,2.0,1.0,1.0,5.0
840071068,4.0,4.0,4.0,1.0,3.0,3.0,3.0,3.0,3.0
